slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=8,1.0,1.0,19,left,left,1.0,0.4,170.0,260.0,310.0,260.0,234.21330195582811,247.27201112563165,234.21330195582811,247.27201112563165,0.0,0,3.6,0.9856,0.014400000000000003,0.8601600136409293,0.8601600136409293,2.6334582192588374,1.773298205617908,1,0,0,20.0,1.4
1,0,periodic_k=8,0.0,1.0,19,left,left,1.0,0.4,160.0,260.0,300.0,260.0,230.73861779289263,247.9304064271055,230.21330195582811,247.27201112563165,0.8422832668845098,1,4.9,0.9610048626495098,0.03899513735049015,1.0215854024027502,1.0317156820415196,2.6756258165724307,1.643910134530911,1,0,0,20.0,1.4
2,0,periodic_k=8,0.0,1.0,19,left,left,1.0,0.4,150.0,260.0,290.0,260.0,225.37289316083493,247.01888077230188,226.21330195582811,247.27201112563165,0.8777026367049048,2,6.2,0.9382251690674139,0.06177483093258603,1.1721032159765945,1.1562143225848498,2.7106329196944636,1.5544185971096138,1,0,0,20.0,1.4
3,0,periodic_k=8,0.0,1.0,19,left,left,1.0,0.4,140.0,260.0,280.0,260.0,221.46238144305204,246.7975109576614,222.21330195582811,247.27201112563165,0.888274746861405,3,7.5,0.9155013818195619,0.08449861818043816,1.3096266050116274,1.296034314238596,2.737598441256549,1.441564127017953,1,0,0,20.0,1.4
4,0,periodic_k=8,0.0,1.0,19,left,left,1.0,0.4,130.0,260.0,270.0,260.0,217.45062063279903,246.2003802083599,218.21330195582811,247.27201112563165,1.3153233911666409,4,8.8,0.8918405223698751,0.10815947763012493,1.4323554557650375,1.4190785316308665,2.755739249429572,1.3366607177987053,1,0,0,20.0,1.4
5,0,periodic_k=8,0.0,1.0,19,down,left,1.0,0.4,130.0,250.0,260.0,260.0,214.066199215203,246.74483456316014,214.21330195582811,247.27201112563165,0.5473155801899833,5,10.100000000000001,0.8708685399445726,0.12913146005542747,1.5426119110777836,1.5393800723183135,2.872859715615277,1.3334796432969633,1,0,0,20.0,1.4
6,0,periodic_k=8,0.0,1.0,19,down,left,1.0,0.4,130.0,240.0,250.0,260.0,210.11242070349584,247.53390340803776,210.21330195582811,247.27201112563165,0.2806503067092721,6,11.400000000000002,0.8487685368099042,0.15123146319009587,1.6643664186136629,1.6635119723297893,2.9929697198828715,1.3294577475530822,1,0,0,20.0,1.4
7,0,periodic_k=8,0.0,1.0,19,down,left,1.0,0.4,130.0,230.0,240.0,260.0,206.43967724307228,246.9323986840195,206.21330195582811,247.27201112563165,0.4081450491830723,7,12.700000000000003,0.8257816736393381,0.17421832636066192,1.7977045860755658,1.799629322023315,3.115393523095035,1.3157642010717199,1,0,0,20.0,1.4
8,1,periodic_k=8,1.0,2.0,18,down,left,1.0,0.4,130.0,220.0,230.0,260.0,202.69780279193003,246.2611808634392,202.69780279193003,246.2611808634392,0.0,0,3.6,0.9856,0.014400000000000003,1.9428779314885785,1.9428779314885785,3.23918815155151,1.2963102200629315,1,0,0,20.0,1.4
9,0,periodic_k=8,0.0,2.0,18,down,left,1.0,0.4,130.0,210.0,220.0,260.0,199.31271800284512,246.22623272574882,198.69780279193003,246.2611808634392,0.615907532786189,1,4.9,0.9615142080512311,0.03848579194876893,2.0942329461430944,2.1012425012614466,3.363075674446636,1.2618331731851897,1,0,0,20.0,1.4
10,0,periodic_k=8,0.0,2.0,18,down,stay,1.0,0.4,130.0,200.0,220.0,260.0,195.18331434836344,245.74958204466606,194.69780279193003,246.2611808634392,0.7053047729885715,2,6.2,0.9386130642607757,0.06138693573922428,2.237627532714041,2.239384411147687,3.504187749842696,1.2648033386950088,1,0,0,10.0,1.4
