avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,budget,periodic_k,aoi_threshold,eve_speed
0.21666666666666667,0.6174875411093884,0.38251245889061153,2.8713738168710687,0.10833333333333334,0.8916666666666667,full,42,26,9,5,4.743416490252569
0.21666666666666667,0.6141243014523752,0.38587569854762477,2.8664625011286007,0.1,0.9,full,43,26,9,5,4.743416490252569
0.21666666666666667,0.6169998839499236,0.3830001160500764,2.880255067610373,0.1,0.9,full,44,26,9,5,4.743416490252569
0.11666666666666667,0.8958517786539161,0.10414822134608398,2.883590453709364,0.1,0.9,periodic,42,26,9,5,4.743416490252569
0.11666666666666667,0.8952643671852901,0.1047356328147098,2.882550491597136,0.1,0.9,periodic,43,26,9,5,4.743416490252569
0.11666666666666667,0.8950259556328959,0.10497404436710414,2.8783298221073115,0.1,0.9,periodic,44,26,9,5,4.743416490252569
0.16666666666666666,0.9282508960825439,0.07174910391745605,2.8800624896692644,0.10833333333333334,0.8916666666666667,aoi_only,42,26,9,5,4.743416490252569
0.16666666666666666,0.9277094423250617,0.07229055767493833,2.8830695612570723,0.1,0.9,aoi_only,43,26,9,5,4.743416490252569
0.16666666666666666,0.9275161672033012,0.07248383279669872,2.87562667194649,0.1,0.9,aoi_only,44,26,9,5,4.743416490252569
0.11666666666666667,0.8958517786539161,0.10414822134608398,2.883590453709364,0.1,0.9,decoupled,42,26,9,5,4.743416490252569
0.11666666666666667,0.8952643671852901,0.1047356328147098,2.882550491597136,0.1,0.9,decoupled,43,26,9,5,4.743416490252569
0.11666666666666667,0.8950259556328959,0.10497404436710414,2.8783298221073115,0.1,0.9,decoupled,44,26,9,5,4.743416490252569
0.21666666666666667,0.8437929199783019,0.15620708002169817,2.8821022368691502,0.10833333333333334,0.8916666666666667,security_margin,42,26,9,5,4.743416490252569
0.21666666666666667,0.8432372572800504,0.15676274271994953,2.8839528580667517,0.1,0.9,security_margin,43,26,9,5,4.743416490252569
0.21666666666666667,0.8553346091991786,0.14466539080082144,2.878465545117916,0.1,0.9,security_margin,44,26,9,5,4.743416490252569
0.058333333333333334,0.8101657519068624,0.1898342480931377,2.8821393141547578,0.1,0.9,security_risk,42,26,9,5,4.743416490252569
0.058333333333333334,0.8093511709788608,0.1906488290211391,2.882170204749532,0.1,0.9,security_risk,43,26,9,5,4.743416490252569
0.058333333333333334,0.8082721118301046,0.19172788816989542,2.8798154126444655,0.1,0.9,security_risk,44,26,9,5,4.743416490252569
