slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,170.0,260.0,310.0,260.0,233.67096065467024,246.9747248240552,233.5,246.5,0.5045703162290711,1,4.8,0.9621647167884846,0.037835283211515414,0.9974694666786714,1.0005420942862193,2.5921862864470895,1.5916441921608702,1,0,0,20.0,1.5
1,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,228.7610900877238,244.83865363786745,229.0,245.0,0.28828908192511976,2,6.0,0.9403513495656685,0.05964865043433152,1.1418237170558496,1.1374149349700806,2.6317639143679745,1.494348979397894,1,0,0,20.0,1.5
2,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.86680333993885,244.0187897252578,224.5,243.5,1.7136143409378708,3,7.2,0.9148443677328898,0.0851556322671102,1.2748883248489553,1.2454369297598133,2.6640780631681165,1.4186411334083031,1,0,0,20.0,1.5
3,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,140.0,260.0,280.0,260.0,218.37846345034208,242.66280166672058,220.0,242.0,1.7517667742265488,4,8.4,0.8924585247579903,0.10754147524200973,1.3949111051851315,1.3672295908277052,2.688257752650636,1.321028161822931,1,0,0,20.0,1.5
4,0,aoi_thr=5,0.0,0.0,26,left,left,1.0,0.5,130.0,260.0,270.0,260.0,213.32994703678816,242.02135028722074,215.5,240.5,2.65021443652606,5,9.6,0.8681370175178164,0.13186298248218364,1.500414696029543,1.4658002934413492,2.703533783291671,1.2377334898503216,1,0,0,20.0,1.5
5,1,aoi_thr=5,1.0,1.0,25,down,left,1.0,0.5,130.0,250.0,260.0,260.0,209.49018744116276,240.43607357017936,209.49018744116276,240.43607357017936,0.0,0,3.6,0.9856,0.014400000000000003,1.5697163283614082,1.5697163283614082,2.817026437650627,1.247310109289219,1,0,0,20.0,1.5
6,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,240.0,250.0,260.0,204.60108302063117,238.68638960133836,204.99018744116276,238.93607357017936,0.46232492294210215,1,4.8,0.9622597689233803,0.03774023107661973,1.670680641246427,1.6638807301656227,2.9333675868407605,1.2694868566751378,1,0,0,20.0,1.5
7,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,230.0,240.0,260.0,199.5420451409339,237.20498450580675,200.49018744116276,237.43607357017936,0.9758975239008796,2,6.0,0.938804230571223,0.061195769428776976,1.7798920969726055,1.7646858650466788,3.0519037885004496,1.2872179234537708,1,0,0,20.0,1.5
8,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,220.0,230.0,260.0,194.61072773714352,236.1148642701862,195.99018744116276,235.93607357017936,1.390997911364996,3,7.2,0.9155702546994288,0.08442974530057125,1.8973376279640215,1.8789961437373073,3.1717213533726936,1.2927252096353863,1,0,0,20.0,1.5
9,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,210.0,220.0,260.0,189.8590997348824,234.36709432542864,191.49018744116276,234.43607357017936,1.6325456323745848,4,8.4,0.8927267723271572,0.10727322767284281,2.0223630100008503,2.000918415622812,3.2915792688245595,1.2906608532017474,1,0,0,20.0,1.5
10,0,aoi_thr=5,0.0,1.0,25,down,left,1.0,0.5,130.0,200.0,210.0,260.0,186.43517683782378,232.3590906596422,186.99018744116276,232.93607357017936,0.8005910621975781,5,9.6,0.8722986701100555,0.12770132988994454,2.153491638824626,2.142170133589836,3.4098378210143068,1.2676676874244706,1,0,0,20.0,1.5
11,1,aoi_thr=5,1.0,2.0,24,down,stay,1.0,0.5,130.0,190.0,210.0,260.0,180.83763571626196,231.1154412943274,180.83763571626196,231.1154412943274,0.0,0,3.6,0.9856,0.014400000000000003,2.253713900980838,2.253713900980838,3.5468047845704467,1.2930908835896087,1,0,0,10.0,1.5
12,0,aoi_thr=5,0.0,2.0,24,down,left,1.0,0.5,130.0,180.0,200.0,260.0,174.8831277582754,229.80050633940542,176.33763571626196,229.6154412943274,1.466234111851149,1,4.8,0.9600009732483349,0.039999026751665084,2.399895643870825,2.387714191596185,3.6550089316949195,1.2672947400987344,0,1,0,20.0,1.5
13,0,aoi_thr=5,0.0,2.0,24,down,stay,1.0,0.5,130.0,170.0,200.0,260.0,171.07033185760025,228.3495868609333,171.83763571626196,228.1154412943274,0.8022339795086811,2,6.0,0.9391949735461055,0.06080502645389453,2.5297552910562286,2.525300446360692,3.775934098118005,1.250633651757313,0,1,0,10.0,1.5
14,0,aoi_thr=5,0.0,2.0,24,down,stay,1.0,0.5,130.0,160.0,200.0,260.0,166.57682440960758,225.4141603143586,167.33763571626196,226.6154412943274,1.4219387599921236,3,7.2,0.9155006377900177,0.08449936220998228,2.6534933172654873,2.6310479176383725,3.8831690540163653,1.2521211363779927,0,1,0,10.0,1.5
15,0,aoi_thr=5,0.0,2.0,24,down,left,1.0,0.5,130.0,150.0,190.0,260.0,162.46553698949873,224.19156511143123,162.83763571626196,225.1154412943274,0.9959943091110662,4,8.4,0.8941590128045,0.10584098719549989,2.7871137388557616,2.7721322016290744,3.949743173310192,1.1776109716811178,0,1,0,20.0,1.5
