avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,budget,periodic_k,aoi_threshold,eve_speed
1.0,1.0,1.0,0.9,1.0,0.9818746625988132,0.018125337401186842,4.526106831865094,0.0038092578828255673,0.003282260115468594,3.935173929166215,1.0,0.0,1.0,0.825,0.0,1.0,full,42,4.17307326899936,104.326831724984,80,4,6,2.23606797749979
0.25,0.25,0.25,0.25,0.25,0.963193616777707,0.03680638322229301,4.5286367852646325,1.767841766961986e-05,-0.0008856436950560487,3.8884669745046416,1.0,0.0,1.0,0.1,0.0,1.0,periodic,42,4.121084868000253,103.02712170000632,80,4,6,2.23606797749979
0.2,0.2,0.2,0.2,0.2,0.924729683634661,0.07527031636533901,4.527959184536529,0.0003172327092749505,-0.00039574876069448095,3.8322988173353734,1.0,0.0,1.0,0.525,0.0,1.0,aoi_only,42,3.834925475000091,95.87313687500227,80,4,6,2.23606797749979
0.25,0.25,0.25,0.25,0.25,0.963193616777707,0.03680638322229301,4.5286367852646325,1.767841766961986e-05,-0.0008856436950560487,3.8884669745046416,1.0,0.0,1.0,0.1,0.0,1.0,decoupled,42,3.904110906999449,97.60277267498623,80,4,6,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.4382003034077656,4.528037599243424,0.0024969205382838755,0.0024824886874433407,3.0664632408364616,1.0,0.0,1.0,0.875,0.0,1.0,security_margin,42,4.238215565999781,105.95538914999452,80,4,6,2.23606797749979
0.013749719023829491,0.013749719023829491,0.05,0.05,0.05,0.7543266533417267,0.2456733466582733,4.527967462011905,0.0007498035453629593,0.0007353716945224242,3.5425471440896907,1.0,0.0,1.0,0.875,0.0,1.0,security_risk,42,3.929530112000066,98.23825280000165,80,4,6,2.23606797749979
0.175,0.175,0.3,0.275,0.3,0.9576317920650546,0.04236820793494562,1.6910161001693815,0.0037651410914950833,0.0014254597470496622,1.757276546150751,1.0,0.0,1.0,0.525,0.075,0.925,random_budgeted,42,0.05608693799968023,1.4021734499920058,80,4,6,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.4382003034077656,4.528037599243424,0.0024969205382838755,0.0024824886874433407,3.0664632408364616,1.0,0.0,1.0,0.875,0.0,1.0,rollout_joint,42,6.386619987999438,159.66549969998596,80,4,6,2.23606797749979
0.0625,0.0625,0.25,0.25,0.25,0.958084779669434,0.041915220330566084,4.5286367852646325,5.60639436346877e-05,-0.0011730944628234098,3.8807148878734963,1.0,0.0,1.0,0.225,0.0,1.0,risk_adaptive_hybrid_rollout,42,6.1692130370001905,154.23032592500476,80,4,6,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.5617996965922344,0.4382003034077656,4.528037599243424,0.0024969205382838755,0.0024824886874433407,3.0664632408364616,1.0,0.0,1.0,0.875,0.0,1.0,oracle_sync,42,6.545373787999779,163.63434469999447,80,4,6,2.23606797749979
