scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
paper_base,periodic,0.15,0.0,0.0,0.13999999999999999,0.0037267799624996485,0.0032666666666666655,0.15,0.0,0.0,0.9119366936786344,0.004439858122995445,0.003891707232801195,0.08806330632136561,0.004439858122995462,0.00389170723280121,2.7024151377205357,0.013767516099462116,0.012067759936850258,0.003175815959573566,0.000649236739178713,0.0005690810930592101,-0.002091300450674122,0.001404323347766518,0.0012309436874544364,0.0910947836185034,0.013372044638948432,0.011721113917853326,0.8366666666666667,0.0447213595499958,0.039200000000000006,0.16333333333333333,0.0447213595499958,0.039200000000000006,0.9200000000000002,0.01394433377556793,0.012222747463461544,0.41166666666666674,0.05968668193156661,0.052317683434953424,0.15666666666666668,0.0383695481107378,0.03363239179389087,0.8433333333333334,0.03836954811073777,0.033632391793890846,0.9142325127999357,0.054912978492155824,0.048133347880134174,7.618604273332798,0.45760815410129857,0.4011112323344515,5
paper_base,rollout_joint,0.008333333333333333,0.005892556509887896,0.005165053511608352,0.008333333333333333,0.005892556509887896,0.005165053511608352,0.008333333333333333,0.005892556509887896,0.005165053511608352,0.5338417712460638,0.022403934631586034,0.019637914553477725,0.4661582287539362,0.02240393463158601,0.019637914553477704,2.733690933929237,0.01803160653513315,0.015805399998786173,0.013456554914511431,0.010009732521999173,0.00877391740346598,0.003874168633009959,0.012859214179094278,0.011271598200340112,-0.6845480763803857,0.1697150256596525,0.14876177899781678,0.13166666666666665,0.0750925355071254,0.06582150948672562,0.8683333333333334,0.07509253550712537,0.06582150948672559,0.9416666666666667,0.022047927592204915,0.019325860624792073,0.5233333333333333,0.19015709879523887,0.16668004612963658,0.15166666666666667,0.032489314482696555,0.02847813976446574,0.8483333333333333,0.032489314482696555,0.02847813976446574,24.112064900399854,0.8074277381973902,0.707741617335081,200.93387416999877,6.72856448497826,5.8978468111256825,5
paper_base,security_margin,0.23333333333333334,0.0,0.0,0.225,0.008333333333333331,0.007304488726499311,0.23333333333333334,0.0,0.0,0.654668217056072,0.0118140213166938,0.01035544626268949,0.3453317829439279,0.011814021316693842,0.010355446262689529,2.710364683320885,0.01647335647886664,0.014439533602498293,0.005179543768591148,0.004228259316353549,0.003706232701082423,-0.0010189714352634761,0.009485142970304727,0.008314094387499011,-0.2908761880747356,0.04331770280148406,0.03796964061255456,0.32,0.06886984503798128,0.06036708080108267,0.68,0.06886984503798131,0.06036708080108269,0.9483333333333333,0.018066236157232327,0.015835754200893334,0.38,0.1757523510195209,0.15405372800134084,0.17333333333333334,0.04464365078659625,0.03913188526565574,0.8266666666666665,0.04464365078659623,0.03913188526565572,0.9034080493998772,0.05724436150945613,0.05017689519617682,7.528400411665643,0.47703634591213456,0.4181407933014736,5
paper_base,security_risk,0.10166666666666666,0.0037267799624996485,0.0032666666666666655,0.09833333333333331,0.0037267799624996554,0.0032666666666666716,0.10166666666666666,0.0037267799624996485,0.0032666666666666655,0.8017518696649075,0.003978248733153988,0.0034870887627040173,0.19824813033509245,0.003978248733153999,0.003487088762704027,2.701837957656431,0.014368810358398263,0.012594817593135198,0.004719640283931062,0.0023679057248698534,0.002075560880727003,-0.003305671197255384,0.007527755115817542,0.006598368285520411,0.06440265710027379,0.015437826536252332,0.01353185158748485,0.7833333333333333,0.03227486121839514,0.028290163190291658,0.21666666666666665,0.032274861218395144,0.028290163190291664,0.9400000000000001,0.041833001326703784,0.03666824239038463,0.44333333333333336,0.16044642581109606,0.14063749302531114,0.1683333333333333,0.03970376416523865,0.034801883729348775,0.8316666666666667,0.03970376416523863,0.034801883729348754,0.9018413777997921,0.04049218705451687,0.03549296686212239,7.515344814998268,0.33743489212097383,0.2957747238510198,5
paper_hard,periodic,0.15714285714285714,0.0,0.0,0.15,0.007142857142857145,0.006260990336999413,0.15714285714285714,0.0,0.0,0.8691657832444426,0.004117569594923712,0.0036092088824035908,0.13083421675555745,0.004117569594923729,0.0036092088824036064,2.567860001402007,0.01577721084390685,0.013829335049390436,0.0029939556363662834,0.0012064115232190027,0.0010574663245046482,-0.00028195972818409866,0.002962475167758458,0.002596723975851098,-0.2224778921969169,0.014010474771704619,0.01228072260273833,0.2757142857142857,0.021189138534559036,0.018573098825990238,0.7242857142857142,0.021189138534559036,0.018573098825990238,0.8957142857142857,0.0402796347996334,0.03530665659617179,0.27142857142857146,0.06039833759031344,0.0529414771233293,0.5742857142857142,0.017928429140015887,0.01571496102445054,0.4257142857142857,0.0179284291400159,0.01571496102445055,1.0466920976006804,0.010715557913349192,0.00939260063714516,7.476372125719147,0.07653969938106571,0.0670900045510369,5
paper_hard,rollout_joint,0.011428571428571429,0.006388765649999398,0.005599999999999999,0.011428571428571429,0.006388765649999398,0.005599999999999999,0.011428571428571429,0.006388765649999398,0.005599999999999999,0.5446730944688822,0.03246689127395747,0.02845848495541215,0.45532690553111765,0.03246689127395747,0.02845848495541215,2.5736664166090555,0.019300959381474705,0.016918036825512378,0.013020062283184114,0.008884342409123626,0.007787469476376392,0.008579523999576663,0.010060805722364702,0.00881868503742153,-1.2567261755368204,0.3719183791596497,0.32600083292994697,0.01,0.022360679774997897,0.0196,0.99,0.022360679774997918,0.019600000000000017,0.9342857142857144,0.02918973820243221,0.025585933635495883,0.4228571428571429,0.11196300409382687,0.09813990014260257,0.5742857142857144,0.03218251521733947,0.028209218351453846,0.4257142857142856,0.03218251521733945,0.028209218351453826,28.3574597188006,0.10143420418310459,0.08891100011243001,202.55328370571857,0.7245300298793254,0.6350785722316491,5
paper_hard,security_margin,0.15714285714285714,0.0,0.0,0.15,0.007142857142857145,0.006260990336999413,0.15714285714285714,0.0,0.0,0.5819143963631749,0.0031688985604288555,0.002777662057208697,0.4180856036368251,0.003168898560428868,0.002777662057208708,2.569503558024433,0.017672267106682352,0.015490425102293504,0.007788047113835922,0.004183607507180128,0.0036670936646754164,0.0017067728976627387,0.006392427467588161,0.005603209724635473,-1.1472625276127921,0.025487110252227205,0.02234043714101264,0.015714285714285715,0.024948927423675687,0.02186869909253863,0.9842857142857142,0.024948927423675694,0.02186869909253864,0.9757142857142858,0.019298937265866154,0.016916264363032417,0.29428571428571426,0.06090306784940631,0.053383892701825336,0.5771428571428572,0.02281245631810185,0.019995999599919954,0.42285714285714276,0.02281245631810188,0.019995999599919982,1.0354113184006564,0.012083509791999908,0.010591663326264884,7.39579513143326,0.08631078422857075,0.07565473804474916,5
paper_hard,security_risk,0.08714285714285715,0.003194382824999701,0.002800000000000001,0.08571428571428572,0.0,0.0,0.08714285714285715,0.003194382824999701,0.002800000000000001,0.7806686784436307,0.0007766448153007783,0.0006807591957430411,0.2193313215563691,0.0007766448153007459,0.0006807591957430127,2.569158210302256,0.013498035752806559,0.011831549998351221,0.0048561601606965515,0.0016630290790531606,0.0014577092591741216,-0.00269686333448783,0.005531016676709253,0.004848149875332291,-0.23498114494645864,0.012064875443250111,0.010575329599420659,0.29285714285714287,0.015971914124998515,0.014000000000000014,0.7071428571428572,0.01597191412499849,0.013999999999999993,0.9442857142857143,0.03513821107499669,0.030799999999999994,0.30714285714285716,0.07016743822995893,0.06150447138216862,0.5757142857142858,0.02604940361258635,0.022833309002420095,0.4242857142857142,0.02604940361258638,0.02283330900242012,1.0574078606001422,0.018139843804628523,0.015900274148564094,7.552913290001015,0.1295703128902037,0.11357338677545778,5
scenario_stress,periodic,0.11875,0.0,0.0,0.11374999999999999,0.0027950849718747337,0.0024499999999999965,0.11875,0.0,0.0,0.8180958211793655,0.002248509361928216,0.001970905354275938,0.18190417882063448,0.002248509361928174,0.0019709053542759014,2.4634007680044023,0.015645897949306816,0.013714234222400442,0.0026956281485116256,0.0011467531947838478,0.0010051734940050823,-0.002843490039145626,0.0031785112892035706,0.0027860879854845933,-0.4824333820796315,0.01358136553680128,0.011904591774483749,0.0,0.0,0.0,1.0,0.0,0.0,0.9112500000000001,0.03199120973017431,0.028041531698536005,0.20249999999999999,0.03324859019567596,0.02914367427075728,0.4887499999999999,0.018434851504690764,0.01615885979888431,0.5112500000000001,0.018434851504690767,0.016158859798884314,1.2021875513994018,0.00972945474668415,0.008528243101456752,7.513672196246262,0.06080909216677594,0.053301519384104705,5
scenario_stress,rollout_joint,0.02375,0.011180339887498949,0.0098,0.0225,0.009478594305064439,0.008308354229328452,0.02375,0.011180339887498949,0.0098,0.5938192811713828,0.03352347557130896,0.02938462192604417,0.40618071882861717,0.03352347557130894,0.02938462192604415,2.460992647510745,0.017431644605477064,0.015279510180605973,0.009393157757709176,0.008525250945554213,0.007472711930685402,0.006955324143519492,0.009755632792425466,0.008551189170256658,-1.2515354831423788,0.11008598877508784,0.09649462367437908,0.0,0.0,0.0,1.0,0.0,0.0,0.9262500000000001,0.01617772388193097,0.014180400205918016,0.30625,0.07447734554883115,0.06528227171292371,0.48624999999999996,0.023962861890851006,0.021004374544365743,0.5137499999999999,0.023962861890851003,0.02100437454436574,32.605152162399825,0.377778209744939,0.33113720090387994,203.78220101499892,2.3611138109058687,2.06960750564925,5
