avg_sync_cost,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
0.11875,0.1125,0.11875,0.81719551892065,0.18280448107935,2.4483824789560926,0.003731983083930253,-0.0017412169173738445,-0.4944784154770936,0.0,1.0,0.90625,0.23125,0.4875,0.5125,periodic,62,1.174288018000425,7.339300112502656,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.443589044125961,0.0029154061380250716,0.0009449221806880889,-2.0166396584800452,0.0,1.0,0.99375,0.1625,0.4625,0.5375,security_margin,62,1.1940213130001212,7.462633206250757,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.444555126692658,0.00295389151736736,0.0010262499550531198,-2.0147254783952038,0.0,1.0,0.99375,0.15625,0.4625,0.5375,rollout_joint,62,18.28687406500012,114.29296290625075,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.444555126692658,0.00295389151736736,0.0010262499550531198,-2.0147254783952038,0.0,1.0,0.99375,0.15625,0.4625,0.5375,risk_adaptive_hybrid_rollout,62,18.199067471000035,113.74417169375022,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8170135534922197,0.18298644650778034,2.4890078114816405,0.0033008132230819666,-0.0021186699928734147,-0.459019764058011,0.0,1.0,0.8875,0.2375,0.50625,0.49375,periodic,63,1.1695768449999377,7.309855281249611,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.489540831527171,0.00043841240440461863,-0.0053133126766653285,-1.9808658532848824,0.0,1.0,1.0,0.06875,0.4875,0.5125,security_margin,63,1.2041633159997218,7.526020724998261,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.4907587788125904,0.0004474943055052569,-0.005441978423615433,-1.9784361139226116,0.0,1.0,1.0,0.06875,0.4875,0.5125,rollout_joint,63,18.295421386999806,114.34638366874879,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.4907587788125904,0.0004474943055052569,-0.005441978423615433,-1.9784361139226116,0.0,1.0,1.0,0.06875,0.4875,0.5125,risk_adaptive_hybrid_rollout,63,18.24295165300009,114.01844783125057,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8172692651265117,0.1827307348734884,2.459875259464817,0.0015762409148832811,-0.0044812415275736605,-0.48719736943108405,0.0,1.0,0.9375,0.2,0.48125,0.51875,periodic,64,1.1751628729998629,7.344767956249143,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5552812372680138,0.44471876273198624,2.464104152367177,0.004253803985530767,-0.002475944423571105,-2.000469226249464,0.0,1.0,0.9875,0.15,0.46875,0.53125,security_margin,64,1.1682200939999348,7.301375587499592,scenario_stress,configs/scenario_stress.yaml
