method,avg_sync_cost_mean,avg_sync_cost_std,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_badness_mean,avg_twin_badness_std,avg_secrecy_rate_mean,avg_secrecy_rate_std,outage_prob_mean,outage_prob_std,success_prob_mean,success_prob_std
aoi_only,0.16666666666666666,0.0,0.9268255018703023,0.00038086611168423385,0.07317449812969769,0.00038086611168411654,2.8557370995916833,0.005226705488899763,0.7916666666666666,0.008333333333333373,0.20833333333333334,0.008333333333333331
decoupled,0.11666666666666665,0.0,0.8938107004907008,0.0004250246980735942,0.1061892995092993,0.0004250246980735476,2.8559321082708897,0.0036685723464406294,0.7972222222222222,0.00962250448649381,0.2027777777777778,0.009622504486493757
full,0.21666666666666667,0.0,0.6139039088372291,0.0018174233223573273,0.3860960911627709,0.0018174233223573193,2.849208601183534,0.007200703211803812,0.7944444444444444,0.00962250448649381,0.20555555555555557,0.009622504486493757
periodic,0.11666666666666665,0.0,0.8938107004907008,0.0004250246980735942,0.1061892995092993,0.0004250246980735476,2.8559321082708897,0.0036685723464406294,0.7972222222222222,0.00962250448649381,0.2027777777777778,0.009622504486493757
security_margin,0.21666666666666667,0.0,0.6139039088372291,0.0018174233223573273,0.3860960911627709,0.0018174233223573193,2.849208601183534,0.007200703211803812,0.7944444444444444,0.00962250448649381,0.20555555555555557,0.009622504486493757
security_risk,0.05833333333333333,0.0,0.8178124811880739,0.001055827691124632,0.18218751881192596,0.0010558276911246107,2.856525943934115,0.0041262150639957505,0.7861111111111111,0.012729376930432919,0.2138888888888889,0.012729376930432872
