avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,budget,periodic_k,aoi_threshold,eve_speed
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,full,42,26,9,5,4.743416490252569
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,full,43,26,9,5,4.743416490252569
0.21666666666666667,0.6146998839499236,0.3853001160500764,2.8546244594069905,0.7833333333333333,0.21666666666666667,full,44,26,9,5,4.743416490252569
0.11666666666666667,0.8942817786539161,0.10571822134608398,2.85942063149225,0.7916666666666666,0.20833333333333334,periodic,42,26,9,5,4.743416490252569
0.11666666666666667,0.8936943671852902,0.1063056328147098,2.856268970722246,0.7916666666666666,0.20833333333333334,periodic,43,26,9,5,4.743416490252569
0.11666666666666667,0.8934559556328959,0.10654404436710413,2.852106722598172,0.8083333333333333,0.19166666666666668,periodic,44,26,9,5,4.743416490252569
0.16666666666666666,0.9272508960825441,0.07274910391745606,2.8604365241478007,0.7916666666666666,0.20833333333333334,aoi_only,42,26,9,5,4.743416490252569
0.16666666666666666,0.9267094423250616,0.07329055767493832,2.856666870031785,0.7833333333333333,0.21666666666666667,aoi_only,43,26,9,5,4.743416490252569
0.16666666666666666,0.9265161672033013,0.0734838327966987,2.850107904595464,0.8,0.2,aoi_only,44,26,9,5,4.743416490252569
0.11666666666666667,0.8942817786539161,0.10571822134608398,2.85942063149225,0.7916666666666666,0.20833333333333334,decoupled,42,26,9,5,4.743416490252569
0.11666666666666667,0.8936943671852902,0.1063056328147098,2.856268970722246,0.7916666666666666,0.20833333333333334,decoupled,43,26,9,5,4.743416490252569
0.11666666666666667,0.8934559556328959,0.10654404436710413,2.852106722598172,0.8083333333333333,0.19166666666666668,decoupled,44,26,9,5,4.743416490252569
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,security_margin,42,26,9,5,4.743416490252569
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,security_margin,43,26,9,5,4.743416490252569
0.21666666666666667,0.6146998839499236,0.3853001160500764,2.8546244594069905,0.7833333333333333,0.21666666666666667,security_margin,44,26,9,5,4.743416490252569
0.058333333333333334,0.8190176490683768,0.1809823509316232,2.8609275051333762,0.775,0.225,security_risk,42,26,9,5,4.743416490252569
0.058333333333333334,0.8170503670045189,0.18294963299548112,2.855904829441995,0.7833333333333333,0.21666666666666667,security_risk,43,26,9,5,4.743416490252569
0.058333333333333334,0.8173694274913264,0.18263057250867357,2.852745497226975,0.8,0.2,security_risk,44,26,9,5,4.743416490252569
