periodic_k,budget,eve_speed,avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob
1,20,0.0,0.16666666666666666,0.5867809009046226,0.4132190990953773,3.7111514734283593,0.06666666666666667,0.9333333333333332
1,20,2.0,0.16666666666666666,0.5868877589051454,0.4131122410948545,3.3664578536137792,0.075,0.9250000000000002
1,20,4.0,0.16666666666666666,0.589667432487162,0.41033256751283803,3.4321279720578044,0.08888888888888889,0.9111111111111111
1,20,6.0,0.16666666666666666,0.5904171107505992,0.40958288924940084,3.4539007861483966,0.10000000000000002,0.9
1,20,8.0,0.16666666666666666,0.5906356075430129,0.40936439245698714,3.4213966668633318,0.11388888888888889,0.8861111111111111
1,40,0.0,0.3333333333333333,0.67723706604269,0.32276293395731,3.7111514734283593,0.06666666666666667,0.9333333333333332
1,40,2.0,0.3333333333333333,0.6773071003930758,0.3226928996069242,3.3617793904770132,0.075,0.9250000000000002
1,40,4.0,0.3333333333333333,0.6779829926158992,0.3220170073841009,3.4298425133466,0.08888888888888889,0.9111111111111111
1,40,6.0,0.3333333333333333,0.6783218761034027,0.3216781238965973,3.4537141701168905,0.10000000000000002,0.9
1,40,8.0,0.3333333333333333,0.6783237709769048,0.3216762290230953,3.4213966668633318,0.11388888888888889,0.8861111111111111
1,60,0.0,0.5,0.7710660076165886,0.2289339923834114,3.7111514734283593,0.06666666666666667,0.9333333333333332
1,60,2.0,0.5,0.7711120870760716,0.22888791292392838,3.3673115320655316,0.075,0.9250000000000002
1,60,4.0,0.5,0.7724401187746329,0.227559881225367,3.4300358063234184,0.08888888888888889,0.9111111111111111
1,60,6.0,0.5,0.7724401187746329,0.227559881225367,3.4537141701168905,0.10000000000000002,0.9
1,60,8.0,0.5,0.7724401187746329,0.227559881225367,3.4213966668633318,0.11388888888888889,0.8861111111111111
1,80,0.0,0.6666666666666666,0.8621000154215427,0.1378999845784573,3.7111514734283593,0.06666666666666667,0.9333333333333332
1,80,2.0,0.6666666666666666,0.8621174425961621,0.13788255740383787,3.3665368627439545,0.075,0.9250000000000002
1,80,4.0,0.6666666666666666,0.8625395767443248,0.13746042325567515,3.4300358063234184,0.08888888888888889,0.9111111111111111
1,80,6.0,0.6666666666666666,0.8625395767443248,0.13746042325567515,3.4537141701168905,0.10000000000000002,0.9
1,80,8.0,0.6666666666666666,0.8625395767443248,0.13746042325567515,3.4213966668633318,0.11388888888888889,0.8861111111111111
2,20,0.0,0.16666666666666666,0.6688525255816189,0.3311474744183811,3.7111514734283593,0.06666666666666667,0.9333333333333332
2,20,2.0,0.16666666666666666,0.6689511356597424,0.33104886434025765,3.3619276839668726,0.075,0.9250000000000002
2,20,4.0,0.16666666666666666,0.6696554790293653,0.33034452097063477,3.4297334409040725,0.08888888888888889,0.9111111111111111
2,20,6.0,0.16666666666666666,0.6698772395855515,0.3301227604144485,3.4537141701168905,0.10000000000000002,0.9
2,20,8.0,0.16666666666666666,0.6699152294272378,0.33008477057276214,3.4213966668633318,0.11388888888888889,0.8861111111111111
2,40,0.0,0.3333333333333333,0.8493109906843475,0.1506890093156526,3.7111514734283593,0.06666666666666667,0.9333333333333332
2,40,2.0,0.3333333333333333,0.8493427164813637,0.15065728351863614,3.366414809537586,0.075,0.9250000000000002
2,40,4.0,0.3333333333333333,0.8498884068941249,0.15011159310587516,3.4300358063234184,0.08888888888888889,0.9111111111111111
2,40,6.0,0.3333333333333333,0.8499441146701886,0.15005588532981143,3.4537141701168905,0.10000000000000002,0.9
2,40,8.0,0.3333333333333333,0.8499785347033385,0.15002146529666152,3.4213966668633318,0.11388888888888889,0.8861111111111111
2,60,0.0,0.5,0.9734524511340753,0.026547548865924604,3.7111514734283593,0.06666666666666667,0.9333333333333332
2,60,2.0,0.5,0.9734701198563597,0.026529880143640355,3.3665243911442126,0.075,0.9250000000000002
2,60,4.0,0.5,0.9736635126297112,0.02633648737028886,3.4300358063234184,0.08888888888888889,0.9111111111111111
2,60,6.0,0.5,0.9737192204057749,0.026280779594225142,3.4537141701168905,0.10000000000000002,0.9
2,60,8.0,0.5,0.9737536404389248,0.026246359561075214,3.4213966668633318,0.11388888888888889,0.8861111111111111
2,80,0.0,0.5,0.9734524511340753,0.026547548865924604,3.7111514734283593,0.06666666666666667,0.9333333333333332
2,80,2.0,0.5,0.9734701198563597,0.026529880143640355,3.3665243911442126,0.075,0.9250000000000002
2,80,4.0,0.5,0.9736635126297112,0.02633648737028886,3.4300358063234184,0.08888888888888889,0.9111111111111111
2,80,6.0,0.5,0.9737192204057749,0.026280779594225142,3.4537141701168905,0.10000000000000002,0.9
2,80,8.0,0.5,0.9737536404389248,0.026246359561075214,3.4213966668633318,0.11388888888888889,0.8861111111111111
4,20,0.0,0.16666666666666666,0.8251062511022821,0.17489374889771794,3.7111514734283593,0.06666666666666667,0.9333333333333332
4,20,2.0,0.16666666666666666,0.8251257563499661,0.17487424365003393,3.367013060751585,0.075,0.9250000000000002
4,20,4.0,0.16666666666666666,0.825596460646255,0.17440353935374506,3.4285900485645198,0.08888888888888889,0.9111111111111111
4,20,6.0,0.16666666666666666,0.8256985508305119,0.17430144916948817,3.4536520493168186,0.10000000000000002,0.9
4,20,8.0,0.16666666666666666,0.8257599997015722,0.17424000029842776,3.4213966668633318,0.11388888888888889,0.8861111111111111
4,40,0.0,0.25,0.9501622427648003,0.04983775723519978,3.7111514734283593,0.06666666666666667,0.9333333333333332
4,40,2.0,0.25,0.9502243922728367,0.04977560772716328,3.3671281819354504,0.075,0.9250000000000002
4,40,4.0,0.25,0.950528728111038,0.049471271888962005,3.4285900485645198,0.08888888888888889,0.9111111111111111
4,40,6.0,0.25,0.9506308182952948,0.04936918170470512,3.4536520493168186,0.10000000000000002,0.9
4,40,8.0,0.25,0.9506922671663552,0.0493077328336447,3.4213966668633318,0.11388888888888889,0.8861111111111111
4,60,0.0,0.25,0.9501622427648003,0.04983775723519978,3.7111514734283593,0.06666666666666667,0.9333333333333332
4,60,2.0,0.25,0.9502243922728367,0.04977560772716328,3.3671281819354504,0.075,0.9250000000000002
4,60,4.0,0.25,0.950528728111038,0.049471271888962005,3.4285900485645198,0.08888888888888889,0.9111111111111111
4,60,6.0,0.25,0.9506308182952948,0.04936918170470512,3.4536520493168186,0.10000000000000002,0.9
4,60,8.0,0.25,0.9506922671663552,0.0493077328336447,3.4213966668633318,0.11388888888888889,0.8861111111111111
4,80,0.0,0.25,0.9501622427648003,0.04983775723519978,3.7111514734283593,0.06666666666666667,0.9333333333333332
