scenario,target,baseline,metric,num_pairs,mean_diff,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_stat,paired_t_pvalue_approx,wilcoxon_pvalue,wilcoxon_stat,cohen_dz,rank_biserial,cliffs_delta,win_pairs,loss_pairs,tie_pairs,paired_t_pvalue_holm,paired_t_pvalue_bonferroni,wilcoxon_pvalue_holm,wilcoxon_pvalue_bonferroni
paper_base_holdoutfit,rollout_joint,periodic,avg_secrecy_rate,20,0.028075679525192763,0.018106884708675424,0.038924847755266626,5.0491767627405935,4.437180303185073e-07,2.6702880859375e-05,6.0,1.1290302471900295,0.9428571428571428,0.66,19,1,0,4.437180303185073e-07,3.993462272866566e-06,2.6702880859375e-05,0.000240325927734375
paper_base_holdoutfit,rollout_joint,security_risk,avg_secrecy_rate,20,0.14152253267098489,0.11286312745977581,0.18009801825066227,8.104557219503846,4.440892098500626e-16,1.9073486328125e-06,0.0,1.8122340870347284,1.0,1.0,20,0,0,8.881784197001252e-16,3.9968028886505635e-15,1.71661376953125e-05,1.71661376953125e-05
paper_base_holdoutfit,rollout_joint,security_margin,avg_secrecy_rate,20,0.9412119734303204,0.9181840818780534,0.9632372761783182,78.84340405772822,0.0,1.9073486328125e-06,0.0,17.629921105056304,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
paper_hard_holdoutfit,rollout_joint,periodic,avg_secrecy_rate,20,0.16213814103621405,0.1517411960834848,0.17190069407095634,30.371500963570565,0.0,1.9073486328125e-06,0.0,6.791274073324415,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
paper_hard_holdoutfit,rollout_joint,security_risk,avg_secrecy_rate,20,0.18671118600804829,0.16246990939918596,0.21675288647522684,12.61268329741046,0.0,1.9073486328125e-06,0.0,2.8202817231685984,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
paper_hard_holdoutfit,rollout_joint,security_margin,avg_secrecy_rate,20,0.856427251318084,0.8445758008554047,0.8682985591301872,137.8982174823861,0.0,1.9073486328125e-06,0.0,30.834978826666518,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
scenario_stress_holdoutfit,rollout_joint,periodic,avg_secrecy_rate,20,0.2707042213416945,0.2519150265548373,0.2893888762654708,27.625448553809516,0.0,1.9073486328125e-06,0.0,6.177238087524133,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
scenario_stress_holdoutfit,rollout_joint,security_risk,avg_secrecy_rate,20,0.2929581469244689,0.2742949803470298,0.3134219963792398,29.022959464827878,0.0,1.9073486328125e-06,0.0,6.489731027157605,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
scenario_stress_holdoutfit,rollout_joint,security_margin,avg_secrecy_rate,20,0.9318270966683798,0.9185591042524345,0.9451644829308793,134.3835943641753,0.0,1.9073486328125e-06,0.0,30.049085205905357,1.0,1.0,20,0,0,0.0,0.0,1.71661376953125e-05,1.71661376953125e-05
