scenario,method,num_runs,episode_length_mean,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,outage_prob_mean,outage_prob_ci95,avg_sync_cost_mean,certificate_cover_rate_mean,certificate_empirical_cover_rate_mean,certificate_margin_cover_rate_mean,runtime_per_slot_ms_mean,runtime_per_slot_ms_ci95,secrecy_gain_vs_periodic,outage_gain_vs_periodic
paper_base_holdoutfit,rollout_joint,20,120.0,1.642135091613961,0.006411203272443489,1.6357238883415175,1.6482204831226175,0.8912499999999998,0.004166666666666985,0.20177083333333332,1.0,1.0,1.0,1261.1617990837499,6.681382913968491,0.028075679525192854,0.0
paper_base_holdoutfit,periodic,20,120.0,1.6140594120887681,0.01147289617963776,1.6026225014490638,1.625532308268406,0.8912499999999998,0.005416666666666736,0.14999999999999997,1.0,1.0,1.0,99.57841649291717,0.257974472437283,0.0,0.0
paper_base_holdoutfit,security_risk,20,120.0,1.5006125589429762,0.036177104265000315,1.4644354546779759,1.5294526227250098,0.8895833333333332,0.004583333333333162,0.039472754803194954,1.0,1.0,1.0,99.60984605583236,0.27978225722942796,-0.11344685314579195,0.0016666666666665941
paper_base_holdoutfit,security_margin,20,120.0,0.7009231181836404,0.025322116569873265,0.6770503686953337,0.7262452347535137,0.8979166666666666,0.003750000000000031,0.23304335872567794,0.9716666666666667,0.9716666666666667,0.9716666666666667,100.35345704166681,0.37428456771834817,-0.9131362939051277,-0.006666666666666821
paper_hard_holdoutfit,rollout_joint,20,140.0,1.4425838082435471,0.005399336154930268,1.437279839349141,1.4479831443984774,0.9482142857142856,0.0035714285714286698,0.10321428571428573,1.0,1.0,1.0,1410.6349905199993,40.689495172305215,0.16213814103621438,0.0014285714285714457
paper_hard_holdoutfit,periodic,20,140.0,1.2804456672073328,0.010334614689394117,1.270593366303066,1.2907802818967269,0.949642857142857,0.0035714285714284477,0.1571428571428571,1.0,1.0,1.0,110.42884259250027,4.1337506227943805,0.0,0.0
paper_hard_holdoutfit,security_risk,20,140.0,1.2558726222354988,0.030700173163819455,1.2251724490716793,1.2787098887056987,0.9432142857142857,0.0035714285714286698,0.03889299074947251,0.9914285714285714,0.9914285714285714,0.9914285714285714,108.1532312310716,3.320885044686406,-0.02457304497183399,0.006428571428571339
paper_hard_holdoutfit,security_margin,20,140.0,0.5861565569254632,0.013690228140151639,0.572891237794667,0.5998467850656148,0.9657142857142856,0.007500000000000173,0.15690003739248098,0.9885714285714287,0.9885714285714287,0.9885714285714287,109.68204776928455,3.4023340481343354,-0.6942891102818696,-0.016071428571428625
scenario_stress_holdoutfit,rollout_joint,20,160.0,1.253323464277551,0.005198616180295712,1.2481248480972553,1.2584571678041843,1.0,0.0,0.112265625,1.0,1.0,1.0,1448.5703835496863,15.373215117115933,0.2707042213416947,0.0
scenario_stress_holdoutfit,periodic,20,160.0,0.9826192429358563,0.02062355106595193,0.9619956918699044,1.0021765154943605,1.0,0.0,0.11874999999999998,1.0,1.0,1.0,109.95276506250036,2.1150523246937354,0.0,0.0
scenario_stress_holdoutfit,security_risk,20,160.0,0.960365317353082,0.02051873385742209,0.9398465834956599,0.9799645611494842,1.0,0.0,0.04170465627820343,0.9721874999999999,0.9721874999999999,0.9721874999999999,108.99736491968952,1.8718441297964432,-0.022253925582774392,0.0
scenario_stress_holdoutfit,security_margin,20,160.0,0.321496367609171,0.014440810911012791,0.30949374483955083,0.3359371785201838,1.0,0.0,0.11866816637070407,0.9959374999999999,0.9959374999999999,0.9959374999999999,110.4353370593742,1.925619820984366,-0.6611228753266853,0.0
