episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
120.0,193.4848853091832,0.15,0.15,0.15,0.13333333333333333,0.15,0.8774454862349707,0.12255451376502924,1.6123740442431933,0.10579390746884591,0.09380126599000087,-1.992340212074305,0.0,1.0,1.0,1.0,1.0,0.725,0.9,0.1,periodic,62,11.996293909000087,99.96911590833406,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,181.0610312902482,0.03807417603816213,0.03807417603816213,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.769256077008949,0.23074392299105095,1.508841927418735,0.2951483722051801,0.294730566663393,-2.2639060316682733,0.0,1.0,1.0,1.0,1.0,0.95,0.9083333333333333,0.09166666666666666,security_risk,62,11.884458091999932,99.0371507666661,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,78.1607549077547,0.23333333333333336,0.23333333333333336,0.26666666666666666,0.25833333333333336,0.26666666666666666,0.3423697773428143,0.6576302226571857,0.6513396242312891,1.7557453117028676,1.7505539538689106,-21.34455382415269,0.016666666666666666,0.9833333333333333,1.0,1.0,1.0,0.9833333333333333,0.9083333333333333,0.09166666666666666,security_margin,62,12.004844623000054,100.04037185833378,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,194.99920835037986,0.19583333333333333,0.19583333333333333,0.38333333333333336,0.375,0.38333333333333336,0.9404450876988351,0.059554912301164956,1.624993402919832,0.0656018874712403,0.05535630055256404,-1.7820399352970853,0.0,1.0,1.0,1.0,1.0,0.8083333333333333,0.9,0.1,rollout_joint,62,152.58143330999997,1271.5119442499997,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,194.69691942515416,0.15,0.15,0.15,0.125,0.15,0.8495181952945455,0.15048180470545433,1.6224743285429513,0.18464358727890157,0.174055924986695,-1.972191942055664,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.875,0.125,periodic,63,11.919038053000122,99.32531710833435,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,186.579048256605,0.04000095635467831,0.04000095635467831,0.14166666666666666,0.11666666666666667,0.14166666666666666,0.7613399770347176,0.2386600229652824,1.554825402138375,0.30416911576959865,0.2965002460377698,-2.2171751023392625,0.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.875,0.125,security_risk,63,11.896747886999947,99.13956572499956,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,80.48385781288815,0.23333333333333334,0.23333333333333334,0.2833333333333333,0.24166666666666667,0.2833333333333333,0.34127713918302793,0.6587228608169721,0.6706988151074013,1.7630536602832187,1.7476315955860362,-17.586043421329972,0.0,1.0,0.95,0.95,0.95,0.9166666666666666,0.9,0.1,security_margin,63,11.913083408999682,99.27569507499736,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,199.07225042403206,0.19791666666666666,0.19791666666666666,0.4,0.36666666666666664,0.4,0.9397590323916408,0.060240967608359126,1.6589354202002673,0.06751897203700469,0.05863791403375768,-1.7472507215477626,0.0,1.0,1.0,1.0,1.0,0.7666666666666667,0.875,0.125,rollout_joint,63,152.7315651439999,1272.7630428666657,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,191.58394136436297,0.15,0.15,0.15,0.13333333333333333,0.15,0.8692273754859438,0.13077262451405622,1.5965328447030247,0.1556277932091258,0.14717237232847688,-1.9583214374492954,0.0,1.0,1.0,1.0,1.0,0.7166666666666667,0.9,0.1,periodic,64,11.858992714000124,98.82493928333436,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,182.27117375074008,0.03695078974708508,0.03695078974708508,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.7715904398595513,0.2284095601404487,1.518926447922834,0.29460089984996074,0.2930119874002264,-2.2325647368122103,0.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.8916666666666667,0.10833333333333334,security_risk,64,11.989039631000196,99.9086635916683,paper_base_holdoutfit,results/final_2026-05-06/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
