avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,periodic_k,budget,eve_speed
0.16666666666666666,0.5873121850586597,0.4126878149413402,3.7050625181744703,0.06666666666666667,0.9333333333333333,periodic,42,1,20,0.0
0.16666666666666666,0.5870098407584711,0.41299015924152893,3.6761739500996273,0.06666666666666667,0.9333333333333333,periodic,43,1,20,0.0
0.16666666666666666,0.5860206768967372,0.41397932310326285,3.7522179520109806,0.06666666666666667,0.9333333333333333,periodic,44,1,20,0.0
0.16666666666666666,0.5875371546861499,0.4124628453138501,3.346401884945316,0.075,0.925,periodic,42,1,20,2.0
0.16666666666666666,0.5871054451325493,0.4128945548674507,3.345939569325861,0.075,0.925,periodic,43,1,20,2.0
0.16666666666666666,0.5860206768967372,0.4139793231032629,3.4070321065701603,0.075,0.925,periodic,44,1,20,2.0
0.16666666666666666,0.5918449040707946,0.40815509592920557,3.419872066394175,0.09166666666666666,0.9083333333333333,periodic,42,1,20,4.0
0.16666666666666666,0.5875673846418221,0.4124326153581778,3.417873619397092,0.09166666666666666,0.9083333333333333,periodic,43,1,20,4.0
0.16666666666666666,0.5895900087488694,0.4104099912511307,3.458638230382147,0.08333333333333333,0.9166666666666666,periodic,44,1,20,4.0
0.16666666666666666,0.5930631992501679,0.40693680074983196,3.4408078247107885,0.1,0.9,periodic,42,1,20,6.0
0.16666666666666666,0.5877366808408628,0.41226331915913705,3.442038365050708,0.1,0.9,periodic,43,1,20,6.0
0.16666666666666666,0.5904514521607668,0.40954854783923333,3.478856168683693,0.1,0.9,periodic,44,1,20,6.0
0.16666666666666666,0.5931794288505936,0.4068205711494064,3.4071683101043058,0.11666666666666667,0.8833333333333333,periodic,42,1,20,8.0
0.16666666666666666,0.5878489904609352,0.41215100953906486,3.4105662162459986,0.10833333333333334,0.8916666666666667,periodic,43,1,20,8.0
0.16666666666666666,0.5908784033175097,0.4091215966824901,3.446455474239691,0.11666666666666667,0.8833333333333333,periodic,44,1,20,8.0
0.3333333333333333,0.6785328824666169,0.32146711753338314,3.7050625181744703,0.06666666666666667,0.9333333333333333,periodic,42,1,40,0.0
0.3333333333333333,0.6767113675222164,0.3232886324777836,3.6761739500996273,0.06666666666666667,0.9333333333333333,periodic,43,1,40,0.0
0.3333333333333333,0.6764669481392367,0.32353305186076314,3.7522179520109806,0.06666666666666667,0.9333333333333333,periodic,44,1,40,0.0
0.3333333333333333,0.6786707587404912,0.3213292412595089,3.352020924260508,0.075,0.925,periodic,42,1,40,2.0
0.3333333333333333,0.6767835942994994,0.32321640570050064,3.346950772540908,0.075,0.925,periodic,43,1,40,2.0
0.3333333333333333,0.6764669481392367,0.32353305186076314,3.386366474629625,0.075,0.925,periodic,44,1,40,2.0
0.3333333333333333,0.6797430222838129,0.32025697771618705,3.424522268517706,0.09166666666666666,0.9083333333333333,periodic,42,1,40,4.0
0.3333333333333333,0.6771411367927006,0.32285886320729945,3.4177146661489064,0.09166666666666666,0.9083333333333333,periodic,43,1,40,4.0
0.3333333333333333,0.6770648187711839,0.32293518122881615,3.4472906053731887,0.08333333333333333,0.9166666666666666,periodic,44,1,40,4.0
0.3333333333333333,0.6801707661637042,0.31982923383629575,3.4411488868887847,0.1,0.9,periodic,42,1,40,6.0
0.3333333333333333,0.6773512504204612,0.3226487495795388,3.442038365050708,0.1,0.9,periodic,43,1,40,6.0
0.3333333333333333,0.6774436117260427,0.3225563882739573,3.4779552584111793,0.1,0.9,periodic,44,1,40,6.0
0.3333333333333333,0.6801707661637042,0.31982923383629575,3.4071683101043058,0.11666666666666667,0.8833333333333333,periodic,42,1,40,8.0
0.3333333333333333,0.6773512504204612,0.3226487495795388,3.4105662162459986,0.10833333333333334,0.8916666666666667,periodic,43,1,40,8.0
0.3333333333333333,0.6774492963465488,0.32255070365345123,3.446455474239691,0.11666666666666667,0.8833333333333333,periodic,44,1,40,8.0
0.5,0.7729889716901449,0.227011028309855,3.7050625181744703,0.06666666666666667,0.9333333333333333,periodic,42,1,60,0.0
0.5,0.7712521994600792,0.2287478005399208,3.6761739500996273,0.06666666666666667,0.9333333333333333,periodic,43,1,60,0.0
