avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,budget,periodic_k,aoi_threshold,eve_speed
0.5,0.5,0.5,0.5,0.0,0.9424366608732861,0.05756333912671378,2.5436865889550915,0.03156520244093197,0.03156520244093197,1.6384981488489867,1.0,0.0,0.75,1.0,0.0,1.0,full,42,0.07381234100103029,18.453085250257573,2,2,2,2.23606797749979
0.5,0.5,0.5,0.5,0.0,0.9630279246641203,0.036972075335879706,2.5436865889550915,0.00827662959080655,0.004543638910860404,1.6193077388753074,1.0,0.0,0.75,0.75,0.0,1.0,periodic,42,0.07608139900185051,19.02034975046263,2,2,2,2.23606797749979
0.25,0.25,0.25,0.25,0.0,0.9299709973478458,0.0700290026521542,2.5436865889550915,0.006983774852413749,0.006383167246038046,1.5955382537447402,1.0,0.0,1.0,0.75,0.0,1.0,aoi_only,42,0.07531898399975034,18.829745999937586,2,2,2,2.23606797749979
0.5,0.5,0.5,0.5,0.0,0.9630279246641203,0.036972075335879706,2.5436865889550915,0.00827662959080655,0.004543638910860404,1.6193077388753074,1.0,0.0,0.75,0.75,0.0,1.0,decoupled,42,0.0790497640009562,19.76244100023905,2,2,2,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.16440629815364152,2.5436865889550915,0.023930038234284523,0.023930038234284523,1.548802192157068,1.0,0.0,1.0,1.0,0.0,1.0,security_margin,42,0.07891036000000895,19.727590000002238,2,2,2,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.16440629815364152,2.5436865889550915,0.023930038234284523,0.023930038234284523,1.548802192157068,1.0,0.0,1.0,1.0,0.0,1.0,security_risk,42,0.07365703100003884,18.41425775000971,2,2,2,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.8301404449504111,0.169859555049589,1.4822482928496308,0.004615758614420318,0.004615758614420318,1.2973532986296608,1.0,0.0,1.0,0.75,0.25,0.75,random_budgeted,42,0.0055506200005766,1.38765500014415,2,2,2,2.23606797749979
0.0,0.0,0.0,0.0,0.0,0.8355937018463585,0.16440629815364152,2.5436865889550915,0.023930038234284523,0.023930038234284523,1.548802192157068,1.0,0.0,1.0,1.0,0.0,1.0,rollout_joint,42,0.5090776310025831,127.26940775064577,2,2,2,2.23606797749979
0.5,0.5,0.5,0.5,0.0,0.9630279246641203,0.036972075335879706,2.5436865889550915,0.00827662959080655,0.004543638910860404,1.6193077388753074,1.0,0.0,0.75,0.75,0.0,1.0,risk_adaptive_hybrid_rollout,42,0.348919523999939,87.22988099998474,2,2,2,2.23606797749979
0.25,0.25,0.25,0.25,0.0,0.9299709973478458,0.0700290026521542,2.5436865889550915,0.006983774852413749,0.006383167246038046,1.5955382537447402,1.0,0.0,1.0,0.75,0.0,1.0,oracle_sync,42,0.4901616079987434,122.54040199968586,2,2,2,2.23606797749979
