scenario,target,baseline,metric,num_pairs,mean_diff,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_stat,paired_t_pvalue_approx,wilcoxon_pvalue,wilcoxon_stat,cohen_dz,rank_biserial,cliffs_delta,win_pairs,loss_pairs,tie_pairs,paired_t_pvalue_holm,paired_t_pvalue_bonferroni,wilcoxon_pvalue_holm,wilcoxon_pvalue_bonferroni
scenario_stress,rollout_joint,periodic,avg_secrecy_rate,5,0.16294341734910972,0.13741860542409673,0.18353594460653833,12.029095570244444,0.0,0.0625,0.0,5.379575080581634,1.0,1.0,5,0,0,0.0,0.0,0.125,0.125
scenario_stress,rollout_joint,ppo_baseline,avg_secrecy_rate,5,0.86964183467412,0.837040358387604,0.8929821992548959,52.79758768034428,0.0,0.0625,0.0,23.611799020251045,1.0,1.0,5,0,0,0.0,0.0,0.125,0.125
