episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,scenario,train_episode,seed
160.0,3.6406954811971204,0.11875,0.11875,0.1875,0.175,0.1875,0.46330040345585405,0.5366995965441459,0.022754346757482002,0.6027217012656261,0.6026710047308339,-0.7456119985293223,0.0,1.0,0.4625,0.4625,0.4625,0.4625,0.64375,1.0,0.0,scenario_stress,18,218
160.0,0.24283472617232066,0.11875,0.11875,0.21875,0.20625,0.21875,0.5498815563194117,0.45011844368058834,0.001517717038577004,0.00012781870566803966,0.00012781870566803966,-1.6509643206725315,0.0,1.0,0.99375,0.99375,0.99375,0.99375,0.00625,1.0,0.0,scenario_stress,19,219
160.0,4.027625937453209,0.11875,0.11875,0.19375,0.19375,0.19375,0.33841619710873444,0.6615838028912655,0.025172662109082554,0.4208009099011768,0.4208009099011768,-1.062652926697521,0.09375,0.90625,0.73125,0.73125,0.73125,0.73125,0.6375,1.0,0.0,scenario_stress,20,220
160.0,0.43146620136016967,0.11875,0.11875,0.1875,0.16875,0.1875,0.46026896679039087,0.5397310332096091,0.0026966637585010603,0.328914076930981,0.328914076930981,-1.7427690843128978,0.0,1.0,0.9875,0.9875,0.9875,0.9875,0.48125,1.0,0.0,scenario_stress,21,221
160.0,0.8466628495413044,0.11875,0.11875,0.1875,0.18125,0.1875,0.4482007296204486,0.5517992703795513,0.005291642809633153,0.4916775512795297,0.4916775512795297,-3.582795602326783,0.11875,0.88125,0.79375,0.79375,0.79375,0.79375,0.775,1.0,0.0,scenario_stress,22,222
160.0,2.7443578403829587,0.11875,0.11875,0.19375,0.15625,0.19375,0.41879371011788535,0.5812062898821146,0.017152236502393493,0.4258770767077201,0.4258770767077201,-1.2803104802896628,0.0,1.0,0.74375,0.74375,0.74375,0.74375,0.6375,1.0,0.0,scenario_stress,23,223
160.0,17.89133627602574,0.11875,0.11875,0.175,0.15625,0.175,0.5245759309237028,0.47542406907629714,0.11182085172516087,0.022644454205824446,0.02158146624772345,-4.637969861737461,0.0,1.0,0.94375,0.94375,0.94375,0.94375,0.48125,1.0,0.0,scenario_stress,24,224
160.0,22.858647425561678,0.11875,0.11875,0.1875,0.15625,0.1875,0.30374007359351546,0.6962599264064846,0.1428665464097605,0.5912686620579777,0.5911673546988122,-1.6422368679287236,0.00625,0.99375,0.71875,0.71875,0.71875,0.71875,0.6875,1.0,0.0,scenario_stress,25,225
160.0,0.926230791532116,0.11875,0.11875,0.175,0.15625,0.175,0.41991178028653103,0.5800882197134689,0.005788942447075725,0.0791852763788633,0.0791852763788633,-1.5275212397804592,0.0,1.0,0.925,0.925,0.925,0.925,0.5,1.0,0.0,scenario_stress,26,226
160.0,2.423001702603376,0.11875,0.11875,0.20625,0.18125,0.20625,0.5862522020869594,0.4137477979130407,0.015143760641271101,0.05190201010513491,0.05165680601016366,-4.223009067680779,0.00625,0.99375,0.85,0.85,0.85,0.85,0.16875,1.0,0.0,scenario_stress,27,227
