scenario,method,num_runs,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,outage_prob_mean,outage_prob_ci95,avg_sync_cost_mean,certificate_cover_rate_mean,runtime_per_slot_ms_mean,runtime_per_slot_ms_ci95,secrecy_gain_vs_periodic,outage_gain_vs_periodic
paper_base,rollout_joint,20,2.7309108631057764,0.0064697675059634,0.16,0.0137473995414422,0.0420833333333333,0.935,235.33766680083164,1.838827534086665,0.028685454124004,0.0116666666666666
paper_base,security_margin,20,2.711587013478878,0.0049631195114051,0.1758333333333333,0.0154906291235467,0.2333333333333333,0.9575,8.581886469584486,0.3822043766191109,0.0093616044971063,-0.0041666666666666
paper_base,security_risk,20,2.703225130474068,0.0057518832952395,0.1716666666666666,0.0176314014130889,0.1020833333333333,0.9483333333333336,8.96568914666659,0.3338336093851712,0.0009997214922954,2.775557561562892e-17
paper_base,periodic,20,2.7022254089817723,0.0053657270969788,0.1716666666666667,0.0177899603725944,0.1499999999999999,0.8975,9.167353895417516,0.4954140773837089,0.0,0.0
paper_hard,rollout_joint,20,2.5768670156887845,0.0048122785775338,0.5653571428571429,0.0088120431945808,0.0510714285714285,0.9339285714285712,232.31916698285855,2.985532705528196,0.0064158944038146,0.0110714285714285
paper_hard,security_margin,20,2.572246804217886,0.0048475971318174,0.5682142857142857,0.0094448816548268,0.1571428571428571,0.9739285714285714,8.629763550713637,0.3199176405041964,0.0017956829329159,0.0082142857142857
paper_hard,security_risk,20,2.571448194338632,0.0058854235835432,0.5739285714285713,0.0143735685786171,0.0882142857142856,0.9499999999999998,8.82642057499912,0.3789042652804025,0.0009970730536621,0.0025
paper_hard,periodic,20,2.57045112128497,0.0057766178384923,0.5764285714285714,0.0118924124417298,0.1571428571428571,0.8896428571428572,8.896260148929805,0.3261506745501897,0.0,0.0
scenario_stress,rollout_joint,20,2.4647258138358783,0.0053841485425316,0.48125,0.0082893201740171,0.0703124999999999,0.9315625,228.767650491564,5.459651983219025,0.0017311145594067,-0.00125
scenario_stress,periodic,20,2.4629946992764715,0.0048124034609365,0.48,0.0093462383370333,0.1187499999999999,0.916875,8.71762633750052,0.3892018557224641,0.0,0.0
scenario_stress,security_risk,20,2.4610582538636696,0.005584473201482,0.4834374999999998,0.0091616742286032,0.079375,0.94,8.315893785314756,0.2149257006616448,-0.0019364454128019,-0.0034374999999998
scenario_stress,security_margin,20,2.460310074127176,0.0049696676210618,0.4759375,0.0071249255536276,0.1187499999999999,0.9678125,8.467847706561997,0.2417824367798326,-0.0026846251492953,0.0040624999999999
