episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,r_min,config_path
160.0,162.6743232175553,0.11875,0.11875,0.11875,0.1125,0.11875,0.6964603547688506,0.3035396452311495,1.0167145201097205,0.660199398889012,0.6497575568093594,-1.760224472776854,0.13125,0.86875,1.0,1.0,1.0,1.0,0.8,0.275,0.725,periodic,74,21.377519416000723,133.60949635000452,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,134.29708578745678,0.11875,0.11875,0.11875,0.1,0.11875,0.6317922711085517,0.3682077288914482,0.8393567861716049,1.065892891562098,1.0571383792739844,-1.9495819974087083,0.1125,0.8875,1.0,1.0,1.0,1.0,0.8125,0.39375,0.60625,periodic,75,23.92994800499946,149.56217503124662,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,163.40047536554943,0.11875,0.11875,0.11875,0.10625,0.11875,0.6860599437258292,0.3139400562741709,1.0212529710346838,0.7100356977473835,0.7074927380889742,-1.6950964883111497,0.125,0.875,1.0,1.0,1.0,1.0,0.8625,0.26875,0.73125,periodic,76,22.694666661000156,141.84166663125097,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,159.3736189586602,0.11875,0.11875,0.11875,0.1125,0.11875,0.678555651208198,0.321444348791802,0.9960851184916262,0.7774882691982662,0.7682978252827667,-1.6785935143152018,0.11875,0.88125,1.0,1.0,1.0,1.0,0.8375,0.2625,0.7375,periodic,77,22.771237390999886,142.3202336937493,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,161.66430001442083,0.11875,0.11875,0.11875,0.11875,0.11875,0.6813061141817307,0.3186938858182693,1.0104018750901302,0.8531078630392781,0.8436795484578903,-1.6181940721017642,0.13125,0.86875,1.0,1.0,1.0,1.0,0.8125,0.25,0.75,periodic,78,22.579983016999904,141.1248938562494,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,165.02019622577473,0.11875,0.11875,0.11875,0.1125,0.11875,0.6952017261490331,0.3047982738509668,1.031376226411092,0.6437433096392915,0.6346392438148267,-1.7642266135046292,0.125,0.875,1.0,1.0,1.0,1.0,0.78125,0.2625,0.7375,periodic,79,22.165559129999565,138.53474456249728,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,167.04341623600843,0.11875,0.11875,0.11875,0.1125,0.11875,0.6992595158926799,0.3007404841073201,1.0440213514750527,0.63759288808571,0.6229986485559273,-1.6987682215247741,0.13125,0.86875,1.0,1.0,1.0,1.0,0.75625,0.275,0.725,periodic,80,22.674299821000204,141.71437388125128,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,155.00346812859803,0.11875,0.11875,0.11875,0.1125,0.11875,0.6707042814557819,0.32929571854421813,0.9687716758037377,0.8749182587979185,0.8686223063597589,-1.6877467398555654,0.11875,0.88125,1.0,1.0,1.0,1.0,0.83125,0.26875,0.73125,periodic,81,22.045951340999636,137.78719588124773,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,198.2854338174368,0.10625,0.10625,0.425,0.3875,0.425,0.9318997244398869,0.0681002755601132,1.23928396135898,0.11250895068468003,0.10600322643528033,-0.10187354095978415,0.24375,0.75625,1.0,1.0,1.0,1.0,0.89375,0.0,1.0,rollout_joint,62,296.59472351500017,1853.7170219687512,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,202.00702634811933,0.1046875,0.1046875,0.41875,0.3875,0.41875,0.9356494400137507,0.06435055998624935,1.2625439146757458,0.10153026016877793,0.09361320651979846,-0.08245154079741929,0.28125,0.71875,1.0,1.0,1.0,1.0,0.86875,0.0,1.0,rollout_joint,63,296.55928826399986,1853.495551649999,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,202.23887538568974,0.1078125,0.1078125,0.43125,0.39375,0.43125,0.9335904855592382,0.0664095144407619,1.2639929711605609,0.10460397673374396,0.09482286178790553,-0.08790048887744348,0.23125,0.76875,1.0,1.0,1.0,1.0,0.86875,0.0,1.0,rollout_joint,64,289.2780133780002,1807.987583612501,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,201.60710581684884,0.1078125,0.1078125,0.43125,0.38125,0.43125,0.9292950072926821,0.07070499270731781,1.2600444113553053,0.10533824742141384,0.09910977248667031,-0.10296565418824821,0.26875,0.73125,1.0,1.0,1.0,1.0,0.9125,0.0,1.0,rollout_joint,65,304.3603770720001,1902.2523567000007,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,199.5785016325897,0.103125,0.103125,0.4125,0.39375,0.4125,0.9351024847904152,0.06489751520958476,1.2473656352036857,0.10324277467225458,0.09607174841747324,-0.0927115284331749,0.2875,0.7125,1.0,1.0,1.0,1.0,0.8875,0.0,1.0,rollout_joint,66,303.1991044900001,1894.9944030625004,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,197.85091676351175,0.1078125,0.1078125,0.43125,0.3875,0.43125,0.9321739767797095,0.06782602322029048,1.2365682297719485,0.11130183333536206,0.10081490000132513,-0.1127661002465078,0.225,0.775,1.0,1.0,1.0,1.0,0.8875,0.0,1.0,rollout_joint,67,299.2071253089998,1870.0445331812487,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,202.69131988998583,0.109375,0.109375,0.4375,0.4,0.4375,0.9345628731927981,0.06543712680720201,1.2668207493124115,0.0924197281251829,0.08232744829577521,-0.09421932563664402,0.25,0.75,1.0,1.0,1.0,1.0,0.8625,0.0,1.0,rollout_joint,68,310.66717573500046,1941.6698483437528,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
