r_min,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_cost_ci95_low,avg_sync_cost_ci95_high,episode_length_mean,episode_length_std,episode_length_ci95,episode_length_ci95_low,episode_length_ci95_high,total_secrecy_rate_mean,total_secrecy_rate_std,total_secrecy_rate_ci95,total_secrecy_rate_ci95_low,total_secrecy_rate_ci95_high,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,avg_sync_bandwidth_ci95_low,avg_sync_bandwidth_ci95_high,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,sync_request_rate_ci95_low,sync_request_rate_ci95_high,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_sync_applied_ci95_low,avg_sync_applied_ci95_high,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_pending_syncs_ci95_low,avg_pending_syncs_ci95_high,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_quality_ci95_low,avg_twin_quality_ci95_high,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_twin_badness_ci95_low,avg_twin_badness_ci95_high,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_realized_loss_ci95_low,avg_realized_loss_ci95_high,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_margin_gap_ci95_low,avg_margin_gap_ci95_high,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,avg_cert_slack_ci95_low,avg_cert_slack_ci95_high,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certified_safe_rate_ci95_low,certified_safe_rate_ci95_high,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_violation_prob_ci95_low,certificate_violation_prob_ci95_high,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,certificate_cover_rate_ci95_low,certificate_cover_rate_ci95_high,certificate_in_policy_cover_rate_mean,certificate_in_policy_cover_rate_std,certificate_in_policy_cover_rate_ci95,certificate_in_policy_cover_rate_ci95_low,certificate_in_policy_cover_rate_ci95_high,certificate_empirical_cover_rate_mean,certificate_empirical_cover_rate_std,certificate_empirical_cover_rate_ci95,certificate_empirical_cover_rate_ci95_low,certificate_empirical_cover_rate_ci95_high,certificate_margin_cover_rate_mean,certificate_margin_cover_rate_std,certificate_margin_cover_rate_ci95,certificate_margin_cover_rate_ci95_low,certificate_margin_cover_rate_ci95_high,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,prediction_violation_prob_ci95_low,prediction_violation_prob_ci95_high,outage_prob_mean,outage_prob_std,outage_prob_ci95,outage_prob_ci95_low,outage_prob_ci95_high,success_prob_mean,success_prob_std,success_prob_ci95,success_prob_ci95_low,success_prob_ci95_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,runtime_per_slot_ms_ci95_low,runtime_per_slot_ms_ci95_high,num_runs,periodic_avg_secrecy_rate_mean,periodic_outage_prob_mean,secrecy_gain_vs_periodic,outage_gain_vs_periodic
0.6,periodic,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,154.98927253391582,10.221529090027687,4.373832192452198,150.61816383961462,159.36310472636802,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.10874999999999999,0.0065393545472574605,0.0028124999999999956,0.10593749999999999,0.11125,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.675271258707798,0.023725059563487767,0.01042844017295319,0.6648428185348448,0.6849269207167148,0.32472874129220203,0.023725059563487756,0.010171887672794144,0.3150737041040488,0.33490062896499617,0.9686829533369737,0.06388455681267304,0.027856928977210926,0.940828894139551,0.9965398823141847,0.7888975475955258,0.1602032390051782,0.06931159718680213,0.7215475506685062,0.8582091447823279,0.7804557392795856,0.16026280486519043,0.06764791460054964,0.7128078246790359,0.8465048878509611,-1.7722794456259614,0.1398957958863087,0.06731243277839649,-1.839591878404358,-1.7174106484067708,0.11750000000000001,0.01384239293277225,0.0062500000000000056,0.11125,0.12281249999999999,0.8825000000000001,0.013842392932772233,0.006562499999999916,0.8771875,0.8890625,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8178124999999999,0.029052682976928236,0.013124999999999942,0.8046875,0.8303125000000001,0.2853125,0.05729206538936214,0.025312500000000016,0.263125,0.31062500000000004,0.7146874999999999,0.05729206538936215,0.024375000000000036,0.6903125,0.7390625,22.47863655089993,0.6975488769656017,0.3186702113049904,22.1875610914425,22.797306762204922,140.49147844312455,4.359680481035011,1.8866669074291451,138.67346988755463,142.3781453505537,20,0.9686829533369737,0.2853125,0.0,0.0
0.6,rollout_joint,0.10718750000000002,0.001554254559858877,0.0007031250000000128,0.106484375,0.1078125,160.0,0.0,0.0,160.0,160.0,200.7809906496955,1.6826152084173367,0.7191502084188528,200.06184044127664,201.4534440474896,0.10718750000000002,0.001554254559858877,0.0007031250000000128,0.106484375,0.10781250000000002,0.4287500000000001,0.006217018239435508,0.002812500000000051,0.4259375,0.4312500000000001,0.3921875,0.006687023470478998,0.002812500000000051,0.38937499999999997,0.39499999999999996,0.4287500000000001,0.006217018239435508,0.0025000000000000577,0.42625,0.4312500000000001,0.9336223548874993,0.0015747864111265758,0.0007214654978874302,0.9329008893896119,0.934235012649631,0.06637764511250074,0.0015747864111265847,0.0006785342166796271,0.06572912019008771,0.06705617932918037,1.2548811915605969,0.010516345052608364,0.004615608245451153,1.2502655833151457,1.2591120121078674,0.1031469297339348,0.00601227164613487,0.0025846144080154954,0.10056636911265084,0.1057315441419503,0.09515104556975477,0.006301809096217025,0.0027422776569049484,0.09240876791284983,0.09763791854279633,-0.09353554684419765,0.009077108756995363,0.0040089949875627695,-0.09754454183176042,-0.0897151556376596,0.24843749999999995,0.026584259663231264,0.011562499999999948,0.236875,0.259375,0.7515625000000001,0.026584259663231278,0.010937500000000155,0.740625,0.7625,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8874999999999998,0.01570702156093857,0.00718749999999968,0.8803125000000002,0.8937578125000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,299.6907243334501,6.472877569420015,2.770878266611305,297.02130523002876,302.4616026000614,1873.0670270840626,40.455484808875156,17.389559162109208,1855.6774679219534,1889.5876998148756,20,0.9686829533369737,0.2853125,0.2861982382236231,0.2853125
0.6,security_margin,0.11822144140581743,0.0005560697175520554,0.0002449055479071677,0.11798787242769049,0.1184663469537246,160.0,0.0,0.0,160.0,160.0,129.35252081448243,5.74978284325248,2.604481032321047,127.06716060109788,131.95700184680348,0.11822144140581743,0.0005560697175520554,0.0002444450438056911,0.11797699636201174,0.11844976858036067,0.29375000000000007,0.013296962454873506,0.005625000000000047,0.288125,0.299375,0.2703125,0.022108713898894204,0.009375000000000022,0.2609375,0.2796875,0.29375000000000007,0.013296962454873506,0.005624999999999991,0.28875,0.29937500000000006,0.5495623942490567,0.01552257480640361,0.006602969552089499,0.5429716999186853,0.5561653638011462,0.4504376057509433,0.01552257480640361,0.007060045687498739,0.44393256190493924,0.45749765143844207,0.8084532550905152,0.035936142770328,0.015844545447490477,0.7928681230548041,0.8242978005380057,1.3556245566352079,0.16247067062263498,0.07175168637068974,1.2838728702645181,1.4193697099127176,1.3484230363409142,0.163218978347045,0.067630346999074,1.2807926893418402,1.4111220086949432,-4.368685320728999,0.6108076077248397,0.2615881311143182,-4.630273451843317,-4.121168935724183,0.22312500000000002,0.014636494583205727,0.0062500000000000056,0.216875,0.22937499999999997,0.7768750000000001,0.014636494583205718,0.005945312499999966,0.7709374999999999,0.7828203125000001,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8924999999999998,0.021989830185314013,0.009687500000000071,0.8834375,0.9021874999999999,0.4421875,0.022015526070432542,0.009062500000000029,0.433125,0.45093750000000005,0.5578125,0.022015526070432532,0.009999999999999898,0.5478125000000001,0.5671875,22.38579398690008,0.601959176832414,0.26417010289118537,22.121623884008894,22.638877311333793,139.9112124181255,3.7622448552025873,1.5909732700155246,138.32023914810998,141.48945009712492,20,0.9686829533369737,0.2853125,-0.1602296982464585,-0.156875
0.6,security_risk,0.03596889438175048,0.0014097343588473617,0.0005954636307846373,0.03537343075096584,0.03653369155005897,160.0,0.0,0.0,160.0,160.0,138.9921740164728,5.303591772429806,2.2453913643329315,136.8145869375123,141.23756538080573,0.03596889438175048,0.0014097343588473617,0.0006379414303826145,0.035330952951367865,0.0365778672441982,0.11874999999999998,0.004534226563187572,0.0018750000000000294,0.11687499999999999,0.12062500000000001,0.10968750000000002,0.0037800332426831226,0.0015625000000000222,0.108125,0.11125,0.11874999999999998,0.004534226563187572,0.0018750000000000017,0.11687499999999998,0.12062499999999998,0.6763798568307969,0.008512359795267236,0.0038144350466184918,0.6730117319746483,0.6801942918774154,0.3236201431692031,0.00851235979526723,0.003930333671342434,0.3196898094978607,0.3271220920710807,0.8687010876029554,0.0331474485776863,0.01455970980165966,0.8547248312317945,0.883260797404615,0.8398387166740706,0.1062144455919041,0.04616377074355649,0.7936749459305141,0.8832964465197297,0.8355662497124443,0.10650015863167063,0.04586412558036801,0.7897021241320763,0.8798954418123569,-0.9766181636550103,0.0856917565105722,0.03716041476177512,-1.0137785784167854,-0.941373517204077,0.11156249999999998,0.03265115406600669,0.014062499999999978,0.0975,0.1253125,0.8884375,0.03265115406600669,0.014999999999999902,0.8750000000000002,0.9034374999999999,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.884375,0.029559540716466142,0.012820312500000153,0.8715546874999999,0.8965624999999999,0.38937499999999997,0.051423007087243906,0.021562499999999984,0.3678125,0.409375,0.610625,0.0514230070872439,0.024062499999999987,0.5900000000000001,0.6346875,22.57182702434998,0.7631935011094488,0.3335657835563275,22.243715836855095,22.905392807906306,141.07391890218736,4.769959381934056,2.0003849758908245,139.08981268617228,143.07430387807818,20,0.9686829533369737,0.2853125,-0.09998186573401835,-0.10406249999999995
0.9,periodic,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,156.41203361807507,9.434837998285648,4.092738456409819,152.31929516166525,160.09468243683995,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.10874999999999999,0.0065393545472574605,0.0028124999999999956,0.10593749999999999,0.11156249999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.676560479784649,0.025894945047568525,0.011564123886727784,0.6649963558979212,0.6872509842178739,0.3234395202153511,0.025894945047568528,0.011426826682838065,0.31285019936052594,0.33486634689818917,0.9775752101129692,0.05896773748928531,0.02669258843333211,0.9508826216796371,1.0013838048719053,0.7793213578311091,0.16238294951168672,0.0671804800106075,0.7121408778205016,0.846200511572246,0.7709220864502857,0.16190551976036918,0.06644173508832762,0.7056577405004717,0.8373638215386133,-2.0607805955009386,0.12407063471795152,0.05559869824788066,-2.1163792937488193,-2.0103590715432538,0.08374999999999999,0.012400923140510228,0.005312499999999998,0.0784375,0.08875,0.9162500000000001,0.01240092314051022,0.00562499999999988,0.9109375,0.921875,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8171875,0.028234436211086192,0.012500000000000067,0.805625,0.8296875,0.3503125,0.0492741308102463,0.02312499999999995,0.3303046875,0.3734375,0.6496875,0.049274130810246286,0.022187499999999916,0.6275000000000001,0.6696953124999999,22.643426859549937,0.41689029183962745,0.18152126033369242,22.461905599216244,22.82105212681627,141.5214178721871,2.605564323997671,1.1371810355383332,140.38423683664877,142.58506641546825,20,0.9775752101129692,0.3503125,0.0,0.0
0.9,rollout_joint,0.10859375,0.0018626236271227154,0.0008593749999999956,0.10773437500000001,0.109453125,160.0,0.0,0.0,160.0,160.0,200.5642378686446,1.3887318405533609,0.6115179701484692,199.95271989849613,201.16917646390095,0.10859375,0.0018626236271227154,0.0008593749999999956,0.10773437500000001,0.109375,0.434375,0.007450494508490862,0.003124999999999989,0.43125,0.4375,0.40062499999999995,0.01127190849202705,0.005312499999999887,0.39531250000000007,0.40531249999999996,0.434375,0.007450494508490862,0.0031328124999999707,0.43124218750000004,0.4375,0.9341867123485802,0.0019442680526941822,0.0008317107189720341,0.9333620605326955,0.9350184230675522,0.06581328765141987,0.0019442680526942078,0.0008441257046981065,0.06505865757521254,0.06665741335611798,1.2535264866790286,0.00867957400345848,0.003706825420184412,1.2498196612588441,1.2572067474731838,0.10499761283632929,0.006052868871021848,0.0026565059782952954,0.10234110685803399,0.10757178342535649,0.09734964254793817,0.005755175623036331,0.002352514524221777,0.09499712802371639,0.09965187502351744,-0.3863754549170747,0.010478230871138838,0.004607302469614938,-0.39066094842735166,-0.38176815244745976,0.10906250000000002,0.009613201928378987,0.004062499999999983,0.1053125,0.113125,0.8909375,0.009613201928378999,0.00406250000000008,0.8868750000000001,0.8950000000000001,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8831249999999999,0.016856105406459827,0.007187500000000124,0.8759375,0.8903125000000001,0.0140625,0.009484015291670062,0.004374999999999999,0.0103125,0.0184375,0.9859375,0.009484015291670072,0.00406250000000008,0.9818749999999999,0.9896874999999999,295.24848261445015,4.32141945173859,1.8567380561523805,293.4736758086902,297.10522067060253,1845.3030163403128,27.008871573366168,11.810168483374355,1833.4928478569384,1856.4835975105314,20,0.9775752101129692,0.3503125,0.27595127656605933,0.33625000000000005
0.9,security_margin,0.11848842070129095,0.00042470856057041576,0.0001753564182030154,0.11831306428308794,0.11865735890485656,160.0,0.0,0.0,160.0,160.0,96.90366182091498,15.32511453481877,6.624036303502649,90.57559045268208,103.52769812441763,0.11848842070129095,0.00042470856057041576,0.0001907085604618275,0.11829771214082913,0.11865292952230706,0.2015625,0.007275985644932449,0.0031250000000000167,0.1984375,0.20468749999999997,0.18312499999999998,0.01449534861874482,0.0062500000000000056,0.17687500000000003,0.189375,0.2015625,0.007275985644932449,0.003124999999999989,0.19843750000000002,0.2046875,0.35922506433361284,0.0275146861906794,0.011723691157451976,0.34757865873780996,0.3709487554910648,0.6407749356663872,0.0275146861906794,0.012553565702602798,0.6282213699637844,0.6516039078917899,0.6056478863807186,0.09578196584261732,0.04135474012876228,0.5655718798591298,0.6470026265094809,1.9998145317304594,0.2821817537758821,0.12738856968639523,1.8771301984738498,2.1272031014168546,1.9911985181204064,0.2827966200466776,0.12900411787161703,1.8621944002487893,2.1094582881483186,-11.802604883840097,0.8024645250299823,0.3633355592643053,-12.138014401899527,-11.439269324575791,0.09843750000000001,0.007275985644932456,0.0031250000000000028,0.09531250000000001,0.1015625,0.9015624999999998,0.0072759856449324395,0.0031250000000001554,0.8984375,0.9046875,0.9890625,0.014883732509725259,0.006562500000000027,0.9824999999999999,0.9950000000000001,0.9890625,0.014883732509725259,0.006249999999999978,0.9828125,0.9950000000000001,0.9890625,0.014883732509725259,0.0068749999999999645,0.9821875,0.9949999999999999,0.9890625,0.014883732509725259,0.006257812500000126,0.9828046874999998,0.9949999999999999,0.8965624999999999,0.01714333440360083,0.007812499999999778,0.8887500000000002,0.9037499999999999,0.6968749999999999,0.017619423343213272,0.0075078125000000995,0.6893671874999998,0.704375,0.30312500000000003,0.01761942334321327,0.007500000000000007,0.295625,0.310625,22.693546656750005,0.49784245659888365,0.22043126394504142,22.479398701427566,22.913977920695046,141.83466660468753,3.111515353743023,1.3108367126803273,140.53185305787406,143.14550331736785,20,0.9775752101129692,0.3503125,-0.37192732373225057,-0.3465624999999999
0.9,security_risk,0.035928505598890784,0.0018865353656658621,0.000811607554398186,0.0351168980444926,0.03670623401618649,160.0,0.0,0.0,160.0,160.0,138.3007204963862,6.666732641982115,3.321795601453971,135.83451721656616,141.62251609784016,0.035928505598890784,0.0018865353656658621,0.0008150272622341262,0.03511601771739777,0.03674353286112491,0.11937499999999998,0.0056994344133061954,0.0024999999999999883,0.11687499999999999,0.12156249999999999,0.1084375,0.004657248877316216,0.002187499999999981,0.10625000000000002,0.1103125,0.11937499999999998,0.0056994344133061954,0.002500000000000016,0.11687499999999999,0.121875,0.6718341314029198,0.008514993792470898,0.0036155316927531933,0.6683621215464899,0.675449663095673,0.3281658685970803,0.008514993792470914,0.0037419459606497507,0.32442392263643055,0.3317121896069651,0.8643795031024138,0.041667079012388225,0.019470663252803333,0.84858831516133,0.8838501663552172,0.9042424399966464,0.09011808069710146,0.04093495240415257,0.8633074875924939,0.9380199078118834,0.9000894415889066,0.08976702965140776,0.042988710991180845,0.8571007305977257,0.9333655877522324,-1.2103415392659749,0.05522195653286896,0.025146535310252016,-1.235488074576227,-1.1892013176321266,0.04531249999999999,0.005690409175002038,0.002500000000000009,0.04281249999999999,0.0478125,0.9546875000000001,0.00569040917500206,0.0024999999999999467,0.9521875000000002,0.9568750000000001,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8853125000000001,0.03246170567801876,0.014062499999999978,0.8712500000000001,0.8984374999999998,0.5634374999999999,0.037896749878001276,0.01749999999999985,0.5459375000000001,0.5784375,0.43656249999999996,0.03789674987800126,0.016249999999999987,0.4212421875,0.45281249999999995,22.473185105150016,0.7869701844784641,0.34139148230995175,22.149913629581295,22.814576587459968,140.4574069071876,4.9185636529904,2.1961716925537758,138.2612352146338,142.38677305645396,20,0.9775752101129692,0.3503125,-0.11319570701055537,-0.2131249999999999
1.1,periodic,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,157.7200325391463,8.854454453099398,3.951913834195409,153.7681187049509,161.49442867339886,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.10874999999999999,0.0065393545472574605,0.0028124999999999956,0.10593749999999999,0.11125,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.680385166876763,0.024599995185025134,0.01074083237376433,0.6696443345029987,0.6910144423094663,0.3196148331232371,0.024599995185025144,0.011262259353669368,0.3091964846134708,0.33087709247690644,0.9857502033696642,0.05534034033187122,0.024050421354276263,0.961699782015388,1.0083436703569282,0.7566669831621384,0.15298420972433174,0.06676590945524985,0.6899010737068886,0.8177807714099407,0.7483013057973137,0.15286510410822202,0.06545163581984914,0.6828496699774645,0.8132336762963658,-2.247185217831052,0.12922040649224326,0.05871371439953421,-2.305898932230586,-2.1958426015440415,0.06218749999999999,0.013215539845993907,0.005937499999999991,0.05625,0.06749999999999999,0.9378125,0.013215539845993904,0.005937499999999929,0.9321875000000001,0.94375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8143750000000001,0.031025509453385388,0.013749999999999929,0.8006250000000001,0.8275,0.6434375,0.04351322205285485,0.018124999999999947,0.6253125,0.6606249999999999,0.3565625,0.04351322205285484,0.019374999999999976,0.33718750000000003,0.3740625000000001,22.617259357099964,0.5822324827370392,0.254819280042593,22.36586366755096,22.872078637142558,141.35787098187475,3.6389530171064948,1.5704977729923826,139.86759644589955,142.92836875486714,20,0.9857502033696642,0.6434375,0.0,0.0
1.1,rollout_joint,0.109765625,0.001746928107421708,0.0007812500000000111,0.108984375,0.11046875,160.0,0.0,0.0,160.0,160.0,200.64228806854538,1.6220514387872929,0.6720512457938526,199.97023682275153,201.31089862284847,0.109765625,0.001746928107421708,0.0007812499999999833,0.10898437500000002,0.11046875,0.4390625,0.006987712429686832,0.0031249999999999334,0.4359375000000001,0.441875,0.40218750000000003,0.009353044466347498,0.004375000000000018,0.3978125,0.4059375,0.4390625,0.006987712429686832,0.003124999999999878,0.43624999999999997,0.4421874999999999,0.9335416645987518,0.001694251925266653,0.0007284225721669868,0.9328132420265848,0.934259614093558,0.0664583354012484,0.0016942519252666375,0.0007451763454784932,0.06574926770117899,0.0672035117467269,1.2540143004284086,0.010137821492420592,0.00449128431813639,1.2498824507201902,1.258505584746545,0.10773043913472988,0.006749845518788534,0.003023228071082379,0.10482841783425918,0.11075366720581226,0.099951062193899,0.007164997659660918,0.003142108702529678,0.09680895349136932,0.10301386737760106,-0.5830392144069628,0.012937524305686595,0.00542145898404367,-0.5884606733910065,-0.5776535638076217,0.085625,0.010556084551225968,0.004687499999999983,0.08124999999999999,0.09031249999999999,0.914375,0.010556084551225966,0.004687499999999845,0.9099999999999999,0.9190624999999999,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8881249999999999,0.015953777807020793,0.007187500000000013,0.8815625,0.8953125,0.429375,0.038318909376304985,0.017500000000000016,0.4134296875,0.446875,0.570625,0.03831890937630499,0.016562500000000147,0.5540624999999999,0.5865703125,293.37944500885,4.629092338535937,2.0527498275762355,291.36870482195,295.4321948364262,1833.6215313053121,28.93182711584963,12.850822216883898,1821.1760681196715,1846.472353522196,20,0.9857502033696642,0.6434375,0.2682640970587443,0.2140625
