avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,scan_value
0.21666666666666667,0.8363555768450048,0.16364442315499517,2.861872174584571,0.7833333333333333,0.21666666666666667,aoi_only,42,2.0
0.21666666666666667,0.8332364806395737,0.16676351936042627,2.861657789434121,0.7583333333333333,0.24166666666666667,aoi_only,43,2.0
0.21666666666666667,0.8354622838278842,0.1645377161721157,2.851451997249891,0.8,0.2,aoi_only,44,2.0
0.2,0.9385456702880575,0.06145432971194253,2.8611297723824873,0.7833333333333333,0.21666666666666667,aoi_only,42,4.0
0.2,0.9383334357013174,0.06166656429868248,2.8572527746133587,0.7916666666666666,0.20833333333333334,aoi_only,43,4.0
0.2,0.9381041444001404,0.06189585559985956,2.8510793076627863,0.8166666666666667,0.18333333333333332,aoi_only,44,4.0
0.14166666666666666,0.9155997311258106,0.08440026887418936,2.8597323174296103,0.7916666666666666,0.20833333333333334,aoi_only,42,6.0
0.14166666666666666,0.9155925010135207,0.08440749898647919,2.8575128037929947,0.7833333333333333,0.21666666666666667,aoi_only,43,6.0
0.14166666666666666,0.9151955801143709,0.08480441988562917,2.8515296186558277,0.8083333333333333,0.19166666666666668,aoi_only,44,6.0
0.10833333333333334,0.893367029530092,0.10663297046990808,2.860439390637212,0.7916666666666666,0.20833333333333334,aoi_only,42,8.0
0.10833333333333334,0.8931655089590952,0.10683449104090478,2.8561166424542477,0.7916666666666666,0.20833333333333334,aoi_only,43,8.0
0.10833333333333334,0.892434371017527,0.10756562898247297,2.853092729354978,0.8,0.2,aoi_only,44,8.0
0.08333333333333333,0.8688089587754991,0.13119104122450082,2.8622979941293263,0.7833333333333333,0.21666666666666667,aoi_only,42,10.0
0.08333333333333333,0.8672505940859111,0.1327494059140889,2.856258045077709,0.7916666666666666,0.20833333333333334,aoi_only,43,10.0
0.08333333333333333,0.8674602585641602,0.13253974143583971,2.8538046619953996,0.8083333333333333,0.19166666666666668,aoi_only,44,10.0
0.06666666666666667,0.8260392737645604,0.17396072623543965,2.860149571372018,0.7916666666666666,0.20833333333333334,security_risk,42,0.35
0.06666666666666667,0.8249407825521061,0.17505921744789393,2.855428519639641,0.7916666666666666,0.20833333333333334,security_risk,43,0.35
0.06666666666666667,0.8245643209542214,0.17543567904577861,2.8540296792713273,0.775,0.225,security_risk,44,0.35
0.05,0.7915177436871118,0.2084822563128882,2.8580829181857594,0.7916666666666666,0.20833333333333334,security_risk,42,0.45
0.05,0.7905788788345834,0.20942112116541653,2.856308559418255,0.7833333333333333,0.21666666666666667,security_risk,43,0.45
0.05,0.79234351688807,0.20765648311193008,2.8543949123289036,0.7916666666666666,0.20833333333333334,security_risk,44,0.45
0.041666666666666664,0.753427227810823,0.2465727721891769,2.8573216170303417,0.8,0.2,security_risk,42,0.55
0.041666666666666664,0.7521939951806487,0.24780600481935142,2.8571826757509844,0.7833333333333333,0.21666666666666667,security_risk,43,0.55
0.041666666666666664,0.7538544689260621,0.246145531073938,2.8534485170675037,0.8083333333333333,0.19166666666666668,security_risk,44,0.55
0.03333333333333333,0.7069226057918968,0.2930773942081032,2.8570977900205956,0.7916666666666666,0.20833333333333334,security_risk,42,0.65
0.03333333333333333,0.7049596773850354,0.29504032261496477,2.8514833155068886,0.7833333333333333,0.21666666666666667,security_risk,43,0.65
0.03333333333333333,0.702692306655848,0.29730769334415197,2.854390001549347,0.8,0.2,security_risk,44,0.65
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,security_margin,42,0.02
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,security_margin,43,0.02
0.21666666666666667,0.6261546163736205,0.37384538362637953,2.8579450765582153,0.7666666666666667,0.23333333333333334,security_margin,44,0.02
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,security_margin,42,0.05
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,security_margin,43,0.05
0.21666666666666667,0.6187005145858541,0.3812994854141459,2.8551324876759394,0.7833333333333333,0.21666666666666667,security_margin,44,0.05
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,security_margin,42,0.1
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,security_margin,43,0.1
0.21666666666666667,0.6146998839499236,0.3853001160500764,2.8546244594069905,0.7833333333333333,0.21666666666666667,security_margin,44,0.1
0.21666666666666667,0.6151875411093886,0.38481245889061155,2.851964323462776,0.8,0.2,security_margin,42,0.2
0.21666666666666667,0.6118243014523753,0.38817569854762474,2.841037020680836,0.8,0.2,security_margin,43,0.2
0.21666666666666667,0.6146998839499236,0.3853001160500764,2.8546244594069905,0.7833333333333333,0.21666666666666667,security_margin,44,0.2
