method,scan_value,avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob
aoi_only,2.0,0.21666666666666667,0.8350181137708209,0.16498188622917906,2.858327320422861,0.7805555555555556,0.21944444444444444
aoi_only,4.0,0.20000000000000004,0.9383277501298384,0.06167224987016152,2.8564872848862106,0.7972222222222222,0.2027777777777778
aoi_only,6.0,0.14166666666666666,0.9154626040845674,0.08453739591543258,2.856258246626144,0.7944444444444444,0.20555555555555557
aoi_only,8.0,0.10833333333333334,0.8929889698355714,0.1070110301644286,2.856549587482146,0.7944444444444444,0.20555555555555557
aoi_only,10.0,0.08333333333333333,0.8678399371418569,0.13216006285814316,2.8574535670674783,0.7944444444444444,0.20555555555555557
security_margin,0.02,0.21666666666666667,0.6177221529784614,0.3822778470215386,2.8503154735672758,0.7888888888888889,0.2111111111111111
security_margin,0.05,0.21666666666666667,0.6152374523825394,0.3847625476174607,2.8493779439398508,0.7944444444444444,0.20555555555555557
security_margin,0.1,0.21666666666666667,0.6139039088372291,0.3860960911627709,2.849208601183534,0.7944444444444444,0.20555555555555557
security_margin,0.2,0.21666666666666667,0.6139039088372291,0.3860960911627709,2.849208601183534,0.7944444444444444,0.20555555555555557
security_risk,0.35,0.06666666666666667,0.825181459090296,0.17481854090970406,2.856535923427662,0.7861111111111111,0.2138888888888889
security_risk,0.45,0.05000000000000001,0.7914800464699218,0.20851995353007827,2.856262129977639,0.7888888888888889,0.2111111111111111
security_risk,0.55,0.041666666666666664,0.7531585639725114,0.24684143602748876,2.85598426994961,0.7972222222222222,0.2027777777777778
security_risk,0.65,0.03333333333333333,0.7048581966109267,0.2951418033890733,2.8543237023589434,0.7916666666666666,0.20833333333333334
