scenario,variant,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
paper_base,rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971158233678349,0.0,0.0,0.5028841766321651,0.0,0.0,2.7128409981984105,0.0,0.0,0.023539802445475783,0.0,0.0,0.022398312035027717,0.0,0.0,-0.9734258621749979,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9166666666666666,0.0,0.0,0.8,0.0,0.0,0.20833333333333334,0.0,0.0,0.7916666666666666,0.0,0.0,23.906023352001284,0.0,0.0,199.21686126667737,0.0,0.0,1
paper_base,rollout_no_certificate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971158233678349,0.0,0.0,0.5028841766321651,0.0,0.0,2.7095512466045184,0.0,0.0,0.0238587792286329,0.0,0.0,0.022743759964173042,0.0,0.0,-0.97533700995201,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9166666666666666,0.0,0.0,0.8,0.0,0.0,0.225,0.0,0.0,0.775,0.0,0.0,23.997916594000344,0.0,0.0,199.9826382833362,0.0,0.0,1
paper_base,rollout_no_outage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971158233678349,0.0,0.0,0.5028841766321651,0.0,0.0,2.7128409981984105,0.0,0.0,0.023539802445475783,0.0,0.0,0.022398312035027717,0.0,0.0,-0.9734258621749979,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9166666666666666,0.0,0.0,0.8,0.0,0.0,0.20833333333333334,0.0,0.0,0.7916666666666666,0.0,0.0,24.75615356199887,0.0,0.0,206.30127968332394,0.0,0.0,1
paper_base,rollout_no_pending_sync,0.09166666666666666,0.0,0.0,0.09166666666666666,0.0,0.0,0.09166666666666666,0.0,0.0,0.8519485806583106,0.0,0.0,0.1480514193416894,0.0,0.0,2.716290493833432,0.0,0.0,0.010771447624834367,0.0,0.0,0.00897738954401948,0.0,0.0,0.09692949714931991,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8833333333333333,0.0,0.0,0.625,0.0,0.0,0.14166666666666666,0.0,0.0,0.8583333333333333,0.0,0.0,24.470738783000343,0.0,0.0,203.92282319166952,0.0,0.0,1
paper_base,rollout_one_step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4971158233678349,0.0,0.0,0.5028841766321651,0.0,0.0,2.6910048038053143,0.0,0.0,0.024599219148274017,0.0,0.0,0.02368295099014329,0.0,0.0,-0.9898268845579477,0.0,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.9166666666666666,0.0,0.0,0.8,0.0,0.0,0.24166666666666667,0.0,0.0,0.7583333333333333,0.0,0.0,2.365070575999198,0.0,0.0,19.708921466659984,0.0,0.0,1
paper_hard,rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932767967988384,0.0,0.0,0.5067232032011616,0.0,0.0,2.553959050062771,0.0,0.0,0.0242967533329321,0.0,0.0,0.02361982306826022,0.0,0.0,-1.8034792394281713,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.5785714285714286,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,29.331043963999036,0.0,0.0,209.5074568857074,0.0,0.0,1
paper_hard,rollout_no_certificate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932767967988384,0.0,0.0,0.5067232032011616,0.0,0.0,2.5507471847337158,0.0,0.0,0.02436879376566513,0.0,0.0,0.023721201168438084,0.0,0.0,-1.8094952056966715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.5857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,28.852203145001113,0.0,0.0,206.08716532143652,0.0,0.0,1
paper_hard,rollout_no_outage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932767967988384,0.0,0.0,0.5067232032011616,0.0,0.0,2.5522381702025387,0.0,0.0,0.024691072669100828,0.0,0.0,0.024167051496305325,0.0,0.0,-1.804237348527859,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.5928571428571429,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,28.665456618000462,0.0,0.0,204.75326155714615,0.0,0.0,1
paper_hard,rollout_no_pending_sync,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,0.0,0.08571428571428572,0.0,0.0,0.8478710943458495,0.0,0.0,0.15212890565415046,0.0,0.0,2.5567820863140103,0.0,0.0,0.014162900213100559,0.0,0.0,0.013747221532255353,0.0,0.0,-0.21153352806029632,0.0,0.0,0.39285714285714285,0.0,0.0,0.6071428571428571,0.0,0.0,0.8785714285714286,0.0,0.0,0.5285714285714286,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,28.463229750999744,0.0,0.0,203.30878393571246,0.0,0.0,1
paper_hard,rollout_one_step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932767967988384,0.0,0.0,0.5067232032011616,0.0,0.0,2.547268886420891,0.0,0.0,0.024906757514114603,0.0,0.0,0.024465007930517806,0.0,0.0,-1.8122398828358577,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.5928571428571429,0.0,0.0,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,2.736864279000656,0.0,0.0,19.5490305642904,0.0,0.0,1
