avg_sync_cost,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,variant
0.0,0.0,0.0,0.4971158233678349,0.5028841766321651,2.7128409981984105,0.023539802445475783,0.022398312035027717,-0.9734258621749979,0.05,0.95,0.9166666666666666,0.8,0.20833333333333334,0.7916666666666666,rollout_joint,62,23.906023352001284,199.21686126667737,paper_base,rollout_joint
0.0,0.0,0.0,0.4971158233678349,0.5028841766321651,2.7095512466045184,0.0238587792286329,0.022743759964173042,-0.97533700995201,0.05,0.95,0.9166666666666666,0.8,0.225,0.775,rollout_joint,62,23.997916594000344,199.9826382833362,paper_base,rollout_no_certificate
0.0,0.0,0.0,0.4971158233678349,0.5028841766321651,2.7128409981984105,0.023539802445475783,0.022398312035027717,-0.9734258621749979,0.05,0.95,0.9166666666666666,0.8,0.20833333333333334,0.7916666666666666,rollout_joint,62,24.75615356199887,206.30127968332394,paper_base,rollout_no_outage
0.09166666666666666,0.09166666666666666,0.09166666666666666,0.8519485806583106,0.1480514193416894,2.716290493833432,0.010771447624834367,0.00897738954401948,0.09692949714931991,0.8,0.2,0.8833333333333333,0.625,0.14166666666666666,0.8583333333333333,rollout_joint,62,24.470738783000343,203.92282319166952,paper_base,rollout_no_pending_sync
0.0,0.0,0.0,0.4971158233678349,0.5028841766321651,2.6910048038053143,0.024599219148274017,0.02368295099014329,-0.9898268845579477,0.05,0.95,0.9166666666666666,0.8,0.24166666666666667,0.7583333333333333,rollout_joint,62,2.365070575999198,19.708921466659984,paper_base,rollout_one_step
0.0,0.0,0.0,0.4932767967988384,0.5067232032011616,2.553959050062771,0.0242967533329321,0.02361982306826022,-1.8034792394281713,0.0,1.0,0.9142857142857143,0.5785714285714286,0.5714285714285714,0.42857142857142855,rollout_joint,62,29.331043963999036,209.5074568857074,paper_hard,rollout_joint
0.0,0.0,0.0,0.4932767967988384,0.5067232032011616,2.5507471847337158,0.02436879376566513,0.023721201168438084,-1.8094952056966715,0.0,1.0,0.9142857142857143,0.5857142857142857,0.5714285714285714,0.42857142857142855,rollout_joint,62,28.852203145001113,206.08716532143652,paper_hard,rollout_no_certificate
0.0,0.0,0.0,0.4932767967988384,0.5067232032011616,2.5522381702025387,0.024691072669100828,0.024167051496305325,-1.804237348527859,0.0,1.0,0.9142857142857143,0.5928571428571429,0.5714285714285714,0.42857142857142855,rollout_joint,62,28.665456618000462,204.75326155714615,paper_hard,rollout_no_outage
0.08571428571428572,0.08571428571428572,0.08571428571428572,0.8478710943458495,0.15212890565415046,2.5567820863140103,0.014162900213100559,0.013747221532255353,-0.21153352806029632,0.39285714285714285,0.6071428571428571,0.8785714285714286,0.5285714285714286,0.5714285714285714,0.42857142857142855,rollout_joint,62,28.463229750999744,203.30878393571246,paper_hard,rollout_no_pending_sync
0.0,0.0,0.0,0.4932767967988384,0.5067232032011616,2.547268886420891,0.024906757514114603,0.024465007930517806,-1.8122398828358577,0.0,1.0,0.9142857142857143,0.5928571428571429,0.5714285714285714,0.42857142857142855,rollout_joint,62,2.736864279000656,19.5490305642904,paper_hard,rollout_one_step
0.00625,0.00625,0.00625,0.5344233366562829,0.465576663343717,2.444243885273072,0.024071966486883766,0.023651920848171692,-1.4128308480710876,0.0,1.0,0.90625,0.4125,0.46875,0.53125,rollout_joint,62,33.37060265299988,208.56626658124924,scenario_stress,rollout_joint
0.00625,0.00625,0.00625,0.534906515307545,0.46509348469245493,2.446982098993369,0.02277967863349274,0.02138766553981773,-1.2803108751431753,0.0,1.0,0.90625,0.34375,0.4625,0.5375,rollout_joint,62,33.16786847900039,207.29917799375244,scenario_stress,rollout_no_certificate
0.0,0.0,0.0,0.48775410892159615,0.5122458910784038,2.4414428935296795,0.0230863417193427,0.020379426134311256,-2.766976571802254,0.0,1.0,0.90625,0.35625,0.475,0.525,rollout_joint,62,33.87180961000013,211.6988100625008,scenario_stress,rollout_no_outage
0.11875,0.10625,0.11875,0.8676239001653464,0.1323760998346537,2.443605596993868,0.015134529337296546,0.01478598193082522,-0.41522524528433935,0.0,1.0,0.84375,0.38125,0.475,0.525,rollout_joint,62,32.17103848699844,201.06899054374026,scenario_stress,rollout_no_pending_sync
0.0,0.0,0.0,0.48775410892159615,0.5122458910784038,2.440567911026527,0.023110283752110133,0.02058365570026712,-2.768227075907105,0.0,1.0,0.90625,0.35625,0.475,0.525,rollout_joint,62,3.2069367849999253,20.043354906249533,scenario_stress,rollout_one_step
