avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,periodic_k,budget,eve_speed
0.16666666666666666,0.5850121850586597,0.4149878149413403,3.6762241471108394,0.10833333333333334,0.8916666666666667,periodic,42,1,20,0.0
0.16666666666666666,0.5847098407584712,0.4152901592415289,3.640921600520443,0.10833333333333334,0.8916666666666667,periodic,43,1,20,0.0
0.16666666666666666,0.5837206768967372,0.4162793231032629,3.724451949947553,0.10833333333333334,0.8916666666666667,periodic,44,1,20,0.0
0.16666666666666666,0.5852371546861499,0.41476284531385005,3.318036124706174,0.125,0.875,periodic,42,1,20,2.0
0.16666666666666666,0.5848054451325493,0.41519455486745066,3.310741686122967,0.125,0.875,periodic,43,1,20,2.0
0.16666666666666666,0.5837206768967372,0.4162793231032629,3.3695725039328304,0.11666666666666667,0.8833333333333333,periodic,44,1,20,2.0
0.16666666666666666,0.5895449040707945,0.4104550959292056,3.3887369671164387,0.13333333333333333,0.8666666666666667,periodic,42,1,20,4.0
0.16666666666666666,0.5852673846418223,0.41473261535817785,3.3848884677036373,0.13333333333333333,0.8666666666666667,periodic,43,1,20,4.0
0.16666666666666666,0.5872900087488693,0.4127099912511307,3.4249958449968956,0.13333333333333333,0.8666666666666667,periodic,44,1,20,4.0
0.16666666666666666,0.590763199250168,0.409236800749832,3.4055360564020143,0.15,0.85,periodic,42,1,20,6.0
0.16666666666666666,0.5854366808408629,0.4145633191591371,3.4024572560187654,0.15,0.85,periodic,43,1,20,6.0
0.16666666666666666,0.5881514521607668,0.41184854783923336,3.4386885309896402,0.14166666666666666,0.8583333333333333,periodic,44,1,20,6.0
0.16666666666666666,0.5908794288505936,0.40912057114940636,3.3849208343174797,0.15,0.85,periodic,42,1,20,8.0
0.16666666666666666,0.5855489904609352,0.41445100953906483,3.3760447136888008,0.15,0.85,periodic,43,1,20,8.0
0.16666666666666666,0.5885784033175098,0.41142159668249006,3.412868501756689,0.15,0.85,periodic,44,1,20,8.0
0.3333333333333333,0.6762328824666167,0.3237671175333831,3.6762241471108394,0.10833333333333334,0.8916666666666667,periodic,42,1,40,0.0
0.3333333333333333,0.6744113675222164,0.32558863247778363,3.640921600520443,0.10833333333333334,0.8916666666666667,periodic,43,1,40,0.0
0.3333333333333333,0.6741669481392367,0.32583305186076317,3.724451949947553,0.10833333333333334,0.8916666666666667,periodic,44,1,40,0.0
0.3333333333333333,0.6763707587404911,0.3236292412595089,3.320980797297744,0.125,0.875,periodic,42,1,40,2.0
0.3333333333333333,0.6744835942994993,0.3255164057005006,3.311921797316688,0.125,0.875,periodic,43,1,40,2.0
0.3333333333333333,0.6741669481392368,0.32583305186076317,3.3590409719621204,0.11666666666666667,0.8833333333333333,periodic,44,1,40,2.0
0.3333333333333333,0.6774430222838129,0.3225569777161871,3.392629811836334,0.13333333333333333,0.8666666666666667,periodic,42,1,40,4.0
0.3333333333333333,0.6748411367927005,0.3251588632072995,3.3860116616179146,0.13333333333333333,0.8666666666666667,periodic,43,1,40,4.0
0.3333333333333333,0.6747648187711839,0.3252351812288161,3.4221281755907578,0.13333333333333333,0.8666666666666667,periodic,44,1,40,4.0
0.3333333333333333,0.6778707661637042,0.3221292338362957,3.4060614992053626,0.15,0.85,periodic,42,1,40,6.0
0.3333333333333333,0.6750512504204612,0.32494874957953884,3.4024535584261333,0.15,0.85,periodic,43,1,40,6.0
0.3333333333333333,0.6751436117260428,0.3248563882739573,3.437804925318984,0.14166666666666666,0.8583333333333333,periodic,44,1,40,6.0
0.3333333333333333,0.6778707661637042,0.3221292338362957,3.3849208343174797,0.15,0.85,periodic,42,1,40,8.0
0.3333333333333333,0.6750512504204612,0.32494874957953884,3.3760447136888008,0.15,0.85,periodic,43,1,40,8.0
0.3333333333333333,0.6751492963465487,0.32485070365345126,3.412868501756689,0.15,0.85,periodic,44,1,40,8.0
0.5,0.7706889716901449,0.229311028309855,3.6762241471108394,0.10833333333333334,0.8916666666666667,periodic,42,1,60,0.0
0.5,0.7689521994600792,0.2310478005399208,3.640921600520443,0.10833333333333334,0.8916666666666667,periodic,43,1,60,0.0
0.5,0.7666568516995417,0.23334314830045835,3.724451949947553,0.10833333333333334,0.8916666666666667,periodic,44,1,60,0.0
0.5,0.77078930443064,0.22921069556935988,3.327898350200548,0.125,0.875,periodic,42,1,60,2.0
0.5,0.7689901050980332,0.2310098949019669,3.3131470316662197,0.125,0.875,periodic,43,1,60,2.0
0.5,0.7666568516995417,0.23334314830045835,3.366473871274773,0.11666666666666667,0.8833333333333333,periodic,44,1,60,2.0
0.5,0.7712758244927921,0.22872417550720783,3.3933651232230195,0.13333333333333333,0.8666666666666667,periodic,42,1,60,4.0
0.5,0.7696355822852027,0.23036441771479718,3.385570193095053,0.13333333333333333,0.8666666666666667,periodic,43,1,60,4.0
0.5,0.7695089495459041,0.2304910504540959,3.4228672632515074,0.13333333333333333,0.8666666666666667,periodic,44,1,60,4.0
0.5,0.7712758244927921,0.22872417550720783,3.4060614992053626,0.15,0.85,periodic,42,1,60,6.0
0.5,0.7696355822852027,0.23036441771479718,3.4024535584261333,0.15,0.85,periodic,43,1,60,6.0
0.5,0.7695089495459041,0.2304910504540959,3.437804925318984,0.14166666666666666,0.8583333333333333,periodic,44,1,60,6.0
0.5,0.7712758244927921,0.22872417550720783,3.3849208343174797,0.15,0.85,periodic,42,1,60,8.0
0.5,0.7696355822852027,0.23036441771479718,3.3760447136888008,0.15,0.85,periodic,43,1,60,8.0
0.5,0.7695089495459041,0.2304910504540959,3.412868501756689,0.15,0.85,periodic,44,1,60,8.0
