avg_twin_badness,avg_secrecy_rate,tfscc,eve_speed
0.027790055846770984,3.4504578229147884,,0.0
0.027790055846770984,3.4504578229147884,,0.0
0.05182172255451403,3.4504578229147884,-0.0,0.0
0.05182172255451403,3.4504578229147884,,0.0
0.05182172255451403,3.4504578229147884,,0.0
0.0988055297303869,3.4504578229147884,-0.0,0.0
0.0988055297303869,3.4504578229147884,,0.0
0.0988055297303869,3.4504578229147884,,0.0
0.0988055297303869,3.4504578229147884,,0.0
0.14223998237537983,3.4504578229147884,-0.0,0.0
0.14529925744831354,3.450459497109542,-0.0005472521148262385,0.0
0.14529925744831354,3.450459497109542,,0.0
0.14529925744831354,3.450459497109542,,0.0
0.14529925744831354,3.450459497109542,,0.0
0.1553713677893173,3.4504578229147884,0.00016622085112416734,0.0
0.1801292844545348,3.4504578229147884,-0.0,0.0
0.18569355591188563,3.4504585880034875,-0.00013750024687437498,0.0
0.18569355591188563,3.4504585880034875,,0.0
0.18569355591188563,3.4504585880034875,,0.0
0.18569355591188563,3.4504585880034875,,0.0
0.23339313415247018,3.4504578229147884,1.6039737190187824e-05,0.0
0.23890207874101232,3.450456285623741,0.0002790536413356096,0.0
0.23890207874101232,3.450456285623741,,0.0
0.23890207874101232,3.450456285623741,,0.0
0.23890207874101232,3.450456285623741,,0.0
0.32774049595121135,3.4504578229147884,-1.7304349802984785e-05,0.0
0.3362691374305307,3.4504578229147884,-0.0,0.0
0.4182332561090027,3.4504578229147884,-0.0,0.0
0.027753413917359183,3.1383690720316237,,2.0
0.027753413917359183,3.1383690720316237,,2.0
0.051738515825793176,3.1382898117858393,0.0033045615602136594,2.0
0.051738515825793176,3.1382898117858393,,2.0
0.051738515825793176,3.1382898117858393,,2.0
0.0986690366338182,3.1395542377091963,-0.02694250780913443,2.0
0.0986690366338182,3.1395542377091963,,2.0
0.0986690366338182,3.1395542377091963,,2.0
0.0986690366338182,3.1395542377091963,,2.0
0.14219499984286962,3.1385014861537406,0.02418674919149808,2.0
