episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,scenario,train_episode,seed
120.0,9.855611982053682,0.23333333333333334,0.23333333333333334,0.4,0.38333333333333336,0.4,0.8592155977151552,0.14078440228484468,0.08213009985044735,0.011680418699260293,0.011439206267179904,-2.43325761690318,0.0,1.0,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.24166666666666667,1.0,0.0,paper_base,0,200
120.0,39.70383918990572,0.23333333333333334,0.23333333333333334,0.375,0.35,0.375,0.8192672814898584,0.18073271851014178,0.3308653265825477,0.03504104516294606,0.027745664815063718,-2.0318979169419373,0.0,1.0,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5,1.0,0.0,paper_base,1,201
120.0,0.23709196293150114,0.23333333333333334,0.23333333333333334,0.375,0.36666666666666664,0.375,0.8691279380828938,0.1308720619171063,0.0019757663577625096,0.04139764663851894,0.04099682245640414,-2.52173118656301,0.0,1.0,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.10833333333333334,1.0,0.0,paper_base,2,202
120.0,2.3156546034979826,0.23333333333333334,0.23333333333333334,0.38333333333333336,0.375,0.38333333333333336,0.9030616742017089,0.09693832579829108,0.019297121695816523,0.03155885594662979,0.03155885594662979,-2.4899968238526573,0.0,1.0,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.15,1.0,0.0,paper_base,3,203
120.0,1.2930112788262424,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.3333333333333333,0.35833333333333334,0.9346771005844126,0.06532289941558742,0.010775093990218688,0.0,-0.0005379016119904646,-2.5775686456607363,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,paper_base,4,204
120.0,8.090745185643028,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.31666666666666665,0.3416666666666667,0.7516389296861251,0.24836107031387494,0.06742287654702524,0.30449415327702917,0.30374398878242687,-2.178727909846154,0.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5666666666666667,1.0,0.0,paper_base,5,205
120.0,0.7551070629025106,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.3333333333333333,0.3416666666666667,0.8302362282772864,0.16976377172271367,0.006292558857520922,0.021095885687376973,0.021089855309088867,-2.5933668993087866,0.0,1.0,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.1,1.0,0.0,paper_base,6,206
120.0,1.6027956844917035,0.23333333333333334,0.23333333333333334,0.35,0.3333333333333333,0.35,0.9348805784868813,0.06511942151311866,0.01335663070409753,0.0005572150679686934,-0.0007859943362768666,-2.573040158794484,0.0,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.05,1.0,0.0,paper_base,7,207
120.0,0.575982477973561,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.31666666666666665,0.3416666666666667,0.724129651364293,0.2758703486357072,0.004799853983113008,0.14558022791764474,0.14558022791764474,-2.395583467529193,0.0,1.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.26666666666666666,1.0,0.0,paper_base,8,208
120.0,12.85825377045031,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.8286623134291679,0.17133768657083204,0.10715211475375258,0.047022970761323064,0.04674392370243884,-2.3054419403692394,0.0,1.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.325,1.0,0.0,paper_base,9,209
120.0,0.9087481370915098,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.325,0.3416666666666667,0.7133770458053561,0.2866229541946438,0.007572901142429248,0.301122951374116,0.30105316782588043,-2.283830151355214,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2833333333333333,1.0,0.0,paper_base,10,210
120.0,34.84071061077015,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.31666666666666665,0.3333333333333333,0.6801392411715538,0.3198607588284463,0.2903392550897513,0.6285272000037746,0.6236254790265029,-1.4875672835963505,0.15,0.85,0.475,0.475,0.475,0.5333333333333333,1.0,0.0,paper_base,11,211
120.0,0.946491238452885,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.8017349204403679,0.19826507955963202,0.007887426987107374,0.018843760069535438,0.01866827394435309,-2.578387215947627,0.0,1.0,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.06666666666666667,1.0,0.0,paper_base,12,212
120.0,23.326279766323275,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7467169805510923,0.25328301944890763,0.1943856647193606,0.3558199077034965,0.35389957713694215,-1.907470519962043,0.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.45,1.0,0.0,paper_base,13,213
120.0,11.616034334257675,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.31666666666666665,0.3333333333333333,0.7190147966442367,0.2809852033557634,0.09680028611881396,0.3782082116592539,0.3746627022633709,-2.0956323708035147,0.0,1.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.4,1.0,0.0,paper_base,14,214
120.0,5.214319324847719,0.23333333333333334,0.23333333333333334,0.325,0.31666666666666665,0.325,0.7125833601436303,0.2874166398563697,0.04345266104039766,0.06673203166241573,0.06661200826153056,-2.4536261174483958,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.39166666666666666,1.0,0.0,paper_base,15,215
120.0,27.65530468741911,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6928822825996144,0.30711771740038557,0.23046087239515925,0.260178600635785,0.2589391827202308,-2.029043882359416,0.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5583333333333333,1.0,0.0,paper_base,16,216
120.0,26.271581035133572,0.23333333333333334,0.23333333333333334,0.35,0.31666666666666665,0.35,0.7907087944636171,0.20929120553638286,0.21892984195944643,0.05352274592413719,0.04222645897838633,-2.17502829904404,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.39166666666666666,1.0,0.0,paper_base,17,217
120.0,3.0436886742836853,0.23333333333333334,0.23333333333333334,0.3,0.2916666666666667,0.3,0.7845191554712251,0.21548084452877495,0.025364072285697377,0.013101915283424307,0.012149373443589644,-2.623091666465908,0.0,1.0,0.9416666666666667,0.9416666666666667,0.9416666666666667,0.08333333333333333,1.0,0.0,paper_base,18,218
120.0,45.54547873046004,0.23333333333333334,0.23333333333333334,0.325,0.2916666666666667,0.325,0.6122028422732839,0.38779715772671597,0.379545656087167,0.2817408261098529,0.27907123231205766,-1.9083644028872204,0.0,1.0,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.725,1.0,0.0,paper_base,19,219
120.0,26.280551526255934,0.23333333333333334,0.23333333333333334,0.375,0.35833333333333334,0.375,0.6575626689141847,0.3424373310858153,0.2190045960521328,0.42741003487292206,0.42607489394619563,-2.0052150514963976,0.0,1.0,0.35833333333333334,0.35833333333333334,0.35833333333333334,0.7083333333333334,1.0,0.0,paper_base,20,220
120.0,33.635490518711215,0.23333333333333334,0.23333333333333334,0.325,0.30833333333333335,0.325,0.805686715835211,0.19431328416478902,0.28029575432259346,0.22179279633651383,0.21616015235427366,-2.0208747147266624,0.0,1.0,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5166666666666667,1.0,0.0,paper_base,21,221
120.0,54.59138352408364,0.23333333333333334,0.23333333333333334,0.3,0.3,0.3,0.5180437587952642,0.4819562412047358,0.45492819603403034,0.6738127036871517,0.6727588396364875,-1.6839472427667668,0.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.7833333333333333,1.0,0.0,paper_base,22,222
120.0,34.23435753879333,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.35,0.36666666666666664,0.7470503945968453,0.25294960540315486,0.28528631282327777,0.15423714073097952,0.1434068812900704,-1.9149787862363659,0.0,1.0,0.6083333333333333,0.6083333333333333,0.6083333333333333,0.5666666666666667,1.0,0.0,paper_base,23,223
120.0,16.853332085530653,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.35,0.35833333333333334,0.5865774398048534,0.41342256019514667,0.14044443404608878,0.6051635760874923,0.6026010575462696,-1.9992924658371423,0.0,1.0,0.375,0.375,0.375,0.6833333333333333,1.0,0.0,paper_base,24,224
120.0,23.74333568384234,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.5566121431026652,0.44338785689733484,0.19786113069868616,0.6624997047825929,0.660523253226168,-1.7102788086379974,0.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6666666666666666,1.0,0.0,paper_base,25,225
120.0,34.42520687895038,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.3416666666666667,0.3416666666666667,0.5765368991339768,0.4234631008660233,0.28687672399125314,0.7216894707750271,0.7184025140054133,-1.867792794923876,0.0,1.0,0.35,0.35,0.35,0.7416666666666667,1.0,0.0,paper_base,26,226
120.0,39.025400828507,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.31666666666666665,0.3416666666666667,0.7020919540979212,0.29790804590207876,0.3252116735708917,0.23976855214306955,0.23691718577708665,-1.9592739657012157,0.0,1.0,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.625,1.0,0.0,paper_base,27,227
120.0,41.74133041623644,0.23333333333333334,0.23333333333333334,0.38333333333333336,0.35,0.38333333333333336,0.6592972072668986,0.34070279273310156,0.34784442013530364,0.2342096536701428,0.21947333246309964,-1.9371867775273495,0.0,1.0,0.475,0.475,0.475,0.6666666666666666,1.0,0.0,paper_base,28,228
120.0,7.6799157041805595,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.5944580953568704,0.40554190464312956,0.06399929753483799,0.4254321759293821,0.4252713033625009,-2.39022738656268,0.0,1.0,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.6583333333333333,1.0,0.0,paper_base,29,229
120.0,33.54760457715655,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.35833333333333334,0.36666666666666664,0.6343835077512878,0.3656164922487121,0.27956337147630456,0.5303262082199732,0.5257743000474713,-1.881118396696546,0.0,1.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6833333333333333,1.0,0.0,paper_base,30,230
120.0,26.099604862007396,0.23333333333333334,0.23333333333333334,0.39166666666666666,0.38333333333333336,0.39166666666666666,0.7592358358932285,0.24076416410677157,0.21749670718339498,0.03349708221769041,0.0271485312737201,-2.419359150517887,0.0,1.0,0.775,0.775,0.775,0.2916666666666667,1.0,0.0,paper_base,31,231
120.0,27.098496714841552,0.23333333333333334,0.23333333333333334,0.35,0.3416666666666667,0.35,0.68109137753952,0.31890862246048,0.22582080595701293,0.00846528357694913,-0.00548467849665429,-2.631489437565398,0.0,1.0,0.8083333333333333,0.8083333333333333,0.8083333333333333,0.19166666666666668,1.0,0.0,paper_base,32,232
120.0,49.26933351196935,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.35,0.35833333333333334,0.6630990468347906,0.3369009531652095,0.41057777926641126,0.2501107371719305,0.24150241138019168,-1.8623407261637555,0.0,1.0,0.475,0.475,0.475,0.675,1.0,0.0,paper_base,33,233
120.0,5.142277501659034,0.23333333333333334,0.23333333333333334,0.4,0.375,0.4,0.7601421570690119,0.23985784293098805,0.042852312513825284,0.31791771704179034,0.3176176120547183,-2.1832211996505797,0.0,1.0,0.6,0.6,0.6,0.4166666666666667,1.0,0.0,paper_base,34,234
120.0,27.0535359473009,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.669401858127685,0.33059814187231484,0.22544613289417417,0.24554245909386518,0.2404933635792564,-2.4740493025667094,0.0,1.0,0.65,0.65,0.65,0.5333333333333333,1.0,0.0,paper_base,35,235
120.0,58.441865241992176,0.23333333333333334,0.23333333333333334,0.38333333333333336,0.35833333333333334,0.38333333333333336,0.734595656982384,0.2654043430176159,0.4870155436832681,0.03821612733623894,0.014662485034155274,-1.9714229326746147,0.0,1.0,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.43333333333333335,1.0,0.0,paper_base,36,236
120.0,34.75884389909293,0.23333333333333334,0.23333333333333334,0.39166666666666666,0.375,0.39166666666666666,0.5920142593736373,0.4079857406263628,0.28965703249244107,1.0008914699423876,0.9993423425263462,-1.7803305179291404,0.0,1.0,0.325,0.325,0.325,0.6833333333333333,1.0,0.0,paper_base,37,237
120.0,44.441426415338,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.31666666666666665,0.3333333333333333,0.6710378272136241,0.32896217278637585,0.3703452201278167,0.028442977641353433,0.024513154787444986,-2.1572830742753677,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.35833333333333334,1.0,0.0,paper_base,38,238
120.0,12.482031959724985,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.5544940648767466,0.44550593512325337,0.10401693299770821,1.0361624456718745,1.0325608565869588,-2.0328828233084644,0.0,1.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.6416666666666667,1.0,0.0,paper_base,39,239
120.0,39.841531064916566,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.35,0.36666666666666664,0.7241221622910262,0.27587783770897367,0.3320127588743047,0.08695619437912722,0.07798565230236625,-2.167377376091991,0.0,1.0,0.775,0.775,0.775,0.4,1.0,0.0,paper_base,40,240
120.0,48.26574707744347,0.23333333333333334,0.23333333333333334,0.38333333333333336,0.375,0.38333333333333336,0.6939614752832052,0.30603852471679477,0.40221455897869557,0.13845119077553505,0.12784622406537716,-1.847533805432199,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.65,1.0,0.0,paper_base,41,241
120.0,33.34602666538913,0.23333333333333334,0.23333333333333334,0.325,0.30833333333333335,0.325,0.6741742805804605,0.3258257194195394,0.27788355554490946,0.19042660978967368,0.1833813976094543,-2.3047692031803915,0.0,1.0,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.44166666666666665,1.0,0.0,paper_base,42,242
120.0,15.682178795524997,0.23333333333333334,0.23333333333333334,0.325,0.3,0.325,0.6423026327992083,0.3576973672007916,0.13068482329604164,0.21666635482746593,0.21158533687065398,-2.0979652485320686,0.0,1.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.4666666666666667,1.0,0.0,paper_base,43,243
120.0,60.412462846878896,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.35,0.35833333333333334,0.7055012831569061,0.2944987168430939,0.5034371903906575,0.06041776752559745,0.05061375201444517,-1.7446739138648426,0.0,1.0,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.49166666666666664,1.0,0.0,paper_base,44,244
120.0,49.24019189684038,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.7093314562403943,0.29066854375960555,0.4103349324736698,0.11755158734957698,0.10741839822333557,-1.8201055338041239,0.0,1.0,0.675,0.675,0.675,0.5,1.0,0.0,paper_base,45,245
120.0,55.0101733632779,0.23333333333333334,0.23333333333333334,0.3416666666666667,0.31666666666666665,0.3416666666666667,0.7356321246150713,0.2643678753849286,0.4584181113606492,0.042936027805745965,0.02539393216500695,-1.9126150464938259,0.0,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.3333333333333333,1.0,0.0,paper_base,46,246
120.0,47.33199849690678,0.23333333333333334,0.23333333333333334,0.35,0.325,0.35,0.6362964376315735,0.36370356236842655,0.3944333208075565,0.17682865637349063,0.15487911345871544,-2.236692008507661,0.0,1.0,0.7,0.7,0.7,0.5833333333333334,1.0,0.0,paper_base,47,247
120.0,61.303684696495786,0.23333333333333334,0.23333333333333334,0.36666666666666664,0.35833333333333334,0.36666666666666664,0.7313999613357569,0.26860003866424315,0.5108640391374649,0.14274596573404166,0.1303380577963219,-1.6968089063286773,0.0,1.0,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6083333333333333,1.0,0.0,paper_base,48,248
120.0,66.67154583177857,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.35,0.35833333333333334,0.8541121584238546,0.14588784157614543,0.5555962152648214,0.01290806156712061,0.0007752102575288808,-1.877803555389093,0.0,1.0,0.675,0.675,0.675,0.4583333333333333,1.0,0.0,paper_base,49,249
120.0,47.24480814235157,0.23333333333333334,0.23333333333333334,0.325,0.31666666666666665,0.325,0.8550003263933313,0.14499967360666866,0.3937067345195964,0.018421327347146518,0.0031538695108289726,-2.096554776394796,0.0,1.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.3,1.0,0.0,paper_base,50,250
120.0,34.032139984105726,0.23333333333333334,0.23333333333333334,0.35,0.35,0.35,0.8084928755294148,0.19150712447058524,0.28360116653421436,0.14908708400892998,0.14054897713824083,-2.052798906197371,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.375,1.0,0.0,paper_base,51,251
120.0,27.68151084593479,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.3,0.31666666666666665,0.7583541526347314,0.24164584736526865,0.23067925704945658,0.1451950669423644,0.1336509992340276,-2.167398953973167,0.0,1.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.36666666666666664,1.0,0.0,paper_base,52,252
120.0,57.15455949836018,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.26666666666666666,0.31666666666666665,0.7086846222058315,0.2913153777941686,0.47628799581966813,0.20299416896302286,0.1953921595366753,-1.9183668707294055,0.0,1.0,0.725,0.725,0.725,0.5,1.0,0.0,paper_base,53,253
120.0,45.39895992704931,0.23333333333333334,0.23333333333333334,0.4,0.39166666666666666,0.4,0.7170439542226802,0.28295604577731986,0.37832466605874426,0.374753336287769,0.36447660106436347,-1.802103123818424,0.0,1.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.0,0.0,paper_base,54,254
120.0,29.240703067992534,0.23333333333333334,0.23333333333333334,0.325,0.31666666666666665,0.325,0.720564445833308,0.279435554166692,0.24367252556660446,0.2905905543037021,0.28324027421697195,-2.074579308007133,0.0,1.0,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.3333333333333333,1.0,0.0,paper_base,55,255
120.0,86.54684724117004,0.23333333333333334,0.23333333333333334,0.325,0.31666666666666665,0.325,0.6436080818039652,0.3563919181960348,0.7212237270097503,0.3599915088870605,0.33776832169387655,-1.667193512072315,0.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.5583333333333333,1.0,0.0,paper_base,56,256
120.0,47.07131072589906,0.23333333333333334,0.23333333333333334,0.30833333333333335,0.2916666666666667,0.30833333333333335,0.7833580036315162,0.21664199636848375,0.3922609227158255,0.06756840796228497,0.06332173297215475,-2.053970529992845,0.0,1.0,0.8,0.8,0.8,0.39166666666666666,1.0,0.0,paper_base,57,257
120.0,63.7419974637499,0.23333333333333334,0.23333333333333334,0.325,0.2916666666666667,0.325,0.7117627870614563,0.28823721293854365,0.5311833121979158,0.12765389212079514,0.08107257387957872,-1.6455239564576636,0.0,1.0,0.675,0.675,0.675,0.48333333333333334,1.0,0.0,paper_base,58,258
120.0,71.43797634593395,0.23333333333333334,0.23333333333333334,0.35,0.3333333333333333,0.35,0.6858803368612132,0.31411966313878675,0.5953164695494496,0.30072789372650366,0.2929774037108916,-1.4961930310758578,0.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6583333333333333,1.0,0.0,paper_base,59,259
120.0,71.71742341882806,0.23333333333333334,0.23333333333333334,0.325,0.30833333333333335,0.325,0.7691755898933006,0.23082441010669938,0.5976451951569005,0.020279343412191998,0.006983695829795579,-1.665851526640335,0.0,1.0,0.725,0.725,0.725,0.4166666666666667,1.0,0.0,paper_base,60,260
120.0,70.55871490190282,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.30833333333333335,0.3333333333333333,0.5529816225299834,0.4470183774700166,0.5879892908491902,0.7047627102158531,0.6996961226029403,-1.3495738848293908,0.0,1.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.8166666666666667,1.0,0.0,paper_base,61,261
120.0,50.323015778215634,0.23333333333333334,0.23333333333333334,0.4,0.4,0.4,0.8016123874334009,0.1983876125665991,0.4193584648184636,0.0198754926418837,0.012130307529807982,-1.8516567899855711,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.475,1.0,0.0,paper_base,62,262
120.0,55.892005171526144,0.23333333333333334,0.23333333333333334,0.3,0.25833333333333336,0.3,0.6883562908228008,0.3116437091771992,0.4657667097627179,0.1332046734175896,0.12157270811118838,-1.6442386274087137,0.0,1.0,0.675,0.675,0.675,0.475,1.0,0.0,paper_base,63,263
120.0,68.76452160836568,0.23333333333333334,0.23333333333333334,0.3,0.275,0.3,0.6669880992998997,0.33301190070010034,0.573037680069714,0.062441721457848834,0.03950318826336389,-1.7790319413174909,0.0,1.0,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.39166666666666666,1.0,0.0,paper_base,64,264
120.0,46.70563692365569,0.23333333333333334,0.23333333333333334,0.35833333333333334,0.35833333333333334,0.35833333333333334,0.7457993759140567,0.25420062408594335,0.3892136410304641,0.14870185862742213,0.1404194108394334,-2.0075188275953284,0.0,1.0,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.5083333333333333,1.0,0.0,paper_base,65,265
120.0,58.27484155293173,0.23333333333333334,0.23333333333333334,0.3333333333333333,0.325,0.3333333333333333,0.5195318781351493,0.48046812186485066,0.4856236796077644,0.8261422326774202,0.8160647342076071,-1.5175425660092425,0.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6916666666666667,1.0,0.0,paper_base,66,266
120.0,69.58156332049681,0.23333333333333334,0.23333333333333334,0.3,0.2833333333333333,0.3,0.5943701241367276,0.4056298758632725,0.5798463610041401,0.3444242638593378,0.3326545105864291,-1.6807054203639111,0.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6166666666666667,1.0,0.0,paper_base,67,267
120.0,80.25188465315476,0.23333333333333334,0.23333333333333334,0.325,0.31666666666666665,0.325,0.6594786696083741,0.3405213303916259,0.6687657054429563,0.33266727891716613,0.3246499361681637,-1.5305380912333348,0.0,1.0,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.725,1.0,0.0,paper_base,68,268
120.0,79.15112947763176,0.23333333333333334,0.23333333333333334,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.5870664910228283,0.4129335089771717,0.6595927456469313,0.35275639602050257,0.3370999226390208,-1.957550838014377,0.0,1.0,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.675,1.0,0.0,paper_base,69,269
120.0,45.968289831117985,0.23333333333333334,0.23333333333333334,0.3,0.2916666666666667,0.3,0.4522612031443853,0.5477387968556147,0.3830690819259832,0.7876720328194924,0.7843882185898357,-2.046369059552407,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9,1.0,0.0,paper_base,70,270
120.0,59.8947877302971,0.23333333333333334,0.23333333333333334,0.31666666666666665,0.3,0.31666666666666665,0.46427376530935394,0.5357262346906461,0.49912323108580914,1.080408191076063,1.0763937817406235,-1.2868323874402192,0.18333333333333332,0.8166666666666667,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.8583333333333333,1.0,0.0,paper_base,71,271
