episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
120.0,93.52496495614058,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.225,0.23333333333333334,0.4836421504131085,0.5163578495868915,0.7793747079678381,0.11927752740021666,0.10060084928768227,-4.990979652933054,0.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.4,1.0,0.0,ppo_baseline,62,0.7805635160002566,6.504695966668805,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,93.1621679038285,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.20833333333333334,0.23333333333333334,0.49600088245685353,0.5039991175431465,0.7763513991985709,0.1130833081473615,0.09491125163958376,-3.9332578469231794,0.0,1.0,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.36666666666666664,1.0,0.0,ppo_baseline,63,1.3033308619997115,10.861090516664262,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,94.2383030272125,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.225,0.23333333333333334,0.4842423476248863,0.5157576523751136,0.7853191918934375,0.11685452699888503,0.0988522452375238,-4.905152009552276,0.0,1.0,0.625,0.625,0.625,0.4,1.0,0.0,ppo_baseline,64,0.887465785999666,7.395548216663883,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,94.839896342656,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.20833333333333334,0.23333333333333334,0.4886977942794546,0.5113022057205454,0.7903324695221333,0.11185941015009074,0.09082390015653889,-4.013018601625513,0.0,1.0,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.375,1.0,0.0,ppo_baseline,65,1.0624216719998003,8.85351393333167,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,95.4038047551387,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.225,0.23333333333333334,0.4900668891001526,0.5099331108998474,0.7950317062928225,0.0962452431534365,0.07697772945936225,-5.7476468032729695,0.0,1.0,0.6583333333333333,0.6583333333333333,0.6583333333333333,0.38333333333333336,1.0,0.0,ppo_baseline,66,0.763465738999912,6.362214491665934,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,193.4848853091832,0.15,0.15,0.15,0.13333333333333333,0.15,0.8774454862349707,0.12255451376502924,1.6123740442431933,0.10579390746884591,0.09380126599000087,-0.9252734150768878,0.075,0.925,0.30833333333333335,0.30833333333333335,0.30833333333333335,0.725,0.9,0.1,periodic,62,13.547700689000521,112.89750574167101,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,194.12837695555936,0.15,0.15,0.15,0.125,0.15,0.8488418244275664,0.15115817557243363,1.6177364746296614,0.18658876432377786,0.17564585470809693,-0.8499316319349011,0.11666666666666667,0.8833333333333333,0.375,0.375,0.375,0.6583333333333333,0.875,0.125,periodic,63,13.60843155800012,113.40359631666767,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,190.30629210799327,0.15,0.15,0.15,0.13333333333333333,0.15,0.8690770582157324,0.13092294178426758,1.5858857675666107,0.16643309081931454,0.15838065227001472,-0.8897618931276732,0.09166666666666666,0.9083333333333333,0.3,0.3,0.3,0.725,0.9,0.1,periodic,64,14.00170885999978,116.68090716666484,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,194.43991413375107,0.15,0.15,0.15,0.13333333333333333,0.15,0.8750974194529638,0.12490258054703607,1.620332617781259,0.12460830428916776,0.11580035381955815,-0.893835182969583,0.10833333333333334,0.8916666666666667,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.6416666666666667,0.8833333333333333,0.11666666666666667,periodic,65,13.077509960000498,108.97924966667081,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
120.0,190.9706332083984,0.15,0.15,0.15,0.13333333333333333,0.15,0.8696054870580526,0.1303945129419474,1.5914219434033199,0.17496241579974214,0.16283687026995822,-0.8735901753076514,0.08333333333333333,0.9166666666666666,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.7416666666666667,0.8916666666666667,0.10833333333333334,periodic,66,13.95861078499911,116.32175654165924,paper_base,/home/dkj/research/uav_dt_project/configs/paper_base.yaml
