avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
0.15,0.15,0.15,0.1333333333333333,0.15,0.8748451535225852,0.1251548464774148,1.6449364282900114,0.1131818482784801,0.0998830441473121,-1.845164947212858,0.0166666666666666,0.9833333333333332,1.0,0.725,0.8916666666666667,0.1083333333333333,periodic,62,20.81119539099996,173.42662825833298,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.175,0.175,0.6916666666666667,0.65,0.6916666666666667,0.9078608594931608,0.0921391405068392,1.5464904921363118,0.3181460016310808,0.3149725125185283,-1.072069005843632,0.0583333333333333,0.9416666666666668,0.5333333333333333,0.975,0.8916666666666667,0.1083333333333333,risk_adaptive_hybrid_rollout,62,324.20436735600015,2701.703061300001,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.175,0.175,0.7,0.6833333333333333,0.7,0.9164407154692672,0.0835592845307327,1.5720619148028736,0.2890306874010392,0.2846918937801102,-1.0350633557516924,0.0583333333333333,0.9416666666666668,0.5666666666666667,0.9416666666666668,0.9,0.1,rollout_joint,62,340.0535596059999,2833.7796633833327,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.2333333333333333,0.2333333333333333,0.25,0.2333333333333333,0.25,0.3633286911886875,0.6366713088113125,0.7219153747793724,1.6627898374308463,1.65288772185148,-9.000534779599347,0.05,0.95,0.85,0.9166666666666666,0.8916666666666667,0.1083333333333333,security_margin,62,21.83132991299999,181.9277492749999,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.0366203963784716,0.0366203963784716,0.125,0.125,0.125,0.7466479237217876,0.2533520762782125,1.521449922079788,0.3522852052391203,0.3511108985657783,-2.473813527254808,0.0166666666666666,0.9833333333333332,1.0,0.9166666666666666,0.9,0.1,security_risk,62,20.786614891,173.2217907583333,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.15,0.15,0.15,0.125,0.15,0.8624891118922356,0.1375108881077643,1.652303275068779,0.1425402187144946,0.1346612824649521,-1.905788239253268,0.025,0.975,1.0,0.7833333333333333,0.8666666666666667,0.1333333333333333,periodic,63,21.84157723899989,182.0131436583324,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.175,0.175,0.6666666666666666,0.6166666666666667,0.6666666666666666,0.9181775165388882,0.0818224834611117,1.5860530302500615,0.2132408166449922,0.2013802632674969,-1.1698337620888828,0.0416666666666666,0.9583333333333334,0.6,0.825,0.8916666666666667,0.1083333333333333,risk_adaptive_hybrid_rollout,63,263.55907408099984,2196.3256173416653,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.175,0.175,0.6833333333333333,0.6333333333333333,0.6833333333333333,0.9363136017723128,0.0636863982276871,1.6295521614460364,0.1572017687881191,0.1451634230471134,-1.1326724150207608,0.0416666666666666,0.9583333333333334,0.6583333333333333,0.8666666666666667,0.8916666666666667,0.1083333333333333,rollout_joint,63,323.1999748160001,2693.333123466668,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.2333333333333333,0.2333333333333333,0.25,0.2166666666666666,0.25,0.3540929452672585,0.6459070547327416,0.909148606168132,1.918432691318864,1.90231000390961,-8.719767434458488,0.0416666666666666,0.9583333333333334,0.8583333333333333,0.875,0.8916666666666667,0.1083333333333333,security_margin,63,22.13043992800021,184.42033273333516,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.0341958803779475,0.0341958803779475,0.1166666666666666,0.1083333333333333,0.1166666666666666,0.7260517699672585,0.2739482300327414,1.5563778049989792,0.4266972601885052,0.418680697380105,-2.4385251661671257,0.025,0.975,1.0,0.8916666666666667,0.875,0.125,security_risk,63,21.690033649999805,180.75028041666505,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.15,0.15,0.15,0.1333333333333333,0.15,0.8652131751024349,0.134786824897565,1.604230120043608,0.1821728873819488,0.1748200969579453,-1.8075452195181136,0.0083333333333333,0.9916666666666668,1.0,0.7916666666666666,0.8916666666666667,0.1083333333333333,periodic,64,17.633934295000017,146.94945245833347,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.1729166666666666,0.1729166666666666,0.6833333333333333,0.6416666666666667,0.6833333333333333,0.9148777270106446,0.0851222729893552,1.6248171083676952,0.1743301737559339,0.1639826396690577,-1.1728687946058294,0.0583333333333333,0.9416666666666668,0.65,0.8583333333333333,0.8916666666666667,0.1083333333333333,risk_adaptive_hybrid_rollout,64,263.99066214899995,2199.9221845749994,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.1729166666666666,0.1729166666666666,0.6833333333333333,0.6583333333333333,0.6833333333333333,0.9190308774041543,0.0809691225958455,1.599116755522272,0.2512658656986558,0.2410883375176405,-1.061631912807211,0.0583333333333333,0.9416666666666668,0.6166666666666667,0.925,0.8916666666666667,0.1083333333333333,rollout_joint,64,277.3316585050002,2311.097154208335,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.2333333333333333,0.2333333333333333,0.25,0.2416666666666666,0.25,0.3681157632070073,0.6318842367929929,0.738929849308999,1.647673227566028,1.6390190690593534,-9.030112185154278,0.05,0.95,0.825,0.925,0.8916666666666667,0.1083333333333333,security_margin,64,18.627191450999817,155.22659542499846,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.0352147650905111,0.0352147650905111,0.125,0.1166666666666666,0.125,0.7479539029144029,0.2520460970855971,1.5166734361764966,0.4069449732324777,0.4041091705207964,-2.3904056574746546,0.0,1.0,1.0,0.8583333333333333,0.8916666666666667,0.1083333333333333,security_risk,64,17.512632449000193,145.9386037416683,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.15,0.15,0.15,0.1333333333333333,0.15,0.8649617244243654,0.1350382755756345,1.6179898144095908,0.1780579927255725,0.1699160486460799,-1.802300139423888,0.0166666666666666,0.9833333333333332,1.0,0.7416666666666667,0.8833333333333333,0.1166666666666666,periodic,65,17.39134867499979,144.92790562499826,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.175,0.175,0.6583333333333333,0.6083333333333333,0.6583333333333333,0.9040001536904094,0.0959998463095905,1.5607021892995034,0.3510986367318613,0.3436623803054176,-1.0543072117657044,0.05,0.95,0.5416666666666666,0.9166666666666666,0.8916666666666667,0.1083333333333333,risk_adaptive_hybrid_rollout,65,264.1850925680001,2201.5424380666677,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.1791666666666666,0.1791666666666666,0.7083333333333334,0.6416666666666667,0.7083333333333334,0.9228776417635988,0.077122358236401,1.5845563908506866,0.2680304983850683,0.2622538952169959,-1.064420149611396,0.0416666666666666,0.9583333333333334,0.5916666666666667,0.9166666666666666,0.8916666666666667,0.1083333333333333,rollout_joint,65,272.83751626899993,2273.645968908333,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
0.2333333333333333,0.2333333333333333,0.2666666666666666,0.25,0.2666666666666666,0.3727879617100746,0.6272120382899253,0.7388736920178357,1.6555052590221762,1.647312735363908,-8.683807810793663,0.0416666666666666,0.9583333333333334,0.8166666666666667,0.9,0.8916666666666667,0.1083333333333333,security_margin,65,18.013863140000012,150.11552616666677,paper_base_holdoutfit,results/scheme_c_holdout_2026-04-24_rollout_vnext/configs/paper_base_holdoutfit.yaml
