scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs,periodic_avg_secrecy_rate_mean,periodic_outage_prob_mean,secrecy_gain_vs_periodic,outage_gain_vs_periodic
paper_base_holdoutfit,periodic,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.13541666666666663,0.007089135910194994,0.0031069508001984464,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.8738067704895289,0.013242482123633652,0.005803773682977041,0.126193229510471,0.013242482123633659,0.005803773682977045,1.631320716977514,0.024995980778382446,0.010954971588209284,0.14439777503333712,0.031837245769216406,0.01395328816824175,0.13485552843846838,0.03228876338926935,0.014151174490171302,-1.7929578044129646,0.08227417700130953,0.03605824790328447,0.01374999999999996,0.006209665169754959,0.002721505753668632,0.9862500000000003,0.006209665169755054,0.0027215057536686743,1.0,0.0,0.0,0.7558333333333335,0.04154367813497569,0.018207319715654757,0.8870833333333332,0.009549425138082199,0.004185220095940234,0.11291666666666664,0.009549425138082199,0.004185220095940234,19.08595799545002,1.800265465277683,0.7890011277496126,159.0496499620835,15.002212210647363,6.575009397913439,20,1.631320716977514,0.8870833333333332,0.0,0.0
paper_base_holdoutfit,risk_adaptive_hybrid_rollout,0.17447916666666663,0.0014923966654403814,0.0006540716770904659,0.17447916666666663,0.0014923966654403814,0.0006540716770904659,0.6754166666666667,0.011931517552730298,0.005229218127236828,0.6366666666666668,0.016312016164319775,0.007149056290724902,0.6754166666666667,0.011931517552730298,0.005229218127236828,0.9117054911794312,0.008556275475431542,0.0037499530650667344,0.08829450882056877,0.008556275475431559,0.0037499530650667422,1.5799379925027097,0.027830550562557226,0.012197276570188102,0.2716557862568964,0.0692270370285695,0.030340086692648184,0.26113820505549523,0.07074956221644632,0.031007362776887634,-1.1122646695558038,0.055016735679894825,0.024112147532555056,0.057499999999999954,0.009326752065621082,0.0040876293190910025,0.9425000000000001,0.009326752065621134,0.004087629319091025,0.5908333333333334,0.04858374334033005,0.021292764331234615,0.8837499999999998,0.05356276036805435,0.02347491475611823,0.8945833333333333,0.007777516704056066,0.0034086469850962576,0.10541666666666664,0.007777516704056064,0.0034086469850962567,272.07156165120006,25.293821735832736,11.08550614316841,2267.26301376,210.7818477986061,92.37921785973673,20,1.631320716977514,0.8870833333333332,-0.05138272447480419,-0.007500000000000062
paper_base_holdoutfit,rollout_joint,0.17572916666666666,0.0028895196539233487,0.0012663878242248777,0.17572916666666666,0.0028895196539233487,0.0012663878242248777,0.6966666666666665,0.011597539565640993,0.005082845820741262,0.6604166666666667,0.017908759985284472,0.007848860125085545,0.6966666666666665,0.011597539565640993,0.005082845820741262,0.9223530158108298,0.00733359650741915,0.003214090380788275,0.07764698418917,0.007333596507419152,0.0032140903807882757,1.594653515983623,0.021159402229632553,0.009273516902748925,0.24231513733466228,0.04815366621697083,0.021104274721288455,0.2339280476956415,0.050071992902167045,0.021945018460033966,-1.0777898800327121,0.035647284993493684,0.015623111481916963,0.05291666666666663,0.009472567348071106,0.0041515356842994535,0.9470833333333335,0.009472567348071082,0.004151535684299442,0.5937499999999999,0.056705030873069724,0.024852075524887995,0.9220833333333331,0.02877557342141065,0.012611451099314842,0.8970833333333333,0.007292449832628474,0.0031960570554597895,0.10291666666666666,0.007292449832628496,0.0031960570554597986,294.3383572499999,29.135662681393086,12.769267175719351,2452.81964375,242.79718901160905,106.41055979766126,20,1.631320716977514,0.8870833333333332,-0.03666720099389087,-0.01000000000000012
paper_base_holdoutfit,security_margin,0.23330587122440422,0.0001228142847418336,5.3825733500988e-05,0.23330587122440422,0.0001228142847418336,5.3825733500988e-05,0.2529166666666666,0.006772730840727066,0.002968280164422304,0.2379166666666667,0.011302266501466662,0.0049534366946312434,0.2529166666666666,0.006772730840727066,0.002968280164422304,0.3659811520503464,0.008665631246002852,0.003797880344665681,0.6340188479496536,0.008665631246002862,0.0037978803446656858,0.7672368875459542,0.07932724858648019,0.03476669958024919,1.7037598652339327,0.09793208176703255,0.04292062723379389,1.692414248928849,0.09720035234590892,0.04259993267534716,-8.864941561099398,0.3439991992070102,0.15076429635194386,0.047499999999999994,0.007204206048921825,0.0031573825120636573,0.9524999999999999,0.007204206048921848,0.0031573825120636678,0.8354166666666666,0.028340427388474622,0.012420739941797113,0.9133333333333334,0.02252354193994514,0.009871377490869825,0.8962499999999999,0.008322361197787089,0.0036474356128254667,0.10374999999999998,0.00832236119778712,0.00364743561282548,19.25665545910001,2.1988749096092315,0.9636994192933697,160.47212882583344,18.32395758007693,8.030828494111413,20,1.631320716977514,0.8870833333333332,-0.8640838294315597,-0.009166666666666656
paper_base_holdoutfit,security_risk,0.03694636594429952,0.0025594712020684416,0.0011217377124785144,0.03694636594429952,0.0025594712020684416,0.0011217377124785144,0.12541666666666665,0.007392010069358485,0.003239691253067907,0.1158333333333333,0.008065883679558223,0.0035350293843952703,0.12541666666666665,0.007392010069358485,0.003239691253067907,0.7352291878610322,0.00905314317268411,0.003967714934655318,0.2647708121389679,0.009053143172684104,0.003967714934655316,1.514732023543055,0.03163424131921439,0.013864317545253616,0.41019091859597684,0.049666689322017614,0.02176738633411329,0.4044752895060605,0.0485567930106182,0.021280952828461274,-2.469652503170911,0.031182811317596357,0.013666469623796267,0.01666666666666664,0.008111071056538131,0.003554833625539059,0.9833333333333334,0.008111071056538157,0.0035548336255390705,1.0,0.0,0.0,0.8508333333333333,0.04587518025842176,0.020105684221425932,0.8904166666666665,0.009850861570655157,0.004317330437349354,0.10958333333333332,0.009850861570655147,0.00431733043734935,19.021847715100023,1.9002575249429288,0.8328245801034666,158.51539762583351,15.835479374524404,6.940204834195554,20,1.631320716977514,0.8870833333333332,-0.11658869343445888,-0.0033333333333332993
paper_hard_holdoutfit,periodic,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.14857142857142852,0.006796094158482211,0.0029785195898916683,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.775778558682252,0.01349442757834403,0.005914193646994524,0.22422144131774807,0.013494427578344053,0.005914193646994533,1.2951470419270046,0.026696446202163774,0.01170023341927804,0.510891279856249,0.0847675950811802,0.037151036558576364,0.5017890276334717,0.08363445110753139,0.036654414315715256,-2.6043109586189206,0.08739462344941298,0.03830238250457338,0.0021428571428571304,0.0033583024712973172,0.0014718409525059622,0.997857142857143,0.003358302471297378,0.0014718409525059887,1.0,0.0,0.0,0.7764285714285715,0.040346245784114526,0.0176825218491981,0.9474999999999998,0.010434955302202745,0.004573320801987851,0.05249999999999998,0.01043495530220272,0.0045733208019878395,22.187633028500024,2.2439691234675156,0.9834628298988607,158.48309306071445,16.02835088191083,7.024734499277578,20,1.2951470419270046,0.9474999999999998,0.0,0.0
paper_hard_holdoutfit,risk_adaptive_hybrid_rollout,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.6121428571428571,0.012923803798367174,0.005664106748919721,0.5700000000000001,0.018481563955192237,0.008099902533526665,0.6121428571428571,0.012923803798367174,0.005664106748919721,0.8935687884279165,0.03092817436018667,0.013554870056711318,0.10643121157208338,0.030928174360186703,0.013554870056711332,1.366147989482298,0.042902889838560034,0.01880302050960022,0.321958578899697,0.07809631371165611,0.03422721858527675,0.31651976364480006,0.07835360828450172,0.034339982903681156,-1.612095607652225,0.21834440753308965,0.09569365579917749,0.024285714285714247,0.007824607964359524,0.0034292856398964525,0.9757142857142856,0.007824607964359449,0.00342928563989642,0.6967857142857143,0.05896871496641714,0.025844178821300717,0.939642857142857,0.026973651463132756,0.011821723981498493,0.9557142857142857,0.010770529070357927,0.004720392490371756,0.04428571428571426,0.010770529070357897,0.004720392490371743,284.02804198670003,32.410934127748874,14.204718177087209,2028.7717284764283,231.5066723410634,101.46227269348006,20,1.2951470419270046,0.9474999999999998,0.07100094755529351,-0.008214285714285952
paper_hard_holdoutfit,rollout_joint,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.15714285714285708,2.8476619731297836e-17,1.2480428867764374e-17,0.6210714285714286,0.006746523152773793,0.0029567941387501663,0.5810714285714285,0.015420180118507619,0.006758191910173664,0.6210714285714286,0.006746523152773793,0.0029567941387501663,0.9139568129969101,0.017820720957533127,0.007810275319943446,0.0860431870030898,0.01782072095753313,0.007810275319943448,1.3990975839069466,0.03787834423481674,0.016600916306500745,0.26716108941976363,0.07870046794180305,0.03449200085106725,0.2626803251035087,0.07939063004302722,0.0347944777283382,-1.5019011129872422,0.0596567722232155,0.026145733209828895,0.02642857142857139,0.010894474796684617,0.00477471410001082,0.9735714285714284,0.010894474796684556,0.004774714100010794,0.7025,0.06899131314112399,0.030236776143943444,0.9507142857142858,0.029487203436196655,0.012923336704541417,0.9546428571428571,0.009906924527737261,0.004341901111628181,0.04535714285714284,0.00990692452773722,0.004341901111628163,300.4318256200499,27.59795614017748,12.095337570020932,2145.9416115717854,197.12825814412489,86.39526835729238,20,1.2951470419270046,0.9474999999999998,0.10395054197994202,-0.0071428571428573395
paper_hard_holdoutfit,security_margin,0.15703511247939766,0.0003377931550025167,0.00014804437755627109,0.15703511247939766,0.0003377931550025167,0.00014804437755627109,0.17499999999999993,0.011234250223672157,0.004923627246569139,0.16464285714285706,0.01817018840048528,0.007963436179782797,0.17499999999999993,0.011234250223672157,0.004923627246569139,0.30395751992026854,0.01313282137848653,0.0057557127423770406,0.6960424800797316,0.013132821378486528,0.00575571274237704,0.5260791610060993,0.04301851759690376,0.018853696609037747,1.5487926652522008,0.07258982819267544,0.03181389490151518,1.5307556705377983,0.07419036224074486,0.03251535987614527,-15.170874759566042,0.5985288308864615,0.2623168258616983,0.017857142857142787,0.007509392614826382,0.00329113642187139,0.9821428571428573,0.0075093926148264096,0.0032911364218714025,0.9060714285714286,0.043926202638009705,0.019251507118035978,0.9346428571428571,0.027152254012497417,0.011899999999999985,0.9553571428571429,0.010068241910407612,0.004412601571814418,0.04464285714285711,0.01006824191040757,0.0044126015718144,22.41015528654999,2.2658555750224125,0.9930549902176098,160.07253776107137,16.18468267873152,7.093249930125785,20,1.2951470419270046,0.9474999999999998,-0.7690678809209053,-0.007857142857143118
paper_hard_holdoutfit,security_risk,0.03770247647376185,0.0017799476932481256,0.0007800964715453634,0.03770247647376185,0.0017799476932481256,0.0007800964715453634,0.12571428571428567,0.0048611217669908575,0.002130480548707508,0.11642857142857137,0.009298718482325066,0.004075343059502055,0.12571428571428567,0.0048611217669908575,0.002130480548707508,0.7284804236591346,0.01323926272387343,0.005802362718821763,0.27151957634086527,0.01323926272387341,0.005802362718821755,1.2769792404901732,0.034375436260470925,0.015065699197986332,0.48339145761431845,0.056252805430461475,0.02465387898604591,0.4784311904400263,0.056314642159846356,0.024680980127606434,-2.8298994745407167,0.038134013646128305,0.01671296836645891,0.00035714285714285503,0.0015971914124998403,0.0006999999999999958,0.9996428571428572,0.001597191412499869,0.0007000000000000083,0.9996428571428572,0.001597191412499869,0.0007000000000000083,0.8835714285714286,0.03590924232298039,0.015737919343520538,0.9432142857142857,0.007850304611411235,0.003440547692018336,0.05678571428571425,0.007850304611411181,0.0034405476920183124,22.3435597037,2.335268108621496,1.0234763743667454,159.59685502642856,16.68048649015354,7.310545531191038,20,1.2951470419270046,0.9474999999999998,-0.018167801436831388,0.004285714285714115
scenario_stress_holdoutfit,periodic,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.10874999999999999,0.0065393545472574605,0.0028659984941414485,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.6683449551644258,0.021781456029374913,0.009546144000798572,0.33165504483557423,0.021781456029374903,0.009546144000798569,0.9975160916040346,0.04431999920805806,0.019424096074423115,0.8407340103121393,0.1299406741853347,0.05694901138202985,0.8330163540423708,0.1297705211966485,0.056874438546771544,-3.948352929013754,0.11284850435813486,0.04945803767317828,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.83375,0.02783291311795406,0.012198312005743816,1.0,0.0,0.0,0.0,0.0,0.0,29.028804468900024,1.0594696178493181,0.4643330327789328,181.43002793062516,6.621685111558228,2.902081454868325,20,0.9975160916040346,1.0,0.0,0.0
scenario_stress_holdoutfit,risk_adaptive_hybrid_rollout,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.11874999999999998,1.4238309865648918e-17,6.240214433882187e-18,0.4749999999999999,5.695323946259567e-17,2.496085773552875e-17,0.43375,0.016647467011372537,0.007296074106560394,0.4749999999999999,5.695323946259567e-17,2.496085773552875e-17,0.5361860545044695,0.04142885596849942,0.018156996682420067,0.46381394549553034,0.04142885596849942,0.018156996682420067,0.8082889401124735,0.11460601726451988,0.05022830166586026,1.346111649514914,0.38100769901481374,0.16698398652978902,1.34249509376051,0.3808304193826067,0.16690629030529536,-7.326328860264266,0.32041123368734853,0.14042641465877845,0.0015625,0.003438247526376131,0.0015068784177197157,0.9984375,0.003438247526376118,0.00150687841771971,0.7375,0.08752349308674365,0.038358862113357574,0.9481250000000001,0.03289111822201759,0.014415168135281016,1.0,0.0,0.0,0.0,0.0,0.0,51.18763700260003,0.7958380748954292,0.34879141477155473,319.9227312662502,4.9739879680964325,2.1799463423222165,20,0.9975160916040346,1.0,-0.1892271514915611,0.0
scenario_stress_holdoutfit,rollout_joint,0.08625000000000002,0.001869509505050369,0.0008193486662234238,0.08625000000000002,0.001869509505050369,0.0008193486662234238,0.3450000000000001,0.007478038020201476,0.003277394664893695,0.3159375,0.007714850256076533,0.0033811822033284825,0.3450000000000001,0.007478038020201476,0.003277394664893695,0.9151021387862569,0.0020314676506220696,0.000890329953133017,0.08489786121374296,0.0020314676506220275,0.0008903299531329987,1.2670458699950597,0.00968030195003166,0.004242579387786934,0.13003394851087433,0.008145703753232815,0.0035700120740935343,0.12407692916296002,0.008754967829552622,0.0038370338287098773,-2.09629830721938,0.014772187426171798,0.006474196591212408,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8953125,0.01731041574951487,0.007586624201600851,1.0,0.0,0.0,0.0,0.0,0.0,71.24430907280001,0.8950468211294472,0.39227156487774567,445.27693170500004,5.594042632059035,2.451697280485906,20,0.9975160916040346,1.0,0.2695297783910251,0.0
scenario_stress_holdoutfit,security_margin,0.11862350589467112,0.0003539960176226604,0.00015514559519702248,0.11862350589467112,0.0003539960176226604,0.00015514559519702248,0.1278125,0.009613201928378988,0.004213171506684346,0.11624999999999999,0.012728180504194948,0.00557837106010442,0.1278125,0.009613201928378988,0.004213171506684346,0.2572109317933613,0.008434435854167274,0.003696554496668787,0.7427890682066385,0.00843443585416728,0.00369655449666879,0.32281626946359515,0.01721932071616875,0.007546700042953842,1.7217567398118212,0.018137715272503227,0.007949204203947255,1.7054516860156774,0.01897519485567661,0.008316245814385052,-21.441430403775254,0.6767096052777932,0.29658106097192644,0.0028125,0.005159862171761854,0.002261409303835483,0.9971875000000001,0.005159862171761835,0.0022614093038354753,0.9268750000000001,0.03135508646724516,0.013741972537104206,0.965625,0.01830615010260069,0.008023024023003058,1.0,0.0,0.0,0.0,0.0,0.0,28.947040220800023,0.3871465373973951,0.169674451075351,180.91900138000014,2.4196658587337176,1.0604653192209432,20,0.9975160916040346,1.0,-0.6746998221404394,0.0
scenario_stress_holdoutfit,security_risk,0.039080634713079355,0.0031045574360805375,0.0013606322875571936,0.039080634713079355,0.0031045574360805375,0.0013606322875571936,0.13000000000000003,0.007748089747598573,0.003395750052794321,0.12062499999999998,0.006755845422182263,0.00296087980345814,0.13000000000000003,0.007748089747598573,0.003395750052794321,0.7170220968270044,0.01761549024959373,0.007720328996394957,0.28297790317299565,0.01761549024959374,0.007720328996394961,0.9800575871893058,0.07140487473238098,0.03129456614998635,0.6721267261080441,0.12827683580837332,0.05621980206199598,0.667903776057823,0.12848871183443883,0.05631266082462463,-2.991218567902737,0.04674871914307167,0.020488529517530975,0.0,0.0,0.0,1.0,0.0,0.0,0.999375,0.0027950849718747276,0.0012249999999999958,0.8975000000000002,0.028489956679134277,0.012486274042871408,1.0,0.0,0.0,0.0,0.0,0.0,28.958206949800037,0.41740177695060143,0.18293439444938692,180.9887934362502,2.6087611059412645,1.1433399653086707,20,0.9975160916040346,1.0,-0.017458504414728848,0.0
