scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
paper_base_holdoutfit,periodic,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.13541666666666666,0.0070891359101950034,0.0031069508001984507,0.14999999999999997,2.8476619731297836e-17,1.2480428867764374e-17,0.8749224245827252,0.0139979238434096,0.0061348606145148815,0.12507757541727493,0.013997923843409577,0.006134860614514871,1.631506500063995,0.022905836336262,0.010038925397355847,0.1410087627910575,0.03168010236629946,0.013884417035338716,0.13163923395846444,0.0323616798120773,0.01418313152147394,-1.7016026547833274,0.07040721313638917,0.03085732167713934,0.01666666666666667,0.006045635417583431,0.002649616545135788,0.9833333333333336,0.006045635417583449,0.002649616545135796,1.0,0.0,0.0,0.7570833333333333,0.04395264264320905,0.019263094961230406,0.8879166666666665,0.008750522123102192,0.003835085411950967,0.11208333333333334,0.008750522123102174,0.0038350854119509597,12.23274808504998,0.6217933433865198,0.272512948018749,101.9395673754165,5.181611194887667,2.2709412334895758,20
paper_base_holdoutfit,risk_adaptive_hybrid_rollout,0.16479166666666667,0.0006412364700532191,0.00028103427399143717,0.16479166666666667,0.0006412364700532191,0.00028103427399143717,0.6591666666666667,0.0025649458802128764,0.0011241370959657487,0.6183333333333334,0.013944333775567929,0.006111373731730771,0.6591666666666667,0.0025649458802128764,0.0011241370959657487,0.9011418969975145,0.01173329231620367,0.005142342086905843,0.09885810300248557,0.011733292316203674,0.005142342086905845,1.5680374767399168,0.039329887361693176,0.017237083130878537,0.2850840392194307,0.07178550747693654,0.03146138580547891,0.2743585307656622,0.07299171930277962,0.03199003144649736,-1.1372606287684608,0.051903273132814114,0.02274761240802332,0.051250000000000004,0.006772730840727076,0.002968280164422308,0.9487499999999999,0.006772730840727083,0.002968280164422311,0.5520833333333333,0.048956583582020825,0.021456168771767547,0.8754166666666666,0.03808990211689778,0.016693635636380526,0.8975,0.00769483764063865,0.0033724112878972556,0.10250000000000001,0.007694837640638658,0.003372411287897259,19.818851760200005,0.8089713209711265,0.354547313645691,165.15709800166667,6.741427674759386,2.9545609470474243,20
paper_base_holdoutfit,rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20466740371691045,0.0015748417227196125,0.0006902048165775699,0.7953325962830895,0.0015748417227195895,0.0006902048165775598,0.9928279143535905,0.014066071476929563,0.006164727631761931,1.747283720813258,0.011583359154112856,0.005076630981372598,1.7419743006788582,0.01409225444420017,0.006176202823117199,-16.15345925237281,0.05405099327295487,0.023688892261103343,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8799999999999999,0.038274172501855025,0.0167743956933534,0.8870833333333332,0.007870943678236127,0.0034495931618752093,0.11291666666666667,0.007870943678236103,0.003449593161875199,19.31858996299993,0.7786270591028471,0.34124835452184366,160.9882496916661,6.488558825857063,2.843736287682032,20
paper_base_holdoutfit,security_margin,0.23305669643269483,0.0005673808489536946,0.0002486656208888323,0.23305669643269483,0.0005673808489536946,0.0002486656208888323,0.2525,0.007204206048921813,0.0031573825120636526,0.2370833333333333,0.012234012123239824,0.005361792218043673,0.2525,0.007204206048921813,0.0031573825120636526,0.3670590481803414,0.008914207395143548,0.003906823645410172,0.6329409518196585,0.008914207395143548,0.003906823645410172,0.7990673458083257,0.1104070961457171,0.048388043347314974,1.7217112885316344,0.09963537733923221,0.0436671294320956,1.7111804925206442,0.09877612217714683,0.04329054425341727,-7.375129673535359,0.2888443140180501,0.12659160212749646,0.04958333333333334,0.008750522123102174,0.0038350854119509597,0.9504166666666665,0.008750522123102187,0.0038350854119509645,0.8125,0.023801690440728312,0.010431550769755583,0.9141666666666668,0.024941451910260006,0.010931073258061138,0.8962499999999999,0.008322361197787122,0.003647435612825481,0.10375000000000001,0.008322361197787127,0.003647435612825483,12.025456300450013,0.6331789024168794,0.2775028892736782,100.21213583708342,5.276490853473993,2.312524077280651,20
paper_base_holdoutfit,security_risk,0.03745843864879124,0.002965352232665012,0.0012996229172160688,0.03745843864879124,0.002965352232665012,0.0012996229172160688,0.12708333333333333,0.00849621518763619,0.003723630483360047,0.11291666666666667,0.006879816229015803,0.003015212405113977,0.12708333333333333,0.00849621518763619,0.003723630483360047,0.7316022074912713,0.010848292665476808,0.004754473888604432,0.26839779250872864,0.01084829266547678,0.004754473888604419,1.5096343846851006,0.058699178012771074,0.025726049042943757,0.42285348566083236,0.08107350172573886,0.03553202876240893,0.4176131162826812,0.07947138054458291,0.03482986819603456,-2.2957678162336874,0.02509363099516707,0.010997768682667896,0.022500000000000006,0.006105792475542055,0.0026759815382364762,0.9775000000000003,0.006105792475542073,0.002675981538236484,0.9995833333333334,0.001863389981249818,0.0008166666666666637,0.8570833333333333,0.042343191972650684,0.018557722104493385,0.8875,0.008333333333333352,0.0036522443632496645,0.1125,0.008333333333333331,0.0036522443632496554,12.1463697575502,0.5359745248606801,0.23490119247213978,101.21974797958504,4.4664543738389995,1.957509937267831,20
paper_hard_holdoutfit,periodic,0.1571428571428571,2.8476619731297836e-17,1.2480428867764374e-17,0.1571428571428571,2.8476619731297836e-17,1.2480428867764374e-17,0.1571428571428571,2.8476619731297836e-17,1.2480428867764374e-17,0.14857142857142855,0.006796094158482208,0.0029785195898916674,0.1571428571428571,2.8476619731297836e-17,1.2480428867764374e-17,0.7766591669182524,0.017702196941086934,0.007758329879426407,0.22334083308174768,0.01770219694108692,0.007758329879426401,1.2948008153509516,0.02175580002482692,0.009534899761039302,0.5069229002448387,0.10503460451765757,0.04603344507549261,0.49779692786099483,0.10422929213599065,0.045680501362700826,-2.4268213229854245,0.08623567758170977,0.03779445208305771,0.003214285714285714,0.0036458413252431457,0.0015978604115306323,0.9967857142857144,0.003645841325243133,0.0015978604115306268,1.0,0.0,0.0,0.7739285714285715,0.041731778699013775,0.018289758422622617,0.9482142857142856,0.010068241910407576,0.004412601571814402,0.05178571428571429,0.010068241910407576,0.004412601571814402,14.249301896500219,0.9119181038382032,0.39966573053860704,101.78072783214444,6.513700741701449,2.854755218132907,20
paper_hard_holdoutfit,risk_adaptive_hybrid_rollout,0.13098214285714288,0.0008738580088028413,0.0003829851584316895,0.13098214285714288,0.0008738580088028413,0.0003829851584316895,0.5239285714285715,0.003495432035211365,0.001531940633726758,0.49321428571428577,0.010227015045197388,0.004482186966202991,0.5239285714285715,0.003495432035211365,0.001531940633726758,0.9080406474006502,0.013796279785378247,0.006046486209595545,0.09195935259934965,0.013796279785378247,0.006046486209595545,1.390050512151454,0.0304356256437206,0.01333900106391063,0.25426438494689035,0.07010007166079686,0.03072271099038508,0.24598615670841725,0.07233206170572333,0.031700923757634523,-1.5429040828156277,0.03494020700703393,0.015313220891065895,0.02357142857142857,0.0065955751205474195,0.002890638246769078,0.9764285714285714,0.006595575120547436,0.0028906382467690853,0.6821428571428572,0.050214363255162105,0.022007415018340373,0.9328571428571427,0.019854465119393892,0.00870160299811719,0.9560714285714285,0.010174365969367606,0.0044591124913514356,0.043928571428571435,0.010174365969367582,0.004459112491351425,22.49112970419974,0.6904722210664376,0.30261279328444407,160.65092645856956,4.931944436188834,2.1615199520317407,20
paper_hard_holdoutfit,rollout_joint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20514760860772724,0.001955388775336638,0.0008569869159221862,0.7948523913922728,0.001955388775336666,0.0008569869159221984,0.7871647284077165,0.01186574541654569,0.005200392217600133,1.7801827505654688,0.008970458761858147,0.003931476893851188,1.7717498444060673,0.01188502171125863,0.005208840426245293,-19.705552653350985,0.06746962484361736,0.029569866843080456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8792857142857144,0.0258995000553086,0.0113509563705582,0.945,0.006175033756218675,0.002706327867483121,0.05500000000000001,0.006175033756218693,0.002706327867483129,22.25667611179988,1.081272530109945,0.4738885803876889,158.97625794142772,7.723375215071036,3.384918431340635,20
paper_hard_holdoutfit,security_margin,0.15704821146594722,0.0002745876152399537,0.00012034332839739433,0.15704821146594722,0.0002745876152399537,0.00012034332839739433,0.17107142857142854,0.007133452455246109,0.003126373382421843,0.15785714285714283,0.013493046305547615,0.005913588277500345,0.17107142857142854,0.007133452455246109,0.003126373382421843,0.3070798552891564,0.008776161275827744,0.0038463222660734147,0.6929201447108435,0.00877616127582778,0.0038463222660734308,0.566786612199191,0.12263702377538427,0.053748045457123354,1.590890051458544,0.09214480617196874,0.040384241873316594,1.5721890174807693,0.0907617529354901,0.0397780920668762,-12.559275568777375,0.39318749443910816,0.1723220172318586,0.019285714285714288,0.007720966196779731,0.003383862632523589,0.9807142857142856,0.0077209661967797515,0.003383862632523598,0.9046428571428573,0.035997001307260725,0.01577638141420002,0.9282142857142859,0.02435803032361139,0.010675377473912867,0.9557142857142857,0.009994627987793912,0.004380338847743708,0.04428571428571429,0.0099946279877939,0.0043803388477437035,14.22270011440014,0.8377714095230668,0.3671695089746808,101.59071510285814,5.984081496593334,2.6226393498191487,20
paper_hard_holdoutfit,security_risk,0.036206688599303066,0.0025237608471908126,0.0011060869594011389,0.036206688599303066,0.0025237608471908126,0.0011060869594011389,0.12142857142857141,0.008355680740937165,0.0036620385464641763,0.11500000000000002,0.010594569267279516,0.0046432747064975586,0.12142857142857141,0.008355680740937165,0.0036620385464641763,0.7226940312109636,0.020682696415807306,0.009064591368172331,0.27730596878903635,0.02068269641580732,0.009064591368172338,1.243460003926423,0.08283486271207544,0.036303979250488394,0.5430776172322388,0.15076433083753038,0.06607538129765719,0.537557691761905,0.1498199299612162,0.06566147936439723,-2.6300093093939063,0.02991491288889126,0.013110788637066911,0.0007142857142857143,0.0021985250401824726,0.0009635460822563591,0.9992857142857143,0.002198525040182465,0.0009635460822563559,0.9910714285714285,0.023390740591845663,0.01025144405745639,0.875,0.04109798095610172,0.018011984314543705,0.9432142857142857,0.00818522154692758,0.0035873315108059067,0.05678571428571429,0.008185221546927596,0.0035873315108059137,14.134822084650114,0.6266069032346613,0.27462258363745373,100.96301489035794,4.475763594533295,1.9615898831246694,20
