avg_sync_cost,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
0.11875,0.1125,0.11875,0.81719551892065,0.18280448107935,2.4483824789560926,0.003731983083930253,-0.0017412169173738445,-0.4944784154770936,0.0,1.0,0.90625,0.23125,0.4875,0.5125,periodic,62,1.2469065220002449,7.7931657625015305,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.443589044125961,0.0029154061380250716,0.0009449221806880889,-2.0166396584800452,0.0,1.0,0.99375,0.1625,0.4625,0.5375,security_margin,62,1.2785585800002082,7.990991125001301,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.444555126692658,0.00295389151736736,0.0010262499550531198,-2.0147254783952038,0.0,1.0,0.99375,0.15625,0.4625,0.5375,rollout_joint,62,19.09517936999964,119.34487106249776,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.444555126692658,0.00295389151736736,0.0010262499550531198,-2.0147254783952038,0.0,1.0,0.99375,0.15625,0.4625,0.5375,risk_adaptive_hybrid_rollout,62,19.425486205000198,121.40928878125123,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8170135534922197,0.18298644650778034,2.4890078114816405,0.0033008132230819666,-0.0021186699928734147,-0.459019764058011,0.0,1.0,0.8875,0.2375,0.50625,0.49375,periodic,63,1.235853035999753,7.7240814749984565,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.489540831527171,0.00043841240440461863,-0.0053133126766653285,-1.9808658532848824,0.0,1.0,1.0,0.06875,0.4875,0.5125,security_margin,63,1.2437203740000768,7.77325233750048,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.4907587788125904,0.0004474943055052569,-0.005441978423615433,-1.9784361139226116,0.0,1.0,1.0,0.06875,0.4875,0.5125,rollout_joint,63,19.211107017999893,120.06941886249933,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.4907587788125904,0.0004474943055052569,-0.005441978423615433,-1.9784361139226116,0.0,1.0,1.0,0.06875,0.4875,0.5125,risk_adaptive_hybrid_rollout,63,19.33195435700054,120.82471473125338,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8172692651265117,0.1827307348734884,2.459875259464817,0.0015762409148832811,-0.0044812415275736605,-0.48719736943108405,0.0,1.0,0.9375,0.2,0.48125,0.51875,periodic,64,1.2342118910000863,7.7138243187505395,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5552812372680138,0.44471876273198624,2.464104152367177,0.004253803985530767,-0.002475944423571105,-2.000469226249464,0.0,1.0,0.9875,0.15,0.46875,0.53125,security_margin,64,1.2205793800003448,7.628621125002155,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5552812372680138,0.44471876273198624,2.4644009897368995,0.0047305882696135615,-0.0017543544174252342,-1.998410930277137,0.0,1.0,0.9875,0.15625,0.46875,0.53125,rollout_joint,64,19.285857754000062,120.53661096250039,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5552812372680138,0.44471876273198624,2.4644009897368995,0.0047305882696135615,-0.0017543544174252342,-1.998410930277137,0.0,1.0,0.9875,0.15625,0.46875,0.53125,risk_adaptive_hybrid_rollout,64,19.24078829700011,120.25492685625068,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.816891501223109,0.18310849877689092,2.4653706392780044,0.001332158569904704,-0.0071791048100998,-0.48585335169032884,0.0,1.0,0.95,0.15625,0.50625,0.49375,periodic,65,1.249036520000118,7.806478250000737,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5554531727830538,0.44454682721694627,2.450628179849715,0.009136598505717207,0.00485395416461894,-2.006064604943269,0.0,1.0,0.95625,0.26875,0.4875,0.5125,security_margin,65,1.2196124649999547,7.622577906249717,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5554531727830538,0.44454682721694627,2.4512834071448095,0.009538912097686396,0.005410317188923967,-2.004182925619692,0.0,1.0,0.95625,0.275,0.4875,0.5125,rollout_joint,65,19.23611534199972,120.22572088749826,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.5554531727830538,0.44454682721694627,2.4512834071448095,0.009538912097686396,0.005410317188923967,-2.004182925619692,0.0,1.0,0.95625,0.275,0.4875,0.5125,risk_adaptive_hybrid_rollout,65,19.5667176019997,122.29198501249812,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.8221092671343374,0.1778907328656627,2.454367650841457,0.003536944950757924,0.0013027830521925895,-0.48561800974164016,0.0,1.0,0.875,0.1875,0.4625,0.5375,periodic,66,1.2307181039996067,7.691988149997542,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.556185000391974,0.44381499960802595,2.46140863794871,0.004675866629114009,-0.0009897163394558552,-2.001114750860058,0.0,1.0,0.98125,0.175,0.4625,0.5375,security_margin,66,1.215658395999526,7.597864974997037,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.556185000391974,0.44381499960802595,2.4632084359329953,0.004618648652773662,-0.0015886110136765566,-1.9992136033455026,0.0,1.0,0.98125,0.16875,0.4625,0.5375,rollout_joint,66,19.156415991999893,119.72759994999933,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.556185000391974,0.44381499960802595,2.4632084359329953,0.004618648652773662,-0.0015886110136765566,-1.9992136033455026,0.0,1.0,0.98125,0.16875,0.4625,0.5375,risk_adaptive_hybrid_rollout,66,19.399475483999595,121.24672177499747,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.8223037349238653,0.17769626507613456,2.4467057019067164,0.005288390590137649,0.003019489653100367,-0.4904479429055161,0.0,1.0,0.88125,0.23125,0.45625,0.54375,periodic,67,1.2481097099998806,7.800685687499254,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5562122483071013,0.4437877516928987,2.4513045529339546,0.008922572227197298,0.006814813623894617,-2.003245958304075,0.0,1.0,0.93125,0.24375,0.475,0.525,security_margin,67,1.225711912999941,7.660699456249631,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5562122483071013,0.4437877516928987,2.45289747256877,0.00872475506978798,0.006365773939790251,-2.001361110674729,0.0,1.0,0.93125,0.2375,0.475,0.525,rollout_joint,67,19.31930676200045,120.74566726250282,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5562122483071013,0.4437877516928987,2.45289747256877,0.00872475506978798,0.006365773939790251,-2.001361110674729,0.0,1.0,0.93125,0.2375,0.475,0.525,risk_adaptive_hybrid_rollout,67,19.491277596000145,121.82048497500091,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.8225150489967443,0.17748495100325554,2.468082205221508,0.0017591577139648789,-0.0010084752325657802,-0.47566658223738756,0.0,1.0,0.9625,0.175,0.4625,0.5375,periodic,68,1.215825756000413,7.598910975002582,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.5577400892989915,0.44225991070100845,2.4663500732919634,0.005375051239815817,0.003519328264919347,-1.9932139748829805,0.0,1.0,0.99375,0.24375,0.48125,0.51875,security_margin,68,1.2328449930000716,7.705281206250447,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.5577400892989915,0.44225991070100845,2.46718949727376,0.005691370299520928,0.003871868940224539,-1.991082668636287,0.0,1.0,0.99375,0.24375,0.48125,0.51875,rollout_joint,68,19.32608912700016,120.788057043751,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.5577400892989915,0.44225991070100845,2.46718949727376,0.005691370299520928,0.003871868940224539,-1.991082668636287,0.0,1.0,0.99375,0.24375,0.48125,0.51875,risk_adaptive_hybrid_rollout,68,19.349875492999672,120.93672183124795,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.8123414108269376,0.1876585891730625,2.479625335691436,0.0023477904800718887,-0.0016014986542364274,-0.4675336315314242,0.0,1.0,0.925,0.1375,0.45625,0.54375,periodic,69,1.2131273260001763,7.582045787501102,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5557771555234794,0.4442228444765206,2.473250744701893,0.004858093666589579,-0.004236160618683897,-1.9939831184834707,0.0,1.0,1.0,0.175,0.48125,0.51875,security_margin,69,1.2365442199998142,7.728401374998839,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5557771555234794,0.4442228444765206,2.4738737079235804,0.0051808866296392045,-0.0037569854073225993,-1.9924451234595117,0.0,1.0,1.0,0.18125,0.48125,0.51875,rollout_joint,69,19.3127277399999,120.70454837499938,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5557771555234794,0.4442228444765206,2.4738737079235804,0.0051808866296392045,-0.0037569854073225993,-1.9924451234595117,0.0,1.0,1.0,0.18125,0.48125,0.51875,risk_adaptive_hybrid_rollout,69,19.387046859000293,121.16904286875183,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.8069405633515562,0.19305943664844383,2.4576818387260415,0.005837494129706243,0.002934008623030533,-0.4845158222600651,0.0,1.0,0.86875,0.29375,0.49375,0.50625,periodic,70,1.2573959330002253,7.858724581251408,scenario_stress,configs/scenario_stress.yaml
0.11875,0.09375,0.11875,0.5555592368201561,0.44444076317984393,2.4570819905824797,0.00821620121462708,0.005404520031135264,-1.9997066676011463,0.0,1.0,0.94375,0.26875,0.48125,0.51875,security_margin,70,1.2171532410002328,7.607207756251455,scenario_stress,configs/scenario_stress.yaml
0.11875,0.09375,0.11875,0.5555592368201561,0.44444076317984393,2.45791209468004,0.008463358239236617,0.005721744863950616,-1.998032675188232,0.0,1.0,0.94375,0.275,0.48125,0.51875,rollout_joint,70,19.241138038999452,120.25711274374657,scenario_stress,configs/scenario_stress.yaml
0.11875,0.09375,0.11875,0.5555592368201561,0.44444076317984393,2.45791209468004,0.008463358239236617,0.005721744863950616,-1.998032675188232,0.0,1.0,0.94375,0.275,0.48125,0.51875,risk_adaptive_hybrid_rollout,70,19.269529563000106,120.43455976875066,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.8025727794872225,0.1974272205127776,2.4655414209766064,0.0013166586568209154,-0.0017878498609139024,-0.4828414419222648,0.0,1.0,0.95625,0.1375,0.46875,0.53125,periodic,71,1.227730264999991,7.673314156249944,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5562068581620272,0.4437931418379728,2.4534513503223265,0.012232472962585107,0.008905145471957542,-1.9996450606822698,0.0,1.0,0.90625,0.2125,0.4625,0.5375,security_margin,71,1.2018530639998062,7.511581649998789,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5562068581620272,0.4437931418379728,2.455029807372404,0.011931033876803861,0.00838955643006069,-1.9980185503406063,0.0,1.0,0.90625,0.20625,0.4625,0.5375,rollout_joint,71,19.393454574000316,121.20909108750197,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.5562068581620272,0.4437931418379728,2.455029807372404,0.011931033876803861,0.00838955643006069,-1.9980185503406063,0.0,1.0,0.90625,0.20625,0.4625,0.5375,risk_adaptive_hybrid_rollout,71,19.31496847499966,120.71855296874787,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8174720958781251,0.1825279041218749,2.4747137308153215,0.001866931055592086,-0.0011920151283064159,-0.46947359895398355,0.0,1.0,0.9375,0.1375,0.46875,0.53125,periodic,72,1.2312644120002005,7.695402575001253,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5567081693559867,0.44329183064401345,2.4571849434865336,0.004717867196858764,0.0016568553451388787,-2.002501378326674,0.0,1.0,0.93125,0.2,0.46875,0.53125,security_margin,72,1.2458359029997155,7.786474393748222,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5567081693559867,0.44329183064401345,2.4589247324546584,0.004457922941274775,0.0010847079144918697,-2.0009057347220414,0.0,1.0,0.93125,0.19375,0.46875,0.53125,rollout_joint,72,19.239397563999773,120.24623477499858,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.5567081693559867,0.44329183064401345,2.4589247324546584,0.004457922941274775,0.0010847079144918697,-2.0009057347220414,0.0,1.0,0.93125,0.19375,0.46875,0.53125,risk_adaptive_hybrid_rollout,72,19.31378790800045,120.71117442500281,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1,0.11875,0.810233983597643,0.18976601640235696,2.451255749046388,0.007489231366220353,0.0052297893191578775,-0.4872283567537307,0.0,1.0,0.85,0.28125,0.4625,0.5375,periodic,73,1.2493701840003268,7.808563650002043,scenario_stress,configs/scenario_stress.yaml
