method,scan_value,avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob
aoi_only,2.0,0.21666666666666667,0.8375781137708209,0.16242188622917905,2.8809383594739892,0.10277777777777779,0.8972222222222223
aoi_only,4.0,0.20000000000000004,0.9391277501298384,0.060872249870161536,2.880117562212655,0.10277777777777779,0.8972222222222223
aoi_only,6.0,0.14166666666666666,0.9166559374179007,0.08334406258209924,2.8817400854154243,0.10000000000000002,0.9
aoi_only,8.0,0.10833333333333334,0.8945689698355714,0.1054310301644286,2.8817340690982824,0.10000000000000002,0.9
aoi_only,10.0,0.08333333333333333,0.8698566038085236,0.13014339619147644,2.882398856162009,0.10000000000000002,0.9
security_margin,0.02,0.21666666666666667,0.8898625798825274,0.11013742011747256,2.880604408027969,0.10277777777777779,0.8972222222222223
security_margin,0.05,0.21666666666666667,0.8732165749019235,0.1267834250980766,2.880547058087286,0.10277777777777779,0.8972222222222223
security_margin,0.1,0.21666666666666667,0.8546114477729003,0.14538855222709973,2.8815274313144497,0.10277777777777779,0.8972222222222223
security_margin,0.2,0.21666666666666667,0.8055283361739486,0.19447166382605138,2.8799793368481637,0.10277777777777779,0.8972222222222223
security_risk,0.35,0.05833333333333333,0.8212795636615904,0.1787204363384097,2.882343242601868,0.10000000000000002,0.9
security_risk,0.45,0.05000000000000001,0.7864405647955444,0.21355943520445556,2.881192998109802,0.10000000000000002,0.9
security_risk,0.55,0.041666666666666664,0.7448609332181464,0.25513906678185355,2.8823864066332825,0.10000000000000002,0.9
security_risk,0.65,0.03333333333333333,0.7028307441599386,0.2971692558400613,2.880668465372057,0.10000000000000002,0.9
