avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,scan_value
0.21666666666666667,0.8389155768450048,0.16108442315499516,2.8795285552371213,0.10833333333333334,0.8916666666666667,aoi_only,42,2.0
0.21666666666666667,0.8357964806395738,0.16420351936042626,2.887295154830778,0.1,0.9,aoi_only,43,2.0
0.21666666666666667,0.8380222838278842,0.16197771617211573,2.8759913683540694,0.1,0.9,aoi_only,44,2.0
0.2,0.9393456702880575,0.06065432971194253,2.8797176225901455,0.10833333333333334,0.8916666666666667,aoi_only,42,4.0
0.2,0.9391334357013175,0.06086656429868249,2.8829472849528677,0.1,0.9,aoi_only,43,4.0
0.2,0.9389041444001405,0.06109585559985957,2.8776877790949507,0.1,0.9,aoi_only,44,4.0
0.14166666666666666,0.916793064459144,0.08320693554085602,2.8842606958425443,0.1,0.9,aoi_only,42,6.0
0.14166666666666666,0.916785834346854,0.08321416565314585,2.8830725631793785,0.1,0.9,aoi_only,43,6.0
0.14166666666666666,0.9163889134477041,0.08361108655229582,2.8778869972243495,0.1,0.9,aoi_only,44,6.0
0.10833333333333334,0.894947029530092,0.10505297046990807,2.882478042258987,0.1,0.9,aoi_only,42,8.0
0.10833333333333334,0.8947455089590952,0.10525449104090479,2.8825472400093095,0.1,0.9,aoi_only,43,8.0
0.10833333333333334,0.894014371017527,0.10598562898247298,2.8801769250265514,0.1,0.9,aoi_only,44,8.0
0.08333333333333333,0.8708256254421658,0.12917437455783412,2.884205072333391,0.1,0.9,aoi_only,42,10.0
0.08333333333333333,0.8692672607525779,0.1307327392474222,2.8823630894946137,0.1,0.9,aoi_only,43,10.0
0.08333333333333333,0.869476925230827,0.13052307476917302,2.880628406658023,0.1,0.9,aoi_only,44,10.0
0.058333333333333334,0.8225478355921202,0.17745216440787992,2.8844653049894142,0.1,0.9,security_risk,42,0.35
0.058333333333333334,0.8206806995153424,0.1793193004846577,2.8829410777287885,0.1,0.9,security_risk,43,0.35
0.058333333333333334,0.8206101558773086,0.1793898441226914,2.879623345087402,0.1,0.9,security_risk,44,0.35
0.05,0.7875682946741538,0.21243170532584618,2.883153067752829,0.1,0.9,security_risk,42,0.45
0.05,0.7855501515181686,0.2144498484818314,2.881875023898294,0.1,0.9,security_risk,43,0.45
0.05,0.7862032481943108,0.2137967518056891,2.878550902678284,0.1,0.9,security_risk,44,0.45
0.041666666666666664,0.7456030105252685,0.25439698947473166,2.884681160578046,0.1,0.9,security_risk,42,0.55
0.041666666666666664,0.7447062485602742,0.2552937514397257,2.881460671402239,0.1,0.9,security_risk,43,0.55
0.041666666666666664,0.7442735405688966,0.2557264594311033,2.881017387919562,0.1,0.9,security_risk,44,0.55
0.03333333333333333,0.7041244298201372,0.29587557017986266,2.8839207838210466,0.1,0.9,security_risk,42,0.65
0.03333333333333333,0.7019657224040378,0.29803427759596235,2.8781254874697084,0.1,0.9,security_risk,43,0.65
0.03333333333333333,0.702402080255641,0.2975979197443589,2.8799591248254157,0.1,0.9,security_risk,44,0.65
0.21666666666666667,0.8845344947298283,0.11546550527017185,2.880882728359623,0.10833333333333334,0.8916666666666667,security_margin,42,0.02
0.21666666666666667,0.889243720121658,0.11075627987834195,2.8827423523627362,0.1,0.9,security_margin,43,0.02
0.21666666666666667,0.8958095247960961,0.10419047520390384,2.8781881433615477,0.1,0.9,security_margin,44,0.02
0.21666666666666667,0.8682509342230269,0.1317490657769731,2.8803610991832302,0.10833333333333334,0.8916666666666667,security_margin,42,0.05
0.21666666666666667,0.8740201727815641,0.125979827218436,2.8843651618936397,0.1,0.9,security_margin,43,0.05
0.21666666666666667,0.8773786177011793,0.12262138229882069,2.8769149131849883,0.1,0.9,security_margin,44,0.05
0.21666666666666667,0.8437929199783019,0.15620708002169817,2.8821022368691502,0.10833333333333334,0.8916666666666667,security_margin,42,0.1
0.21666666666666667,0.8586107276277083,0.14138927237229168,2.8841983880152773,0.1,0.9,security_margin,43,0.1
0.21666666666666667,0.8614306957126907,0.13856930428730935,2.8782816690589215,0.1,0.9,security_margin,44,0.1
0.21666666666666667,0.8038054656209693,0.19619453437903073,2.879370235868718,0.10833333333333334,0.8916666666666667,security_margin,42,0.2
0.21666666666666667,0.8058954366661178,0.1941045633338821,2.8863933092958733,0.1,0.9,security_margin,43,0.2
0.21666666666666667,0.8068841062347587,0.19311589376524124,2.8741744653798986,0.1,0.9,security_margin,44,0.2
