scenario,method,num_runs,episode_length_mean,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,outage_prob_mean,outage_prob_ci95,avg_sync_cost_mean,certificate_in_policy_cover_rate_mean,certificate_empirical_cover_rate_mean,certificate_margin_cover_rate_mean,runtime_per_slot_ms_mean,secrecy_gain_vs_periodic,secrecy_gain_vs_fixed_rollout,oracle_secrecy_gap
scenario_stress,oracle_sync,3,160.0,1.3149801330159998,0.014591811914478114,1.3003883211015217,1.328453972666329,0.027083333333333334,0.008333333333333335,0.08125,0.7729166666666667,0.7729166666666667,0.7729166666666667,1390.257204937503,0.2926311228197138,0.09564576940605884,0.0
scenario_stress,rollout_fixed_periodic,3,160.0,1.219334363609941,0.005915719699929989,1.213418643910011,1.2225002531383429,0.5020833333333333,0.014583333333333337,0.04218750000000001,0.17499999999999996,0.17499999999999996,0.17499999999999996,1199.0933126791656,0.19698535341365497,0.0,0.09564576940605884
scenario_stress,sca_oracle,3,160.0,1.2079326844444036,0.0061085277993757625,1.203907960390503,1.2140412122437794,0.8104166666666667,0.010416666666666519,0.0,0.9625,0.9625,0.9625,241.14294810624793,0.1855836742481176,-0.01140167916553736,0.1070474485715962
scenario_stress,rollout_joint,3,160.0,1.176604605999289,0.023166855767493333,1.1534377502317956,1.1979903955391549,0.4916666666666667,0.014583333333333282,0.07864583333333333,0.12083333333333333,0.12083333333333333,0.12083333333333333,1260.7327516395837,0.15425559580300297,-0.04272975761065201,0.13837552701671085
scenario_stress,decoupled,3,160.0,1.022349010196286,0.01628108313395482,1.0141465772807279,1.0386300933302408,0.6520833333333333,0.05208333333333337,0.11874999999999998,0.1875,0.1875,0.1875,98.28326068750357,0.0,-0.19698535341365497,0.2926311228197138
scenario_stress,periodic,3,160.0,1.022349010196286,0.01628108313395482,1.0141465772807279,1.0386300933302408,0.6520833333333333,0.05208333333333337,0.11874999999999998,0.1875,0.1875,0.1875,96.6336053270832,0.0,-0.19698535341365497,0.2926311228197138
scenario_stress,no_twin,3,160.0,0.9462252868635298,0.04677071134571964,0.9182249685748424,0.9929959982092494,0.7479166666666667,0.033333333333333326,0.08020833333333333,0.049999999999999996,0.049999999999999996,0.049999999999999996,1208.9457576208313,-0.07612372333275619,-0.27310907674641116,0.36875484615247
scenario_stress,security_risk,3,160.0,0.9206941592679595,0.07472420998254958,0.8459699492854099,0.982122320854527,0.7229166666666668,0.02083333333333326,0.03595990683690452,0.10833333333333334,0.10833333333333334,0.10833333333333334,96.70909262708467,-0.10165485092832649,-0.29864020434198146,0.3942859737480403
scenario_stress,aoi_only,3,160.0,0.7008979343938883,0.04436310179436043,0.6661600394131458,0.7452610361882487,0.7229166666666668,0.03958333333333308,0.11874999999999998,0.14583333333333334,0.14583333333333334,0.14583333333333334,97.05170360000277,-0.32145107580239773,-0.5184364292160527,0.6140821986221116
scenario_stress,rollout_no_sync,3,160.0,0.6668290469792882,0.020172447528079673,0.6466565994512086,0.6864314295396201,0.8229166666666666,0.008333333333333526,0.0,0.5729166666666666,0.5729166666666666,0.5729166666666666,765.2331191104167,-0.35551996321699775,-0.5525053166306527,0.6481510860367116
scenario_stress,security_margin,3,160.0,0.6576603447241123,0.057299909074766786,0.6003604356493455,0.6968801277544786,0.8250000000000001,0.018750000000000044,0.11305017521140759,0.15625,0.15625,0.15625,98.49854326458474,-0.3646886654721737,-0.5616740188858287,0.6573197882918875
scenario_stress,sca_twin,3,160.0,0.47022006819539336,0.022314644883797197,0.44790542331159616,0.49192752572127585,0.8208333333333333,0.004166666666666541,0.0,0.6229166666666667,0.6229166666666667,0.6229166666666667,243.9039746312479,-0.5521289420008926,-0.7491142954145475,0.8447600648206064
scenario_stress,myopic_greedy_no_sync,3,160.0,0.46983501649324716,0.0222353764015617,0.44759964009168546,0.49089726890117014,0.8166666666666668,0.008333333333333082,0.0,0.625,0.625,0.625,96.4541396708313,-0.5525139937030388,-0.7494993471166937,0.8451451165227526
scenario_stress,full,3,160.0,0.307680754698159,0.035000611181772556,0.2726801435163864,0.3316954554717814,0.8583333333333334,0.016666666666666607,0.11874999999999998,0.6770833333333334,0.6770833333333334,0.6770833333333334,96.74795072916709,-0.714668255498127,-0.9116536089117819,1.0072993783178408
scenario_stress,random_budgeted,3,160.0,0.00460368247870167,0.0019246458255006696,0.0031926846707842,0.0065283283042023394,1.0,0.0,0.11874999999999998,0.86875,0.86875,0.86875,6.213182712498148,-1.0177453277175843,-1.2147306811312393,1.3103764505372981
