scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_cost_ci95_low,avg_sync_cost_ci95_high,episode_length_mean,episode_length_std,episode_length_ci95,episode_length_ci95_low,episode_length_ci95_high,total_secrecy_rate_mean,total_secrecy_rate_std,total_secrecy_rate_ci95,total_secrecy_rate_ci95_low,total_secrecy_rate_ci95_high,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,avg_sync_bandwidth_ci95_low,avg_sync_bandwidth_ci95_high,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,sync_request_rate_ci95_low,sync_request_rate_ci95_high,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_sync_applied_ci95_low,avg_sync_applied_ci95_high,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_pending_syncs_ci95_low,avg_pending_syncs_ci95_high,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_quality_ci95_low,avg_twin_quality_ci95_high,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_twin_badness_ci95_low,avg_twin_badness_ci95_high,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_realized_loss_ci95_low,avg_realized_loss_ci95_high,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_margin_gap_ci95_low,avg_margin_gap_ci95_high,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,avg_cert_slack_ci95_low,avg_cert_slack_ci95_high,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certified_safe_rate_ci95_low,certified_safe_rate_ci95_high,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_violation_prob_ci95_low,certificate_violation_prob_ci95_high,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,certificate_cover_rate_ci95_low,certificate_cover_rate_ci95_high,certificate_in_policy_cover_rate_mean,certificate_in_policy_cover_rate_std,certificate_in_policy_cover_rate_ci95,certificate_in_policy_cover_rate_ci95_low,certificate_in_policy_cover_rate_ci95_high,certificate_empirical_cover_rate_mean,certificate_empirical_cover_rate_std,certificate_empirical_cover_rate_ci95,certificate_empirical_cover_rate_ci95_low,certificate_empirical_cover_rate_ci95_high,certificate_margin_cover_rate_mean,certificate_margin_cover_rate_std,certificate_margin_cover_rate_ci95,certificate_margin_cover_rate_ci95_low,certificate_margin_cover_rate_ci95_high,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,prediction_violation_prob_ci95_low,prediction_violation_prob_ci95_high,outage_prob_mean,outage_prob_std,outage_prob_ci95,outage_prob_ci95_low,outage_prob_ci95_high,success_prob_mean,success_prob_std,success_prob_ci95,success_prob_ci95_low,success_prob_ci95_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,runtime_per_slot_ms_ci95_low,runtime_per_slot_ms_ci95_high,num_runs,periodic_avg_secrecy_rate_mean,periodic_outage_prob_mean,fixed_rollout_avg_secrecy_rate_mean,fixed_rollout_outage_prob_mean,oracle_avg_secrecy_rate_mean,secrecy_gain_vs_periodic,outage_gain_vs_periodic,secrecy_gain_vs_fixed_rollout,outage_gain_vs_fixed_rollout,oracle_secrecy_gap
scenario_stress,aoi_only,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,112.14366950302211,6.467099014268266,7.09809628709769,106.58560630610333,119.2417657901198,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.10833333333333332,0.013010412496663327,0.014583333333333323,0.09375,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.4321302978145682,0.0357068429242911,0.041084951587957774,0.3910453462266104,0.4556725563309086,0.5678697021854319,0.035706842924291105,0.04108495158795766,0.5443274436690915,0.6089546537733895,0.7008979343938883,0.04041936883917668,0.04436310179436043,0.6661600394131458,0.7452610361882487,1.7255252071364777,0.19802815671111582,0.2047260766533463,1.5207991304831314,1.9160958188568138,1.7191731653002043,0.19926933304186178,0.20659807338533986,1.5125750919148644,1.9102001573209666,0.4517710969920477,0.014384615896412298,0.01593777483247183,0.4358333221595759,0.463790623188697,0.7270833333333333,0.0157288217401474,0.01666666666666672,0.7125,0.74375,0.27291666666666664,0.0157288217401474,0.016666666666666663,0.25625,0.2875,0.14583333333333334,0.053155628425721135,0.06041666666666662,0.10625,0.20624999999999996,0.14583333333333334,0.053155628425721135,0.06041666666666662,0.10625,0.20624999999999996,0.14583333333333334,0.053155628425721135,0.06041666666666662,0.10625,0.20624999999999996,0.14583333333333334,0.053155628425721135,0.06041666666666662,0.10625,0.20624999999999996,0.8770833333333333,0.03442231592053815,0.039583333333333304,0.8375,0.9,0.7229166666666668,0.03767321108338565,0.03958333333333308,0.6875,0.7624999999999998,0.27708333333333335,0.037673211083385685,0.03958333333333339,0.23749999999999996,0.3125,15.528272576000441,0.10086517995233624,0.10226800099978028,15.426004575000661,15.627673816999959,97.05170360000277,0.6304073747021015,0.6391750062486352,96.41252859375413,97.67296135624974,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,-0.32145107580239773,-0.07083333333333341,-0.5184364292160527,-0.22083333333333344,0.6140821986221116
scenario_stress,decoupled,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,163.57584163140578,2.2559947889306535,2.60497330143275,162.26345236491647,166.18081493283853,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11458333333333333,0.0036084391824351566,0.004166666666666652,0.1125,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.6933211632177617,0.006612125790972598,0.006375086608477076,0.6869460766092846,0.6977215503118165,0.3066788367822382,0.006612125790972487,0.006826074673686344,0.29985276210855183,0.31305392339071525,1.022349010196286,0.014099967430816585,0.01628108313395482,1.0141465772807279,1.0386300933302408,0.6927866504284185,0.025998463276045332,0.029594618013171425,0.663192032415247,0.7119473332680296,0.6850345292810224,0.026186318892606978,0.029637069562859164,0.6553974597181632,0.7050450172536884,0.4411452632481783,0.012640285870636061,0.012861879665894638,0.4282833835822837,0.45355164159946354,0.7708333333333334,0.030830517889476564,0.03541666666666665,0.75,0.80625,0.22916666666666666,0.030830517889476543,0.03541666666666665,0.19375,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.84375,0.027243118397129215,0.03125,0.8125,0.8625000000000002,0.6520833333333333,0.046069467473949965,0.05208333333333337,0.6,0.6875,0.34791666666666665,0.04606946747394997,0.052083333333333426,0.3125,0.4000000000000001,15.725321710000571,0.04032016765130429,0.043883403000108956,15.689911485000266,15.76920511300068,98.28326068750357,0.2520010478206518,0.274271268750681,98.06194678125166,98.55753195625425,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,0.0,0.0,-0.19698535341365497,-0.15000000000000002,0.2926311228197138
scenario_stress,full,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,49.22892075170543,4.960566243601012,5.6000977890836054,43.628822962621825,53.07127287548503,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.10625,0.006249999999999999,0.0062500000000000056,0.10000000000000002,0.1125,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.24106940960392673,0.012290793822575145,0.012703606810161333,0.2283658027937654,0.2529009386680772,0.7589305903960734,0.012290793822575054,0.012703606810161139,0.7470990613319227,0.7716341972062345,0.307680754698159,0.03100353902250632,0.035000611181772556,0.2726801435163864,0.3316954554717814,1.7158851819762309,0.03766322187894905,0.043409962173799554,1.6918999223197446,1.7592951441500304,1.7009228929653506,0.03978272617397465,0.043631221764381056,1.6666612920725588,1.7445541147297317,-6.981415653723978,2.264841963427236,2.5340900403542044,-8.808192636392198,-4.447325613369774,0.22083333333333333,0.015728821740147395,0.016666666666666635,0.20624999999999996,0.23749999999999996,0.7791666666666667,0.0157288217401474,0.01666666666666683,0.7624999999999998,0.7937499999999998,0.6770833333333334,0.013010412496663345,0.014583333333333393,0.6625,0.6875,0.6770833333333334,0.013010412496663345,0.014583333333333393,0.6625,0.6875,0.6770833333333334,0.013010412496663345,0.014583333333333393,0.6625,0.6875,0.6770833333333334,0.013010412496663345,0.014583333333333393,0.6625,0.6875,0.9645833333333335,0.029536347664078803,0.03333333333333344,0.93125,0.9875000000000002,0.8583333333333334,0.014433756729740658,0.016666666666666607,0.85,0.875,0.1416666666666667,0.014433756729740642,0.01666666666666669,0.125,0.15,15.479672116666734,0.17293717761975638,0.1753892276665283,15.304282889000206,15.650048236999282,96.74795072916709,1.0808573601234774,1.096182672915802,95.65176805625129,97.81280148124551,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,-0.714668255498127,-0.20625000000000004,-0.9116536089117819,-0.35625000000000007,1.0072993783178408
scenario_stress,myopic_greedy_no_sync,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,160.0,160.0,75.17360263891955,3.467622420264146,3.5576602242498865,71.61594241466966,78.54356302418722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21521761525274044,0.002315771532276651,0.002384292092284024,0.21297706031513153,0.21760190734502446,0.7847823847472596,0.002315771532276609,0.0023842920922840793,0.7823980926549755,0.7870229396848685,0.46983501649324716,0.0216726401266509,0.0222353764015617,0.44759964009168546,0.49089726890117014,1.4901542742999805,0.011380405197794775,0.012967800465524038,1.48182897900348,1.5031220747655045,1.4724199549680665,0.021672640126650846,0.022235376401561258,1.4513577025601434,1.4946553313696278,-1.7284005837608873,0.0,0.0,-1.7284005837608873,-1.7284005837608873,0.28125,0.0,0.0,0.28125,0.28125,0.71875,0.0,0.0,0.71875,0.71875,0.625,0.034798527267687625,0.03749999999999998,0.59375,0.6625,0.625,0.034798527267687625,0.03749999999999998,0.59375,0.6625,0.625,0.034798527267687625,0.03749999999999998,0.59375,0.6625,0.625,0.034798527267687625,0.03749999999999998,0.59375,0.6625,0.8770833333333332,0.03553900439423327,0.03958333333333319,0.8375,0.90625,0.8166666666666668,0.007216878364870297,0.008333333333333082,0.8125,0.8249999999999998,0.18333333333333335,0.007216878364870329,0.008333333333333387,0.17499999999999996,0.1875,15.432662347333007,0.11715227399762275,0.13020158433346296,15.302460762999544,15.52954860599948,96.4541396708313,0.7322017124851421,0.8137599020841435,95.64037976874715,97.05967878749675,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,-0.5525139937030388,-0.16458333333333341,-0.7494993471166937,-0.31458333333333344,0.8451451165227526
scenario_stress,no_twin,0.08020833333333333,0.0018042195912175822,0.002083333333333326,0.078125,0.08125,160.0,0.0,0.0,160.0,160.0,151.39604589816477,6.522669313284942,7.483313815315114,146.91599497197475,158.8793597134799,0.08020833333333333,0.0018042195912175822,0.002083333333333326,0.078125,0.08125,0.3208333333333333,0.007216878364870329,0.008333333333333304,0.3125,0.325,0.30624999999999997,0.0062500000000000056,0.006250000000000033,0.3,0.3125,0.3208333333333333,0.007216878364870329,0.008333333333333304,0.3125,0.325,0.8323097934828535,0.003630703310084024,0.003942116133968554,0.828367677348885,0.8355164877485564,0.1676902065171464,0.0036307033100840486,0.003942116133968582,0.1644835122514435,0.17163232265111497,0.9462252868635298,0.0407666832080309,0.04677071134571964,0.9182249685748424,0.9929959982092494,0.6909027124008297,0.05666526121019525,0.06268013689750895,0.6282225755033207,0.738501690926887,0.6891177444603122,0.05715060455941141,0.06272501312051681,0.6263927313397953,0.7382389432100155,0.4745355192004142,0.018828579139665194,0.021038469684197758,0.45926733843011674,0.49557398888461196,0.9791666666666666,0.009547032697824682,0.01041666666666663,0.96875,0.9875000000000002,0.020833333333333332,0.009547032697824667,0.010416666666666668,0.012500000000000002,0.03125,0.049999999999999996,0.028641098093474,0.031249999999999997,0.01875,0.075,0.049999999999999996,0.028641098093474,0.031249999999999997,0.01875,0.075,0.049999999999999996,0.028641098093474,0.031249999999999997,0.01875,0.075,0.049999999999999996,0.028641098093474,0.031249999999999997,0.01875,0.075,0.9520833333333334,0.028182810955143047,0.029166666666666452,0.9250000000000002,0.9812499999999998,0.7479166666666667,0.028867513459481315,0.033333333333333326,0.7312499999999998,0.78125,0.2520833333333333,0.028867513459481284,0.033333333333333326,0.21875,0.26875,193.431321219333,3.18499809114239,3.5303018676666795,190.77345567099928,196.96162308699968,1208.9457576208313,19.906238069639954,22.064386672916726,1192.3340979437455,1231.010144293748,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,-0.07612372333275619,-0.09583333333333333,-0.27310907674641116,-0.24583333333333335,0.36875484615247
scenario_stress,oracle_sync,0.08125,0.0,0.0,0.08125,0.08125,160.0,0.0,0.0,160.0,160.0,210.39682128255996,2.2505898017469397,2.3346899063164983,208.06213137624346,212.55263562661264,0.08125,0.0,0.0,0.08125,0.08125,0.325,0.0,0.0,0.325,0.325,0.30416666666666664,0.009547032697824663,0.01041666666666663,0.29375,0.3125,0.325,0.0,0.0,0.325,0.325,0.9398767854314899,0.00433675680429589,0.005000874201080974,0.9348759112304089,0.9426028383522439,0.06012321456851024,0.004336756804295884,0.005000874201080703,0.05739716164775623,0.06512408876959094,1.3149801330159998,0.014066186260918288,0.014591811914478114,1.3003883211015217,1.328453972666329,0.005907467199814387,0.0011719076966022661,0.0011916215131397706,0.004715845686674616,0.007058612338916537,-0.0033581163629139033,0.0016070909554515471,0.0017301215178184993,-0.004804340600786022,-0.001627994845095404,0.1566618541286309,0.014988323092253947,0.016342891864229603,0.1403189622644013,0.16976607243065764,0.93125,0.006249999999999978,0.006249999999999978,0.9250000000000002,0.9375,0.06874999999999999,0.006249999999999999,0.0062500000000000056,0.0625,0.075,0.7729166666666667,0.09809381139161295,0.11041666666666672,0.6625,0.85,0.7729166666666667,0.09809381139161295,0.11041666666666672,0.6625,0.8354166666666667,0.7729166666666667,0.09809381139161295,0.11041666666666672,0.6625,0.85,0.7729166666666667,0.09809381139161295,0.11041666666666672,0.6625,0.85,0.6479166666666667,0.08868248605746987,0.09583333333333333,0.56875,0.74375,0.027083333333333334,0.007216878364870323,0.008333333333333335,0.01875,0.03125,0.9729166666666668,0.007216878364870297,0.008333333333333082,0.96875,0.9812499999999998,222.44115279000047,0.87593503251793,1.0007342530003882,221.8136621120002,223.44188704300086,1390.257204937503,5.474593953237062,6.254589081252334,1386.3353882000013,1396.5117940187554,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,0.2926311228197138,0.625,0.09564576940605884,0.475,0.0
scenario_stress,periodic,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,163.57584163140578,2.2559947889306535,2.60497330143275,162.26345236491647,166.18081493283853,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11458333333333333,0.0036084391824351566,0.004166666666666652,0.1125,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.6933211632177617,0.006612125790972598,0.006826074673686566,0.6889207761237072,0.7001472378914483,0.3066788367822382,0.006612125790972487,0.006826074673686344,0.29985276210855183,0.31305392339071525,1.022349010196286,0.014099967430816585,0.01628108313395482,1.0141465772807279,1.0386300933302408,0.6927866504284185,0.025998463276045332,0.029594618013171425,0.663192032415247,0.7119473332680296,0.6850345292810224,0.026186318892606978,0.029637069562859164,0.6553974597181632,0.7050450172536884,0.4411452632481783,0.012640285870636061,0.012861879665894638,0.4282833835822837,0.45355164159946354,0.7708333333333334,0.030830517889476564,0.03541666666666665,0.75,0.80625,0.22916666666666666,0.030830517889476543,0.03541666666666665,0.19375,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.1875,0.05412658773652741,0.0625,0.15625,0.25,0.84375,0.027243118397129215,0.03125,0.8125,0.8625000000000002,0.6520833333333333,0.046069467473949965,0.05208333333333337,0.6,0.6875,0.34791666666666665,0.04606946747394997,0.052083333333333426,0.3125,0.4000000000000001,15.461376852333311,0.07203302366095377,0.07971458433272893,15.381662268000582,15.52179977799915,96.6336053270832,0.450206397880961,0.49821615207956427,96.13538917500364,97.01124861249468,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,0.0,0.0,-0.19698535341365497,-0.15000000000000002,0.2926311228197138
scenario_stress,random_budgeted,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,0.7365891965922673,0.2761798985538453,0.30794333208010705,0.510829547325472,1.0445325286723743,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.18541666666666667,0.019094065395649323,0.020833333333333287,0.16875000000000004,0.20624999999999996,0.1729166666666667,0.023662118107501146,0.027083333333333348,0.15625,0.20000000000000004,0.18541666666666667,0.019094065395649323,0.020833333333333287,0.16875000000000004,0.20624999999999996,0.6697142373386745,0.04909601053273295,0.05564858332622313,0.6140656540124514,0.7069110756444292,0.3302857626613253,0.04909601053273291,0.05564858332622313,0.2930889243555707,0.38593434598754844,0.00460368247870167,0.0017261243659615329,0.0019246458255006696,0.0031926846707842,0.0065283283042023394,0.08363897267708459,0.022663668018992694,0.02412865359756964,0.05951031907951495,0.10447814447458474,0.08363882790776954,0.022663468347102218,0.02412850882825459,0.05951031907951495,0.10447771016663958,-1.1646793372500817,0.16970816460490842,0.19016921428008704,-1.3548485515301687,-1.028636048629338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.86875,0.039031237489989976,0.043749999999999956,0.8375,0.9125,0.86875,0.039031237489989976,0.043749999999999956,0.8375,0.9125,0.86875,0.039031237489989976,0.043749999999999956,0.8375,0.9125,0.86875,0.039031237489989976,0.043749999999999956,0.8375,0.9125,0.2333333333333333,0.07403898184965357,0.08541666666666667,0.1875,0.31875,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9941092339997036,0.02391663046484742,0.027566537000135782,0.9665426969995679,1.009331161999853,6.213182712498148,0.14947894040529636,0.17229085625084917,6.040891856247299,6.308319762499082,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,-1.0177453277175843,-0.34791666666666665,-1.2147306811312393,-0.4979166666666667,1.3103764505372981
scenario_stress,rollout_fixed_periodic,0.04218750000000001,8.498374721940739e-18,0.0,0.04218750000000001,0.04218750000000001,160.0,0.0,0.0,160.0,160.0,195.09349817759053,0.8203816637360511,0.9465151519887627,194.14698302560177,195.60004050213487,0.04218750000000001,8.498374721940739e-18,0.0,0.04218750000000001,0.04218750000000001,0.16875000000000004,3.3993498887762956e-17,0.0,0.16875000000000004,0.16875000000000004,0.16458333333333333,0.0036084391824351644,0.004166666666666707,0.1625,0.16875000000000004,0.16875000000000004,3.3993498887762956e-17,0.0,0.16875000000000004,0.16875000000000004,0.8907543127614345,0.0026922928386074836,0.0030446620927303547,0.8886879547997101,0.8937989748541648,0.10924568723856559,0.0026922928386076484,0.003044662092730563,0.10620102514583503,0.11131204520029007,1.219334363609941,0.005127385398350253,0.005915719699929989,1.213418643910011,1.2225002531383429,0.1549612411774475,0.009378890215617164,0.010361184374448995,0.14705155107230125,0.1653224255518965,0.1474212107024881,0.012087811852869128,0.013250296400374784,0.13699640075853656,0.16067150710286288,0.20332987841285932,0.015015034457399367,0.017223645047163866,0.19299735887240585,0.2205535234600232,0.7000000000000001,0.016535945694153696,0.018750000000000044,0.68125,0.7125,0.3,0.016535945694153686,0.01874999999999999,0.2875,0.31875,0.17499999999999996,0.03125,0.03125,0.14375,0.20624999999999996,0.17499999999999996,0.03125,0.03125,0.14375,0.20624999999999996,0.17499999999999996,0.03125,0.03125,0.14375,0.20624999999999996,0.17499999999999996,0.03125,0.03125,0.14375,0.20624999999999996,0.8562500000000001,0.022534695471649914,0.02499999999999991,0.8312500000000002,0.875,0.5020833333333333,0.013010412496663315,0.014583333333333337,0.4875,0.5125,0.4979166666666666,0.013010412496663307,0.014583333333333337,0.4875,0.5125,191.85493002866647,3.5975552342193566,3.9888228406668134,187.86610718799966,194.85401697999987,1199.0933126791656,22.48472021387098,24.93014275416772,1174.1631699249979,1217.8376061249992,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,0.19698535341365497,0.15000000000000002,0.0,0.0,0.09564576940605884
scenario_stress,rollout_joint,0.07864583333333333,0.0009021097956087871,0.001041666666666663,0.078125,0.0796875,160.0,0.0,0.0,160.0,160.0,188.25673695988624,3.572745538863861,3.706696922798926,184.5500400370873,191.6784632862648,0.07864583333333333,0.0009021097956087871,0.001041666666666663,0.078125,0.0796875,0.3145833333333333,0.0036084391824351483,0.004166666666666652,0.3125,0.31875,0.28541666666666665,0.007216878364870329,0.00833333333333336,0.28125,0.29375,0.3145833333333333,0.0036084391824351483,0.004166666666666652,0.3125,0.31875,0.8658272575539772,0.014820342564961404,0.016868571629346296,0.8489586859246309,0.8767577449093947,0.1341727424460228,0.014820342564961488,0.016868571629346463,0.12324225509060516,0.15104131407536928,1.176604605999289,0.022329659617899157,0.023166855767493333,1.1534377502317956,1.1979903955391549,0.29169412935759637,0.052762057460480384,0.0593829571209703,0.2502093047859155,0.35107708647856667,0.28626233835805387,0.05111437937076368,0.05741160785324578,0.24569861550620656,0.34367394621129965,0.2930041355307461,0.025016570972281636,0.028472455874956726,0.27454673885135683,0.32147659140570284,0.7520833333333332,0.047324236215002306,0.05416666666666681,0.71875,0.80625,0.24791666666666665,0.04732423621500227,0.05416666666666664,0.19375,0.28125,0.12083333333333333,0.015728821740147402,0.016666666666666677,0.10625,0.1375,0.12083333333333333,0.015728821740147402,0.016666666666666677,0.10625,0.1375,0.12083333333333333,0.015728821740147402,0.016666666666666677,0.10625,0.1375,0.12083333333333333,0.015728821740147402,0.016666666666666677,0.10625,0.1375,0.9041666666666667,0.009547032697824634,0.010416666666666519,0.8937500000000002,0.9125,0.4916666666666667,0.013010412496663315,0.014583333333333282,0.48125,0.50625,0.5083333333333333,0.013010412496663327,0.014583333333333226,0.4937500000000001,0.51875,201.71724026233338,6.075093817175471,6.7886475946664575,196.79240584299987,208.50588785699983,1260.7327516395837,37.9693363573467,42.429047466665224,1229.9525365187492,1303.161799106249,3,1.022349010196286,0.6520833333333333,1.219334363609941,0.5020833333333333,1.3149801330159998,0.15425559580300297,0.16041666666666665,-0.04272975761065201,0.01041666666666663,0.13837552701671085
