slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,170.0,260.0,310.0,260.0,230.1953836053374,248.5425426560631,230.0,248.0,0.576651789976099,1,5.15,0.9606025334725538,0.039397466527446225,0.6795398854193477,0.6830261982689745,2.3143780095271116,1.631351811258137,1,0,0,20.0,1.5
1,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,160.0,260.0,300.0,260.0,224.72696010025575,245.8156041575628,225.0,246.0,0.329473236485868,2,6.5,0.9382586852179068,0.0617413147820932,0.8172935189061026,0.8121913699957068,2.3548432485162114,1.5426518785205046,1,0,0,20.0,1.5
2,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,150.0,260.0,290.0,260.0,218.13348953135866,244.59290254315175,220.0,244.0,1.9584163896433053,3,7.85,0.9116935631233025,0.08830643687669744,0.9451872797578853,0.9103949849217263,2.388326430970797,1.4779314460490707,1,0,0,20.0,1.5
3,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,140.0,260.0,280.0,260.0,213.1468153718195,242.7574876191092,215.0,242.0,2.0020191705446253,4,9.2,0.8886954568662746,0.1113045431337254,1.0615024740658643,1.0283619949157576,2.4139407009057647,1.385578705990007,1,0,0,20.0,1.5
4,0,aoi_thr=5,0.0,0.0,28,left,left,1.0,0.5,130.0,260.0,270.0,260.0,207.51993947061501,241.73868604253798,210.0,240.0,3.028816498886935,5,10.549999999999999,0.8634851628775044,0.1365148371224956,1.1647570593046788,1.1225361060255061,2.430900232668215,1.308364126642709,1,0,0,20.0,1.5
5,1,aoi_thr=5,1.0,1.0,27,left,left,1.0,0.5,120.0,260.0,260.0,260.0,203.27449993275744,239.64122693734782,203.27449993275744,239.64122693734782,0.0,0,3.8,0.9848,0.0152,1.2265261510790435,1.2265261510790435,2.438568155329287,1.2120420042502433,1,0,0,20.0,1.5
6,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,250.0,250.0,260.0,197.8298091664356,237.35587383010096,198.27449993275744,237.64122693734782,0.5283713405052674,1,5.15,0.9607111644838632,0.03928883551613685,1.3091435447949515,1.3015260211609057,2.553993996226349,1.2524679750654435,1,0,0,20.0,1.5
7,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,240.0,240.0,260.0,192.1909087324959,235.3771251494934,193.27449993275744,235.64122693734782,1.1153114558867154,2,6.5,0.9364905492242549,0.0635094507757451,1.3993396830166953,1.3813032905518439,2.6730716841547304,1.2917683936028865,1,0,0,20.0,1.5
8,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,230.0,230.0,260.0,186.69797455673546,233.84555916592703,188.27449993275744,233.64122693734782,1.5897118987028367,3,7.85,0.9125231482279186,0.0874768517720814,1.4978898792784296,1.474403202253039,2.7951976132382694,1.3207944109852305,1,0,0,20.0,1.5
9,0,aoi_thr=5,0.0,1.0,27,down,left,1.0,0.5,120.0,220.0,220.0,260.0,181.41039969700847,231.56239351477555,183.27449993275744,231.64122693734782,1.865766436999498,4,9.2,0.8890020255167511,0.11099797448324886,1.6052552455198488,1.5774892691522706,2.919495741500019,1.3420064723477485,1,0,0,20.0,1.5
