slot,sync,sync_applied,sync_reason,sync_cost,sync_bandwidth,matured_sync_bandwidth,total_sync_cost,remaining_budget,pending_syncs,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,pred_margin,pred_error_radius,pred_loss_ub,cert_base_bound,cert_empirical_upper_bound,cert_required_margin,cert_margin_bound,cert_slack,certified_safe,realized_loss,cert_cover,cert_empirical_cover,cert_margin_cover,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,0,0,mdp_skip,0.0,0.0,0.0,0.0,2.0,0,stay,right,1.0,1.0,40.0,60.0,90.0,60.0,59.5,52.0,60.0,51.0,1.118033988749895,1,2.242905481735688,0.9254356902670189,0.07456430973298109,2.366687290300341,2.3607366589109167,1.4993873383100569,2.23606797749979,0.05427554555582615,0.05427554555582615,0.0,0.07927554555582615,0.05927554555582615,1.4201117927542308,1,0.005950631389424199,0,0,1,3.404284608571281,1.0435479496603643,0,1,0,10.0,2.0
1,0,0,mdp_skip,0.0,0.0,0.0,0.0,2.0,0,stay,up,1.0,1.0,40.0,60.0,90.0,70.0,57.0,52.0,58.0,50.0,2.23606797749979,2,2.88205655739092,0.8669089245948424,0.13309107540515763,2.386028302226106,2.3781494277992454,1.5091142317825255,4.47213595499958,0.08930603823868684,0.08930603823868684,0.0,0.11430603823868685,0.09430603823868684,1.3948081935438386,1,0.007878874426860527,0,0,1,3.4791547561973957,1.10100532839815,0,1,0,10.0,2.0
2,0,0,mdp_skip,0.0,0.0,0.0,0.0,2.0,0,stay,up,1.0,1.0,40.0,60.0,90.0,80.0,54.5,52.0,56.0,49.0,3.3541019662496847,3,3.751249791736082,0.8060817373357665,0.19391826266423345,2.39376722544804,2.3875612883185546,1.5042299792146898,6.708203932499369,0.12709703682582668,0.12709703682582668,0.0,0.15209703682582668,0.13209703682582669,1.352132942388863,1,0.006205937129485584,0,0,1,3.5667948191873045,1.1792335308687496,0,1,0,10.0,2.0
3,0,0,mdp_skip,0.0,0.0,0.0,0.0,2.0,0,stay,up,1.0,1.0,40.0,60.0,90.0,90.0,52.73223304703363,50.23223304703363,54.0,48.0,2.5671185058938515,4,4.751052514969709,0.758236086056099,0.24176391394390095,2.3896162308739264,2.3869028457669117,1.4850765300668884,8.94427190999916,0.1664553492796281,0.1664553492796281,0.0,0.1914553492796281,0.1714553492796281,1.2936211807872604,1,0.0027133851070146875,0,0,1,3.664481268196291,1.2775784224293791,0,1,0,10.0,2.0
