avg_sync_cost,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
0.11875,0.1125,0.11875,0.81719551892065,0.18280448107935,2.4483824789560926,0.003731983083930253,-0.0017412169173738445,-0.4944784154770936,0.0,1.0,0.90625,0.23125,0.4875,0.5125,periodic,62,1.1998807630006922,7.4992547687543265,scenario_stress,configs/scenario_stress.yaml
0.08125,0.075,0.08125,0.7697202700998125,0.23027972990018747,2.434482176935,0.008792095793837846,0.00535652797632988,-0.4676523189114059,0.0,1.0,0.89375,0.325,0.475,0.525,security_risk,62,1.2070179250004003,7.543862031252502,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.443589044125961,0.0029154061380250716,0.0009449221806880889,-2.0166396584800452,0.0,1.0,0.99375,0.1625,0.4625,0.5375,security_margin,62,1.2157374890011852,7.598359306257407,scenario_stress,configs/scenario_stress.yaml
0.11875,0.11875,0.11875,0.558471074258932,0.44152892574106783,2.444555126692658,0.00295389151736736,0.0010262499550531198,-2.0147254783952038,0.0,1.0,0.99375,0.15625,0.4625,0.5375,rollout_joint,62,18.60218016199724,116.26362601248275,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8170135534922197,0.18298644650778034,2.4890078114816405,0.0033008132230819666,-0.0021186699928734147,-0.459019764058011,0.0,1.0,0.8875,0.2375,0.50625,0.49375,periodic,63,1.2076494700013427,7.547809187508392,scenario_stress,configs/scenario_stress.yaml
0.08125,0.06875,0.08125,0.7674131184838939,0.2325868815161062,2.4874634537288904,0.0018965526019703056,-0.007964438259076178,-0.4334055817462529,0.0,1.0,0.975,0.16875,0.49375,0.50625,security_risk,63,1.1987025950002135,7.491891218751334,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.489540831527171,0.00043841240440461863,-0.0053133126766653285,-1.9808658532848824,0.0,1.0,1.0,0.06875,0.4875,0.5125,security_margin,63,1.1962416129972553,7.4765100812328456,scenario_stress,configs/scenario_stress.yaml
0.11875,0.10625,0.11875,0.557538304182326,0.44246169581767403,2.4907587788125904,0.0004474943055052569,-0.005441978423615433,-1.9784361139226116,0.0,1.0,1.0,0.06875,0.4875,0.5125,rollout_joint,63,19.001517184999102,118.75948240624439,scenario_stress,configs/scenario_stress.yaml
0.11875,0.1125,0.11875,0.8172692651265117,0.1827307348734884,2.459875259464817,0.0015762409148832811,-0.0044812415275736605,-0.48719736943108405,0.0,1.0,0.9375,0.2,0.48125,0.51875,periodic,64,1.1903885569990962,7.439928481244351,scenario_stress,configs/scenario_stress.yaml
0.08125,0.06875,0.08125,0.767193861481861,0.23280613851813908,2.4469935814777006,0.005331944772548324,-0.0024545145058227566,-0.46620206073219206,0.0,1.0,0.925,0.25625,0.51875,0.48125,security_risk,64,1.1784971059969394,7.365606912480871,scenario_stress,configs/scenario_stress.yaml
