scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_cost_ci95_low,avg_sync_cost_ci95_high,episode_length_mean,episode_length_std,episode_length_ci95,episode_length_ci95_low,episode_length_ci95_high,total_secrecy_rate_mean,total_secrecy_rate_std,total_secrecy_rate_ci95,total_secrecy_rate_ci95_low,total_secrecy_rate_ci95_high,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,avg_sync_bandwidth_ci95_low,avg_sync_bandwidth_ci95_high,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,sync_request_rate_ci95_low,sync_request_rate_ci95_high,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_sync_applied_ci95_low,avg_sync_applied_ci95_high,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_pending_syncs_ci95_low,avg_pending_syncs_ci95_high,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_quality_ci95_low,avg_twin_quality_ci95_high,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_twin_badness_ci95_low,avg_twin_badness_ci95_high,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_realized_loss_ci95_low,avg_realized_loss_ci95_high,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_margin_gap_ci95_low,avg_margin_gap_ci95_high,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,avg_cert_slack_ci95_low,avg_cert_slack_ci95_high,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certified_safe_rate_ci95_low,certified_safe_rate_ci95_high,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_violation_prob_ci95_low,certificate_violation_prob_ci95_high,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,certificate_cover_rate_ci95_low,certificate_cover_rate_ci95_high,certificate_in_policy_cover_rate_mean,certificate_in_policy_cover_rate_std,certificate_in_policy_cover_rate_ci95,certificate_in_policy_cover_rate_ci95_low,certificate_in_policy_cover_rate_ci95_high,certificate_empirical_cover_rate_mean,certificate_empirical_cover_rate_std,certificate_empirical_cover_rate_ci95,certificate_empirical_cover_rate_ci95_low,certificate_empirical_cover_rate_ci95_high,certificate_margin_cover_rate_mean,certificate_margin_cover_rate_std,certificate_margin_cover_rate_ci95,certificate_margin_cover_rate_ci95_low,certificate_margin_cover_rate_ci95_high,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,prediction_violation_prob_ci95_low,prediction_violation_prob_ci95_high,outage_prob_mean,outage_prob_std,outage_prob_ci95,outage_prob_ci95_low,outage_prob_ci95_high,success_prob_mean,success_prob_std,success_prob_ci95,success_prob_ci95_low,success_prob_ci95_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,runtime_per_slot_ms_ci95_low,runtime_per_slot_ms_ci95_high,num_runs
scenario_stress_holdoutfit,aoi_only,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,123.37124858063271,28.502534881865895,32.88268319019403,105.72934280483533,156.25393177082674,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.10833333333333332,0.013010412496663327,0.014583333333333323,0.09375,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.45730824084573135,0.07626851985343983,0.08117477465967043,0.3871424984255883,0.5384830155054018,0.5426917591542687,0.07626851985343973,0.08117477465967038,0.4615169844945983,0.6128575015744117,0.7710703036289545,0.1781408430116619,0.20551676993871282,0.6608083925302208,0.9765870735676673,1.4954829538360734,0.5452450205130208,0.6242685082877325,0.8712144455483409,1.878389763143656,1.4891945072173043,0.5442389655483099,0.6229106301803805,0.8662838770369238,1.872641569940854,-7.479252246705485,1.2608486641417216,1.4364925759146452,-8.91574482262013,-6.55580809478622,0.06874999999999999,0.01653594569415369,0.018749999999999982,0.05000000000000001,0.08125,0.93125,0.016535945694153675,0.018749999999999822,0.9187499999999998,0.9499999999999998,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8854166666666666,0.02009093908540198,0.022916666666666474,0.8625000000000002,0.9,0.7145833333333332,0.050903298845294244,0.05833333333333324,0.65625,0.75,0.28541666666666665,0.05090329884529423,0.05833333333333335,0.25,0.34375,15.927032549333186,0.1954057474793659,0.22230848733185304,15.704724062001333,16.071617444998992,99.54395343333242,1.221285921746037,1.38942804582409,98.15452538750833,100.4476090312437,3
scenario_stress_holdoutfit,decoupled,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,163.36187775341662,7.998061095768817,9.11417189300468,154.24770586041194,169.21042965774498,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11458333333333333,0.0036084391824351566,0.004166666666666652,0.1125,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.6978266413359714,0.026337879648839015,0.029466914747439565,0.6683597265885318,0.7190762022882943,0.3021733586640288,0.02633787964883892,0.029466914747439177,0.2809237977117059,0.33164027341146796,1.0210117359588538,0.04998788184855505,0.056963574331278966,0.9640481616275748,1.057565185360906,0.6664803518938011,0.20665926066795598,0.2370936364649734,0.5245240125067177,0.9035739883587744,0.659065041162961,0.20733031551903824,0.23777557917014713,0.5160330970896936,0.8968406203331082,-2.2757496810394984,0.17303882719724584,0.1997442237893048,-2.3799943796862277,-2.0760054572501936,0.06874999999999999,0.010825317547305485,0.012500000000000011,0.0625,0.08125,0.93125,0.010825317547305507,0.012500000000000178,0.9187499999999998,0.9375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8416666666666668,0.019094065395649375,0.02083333333333337,0.8249999999999998,0.8625000000000002,0.6416666666666667,0.032072508996543035,0.03541666666666676,0.60625,0.6687499999999998,0.35833333333333334,0.03207250899654303,0.03541666666666665,0.33125,0.39375,15.842173577999953,0.10396142829848078,0.10966117400069741,15.745048798000425,15.95183475200065,99.01358486249971,0.6497589268655048,0.6853823375043504,98.40655498750266,99.69896720000406,3
scenario_stress_holdoutfit,full,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,49.42966781981957,5.078060897589107,5.800844857197745,43.628822962621825,53.07127287548503,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.10625,0.006249999999999999,0.0062500000000000056,0.10000000000000002,0.1125,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.24106940960392673,0.012290793822575145,0.012703606810161333,0.2283658027937654,0.2529009386680772,0.7589305903960734,0.012290793822575054,0.012703606810161139,0.7470990613319227,0.7716341972062345,0.30893542387387235,0.03173788060993191,0.03625528035748593,0.2726801435163864,0.3316954554717814,1.7151372232638968,0.03825942021850265,0.04415792088613357,1.6918999223197446,1.7592951441500304,1.699978566023555,0.040148281634744994,0.04457554870617675,1.6666612920725588,1.7445541147297317,-34.56974534897969,6.417509962065545,7.225790715347578,-39.605804617349676,-27.34395463363211,0.09166666666666667,0.0036084391824351644,0.0041666666666666935,0.08749999999999998,0.09375,0.9083333333333333,0.0036084391824351483,0.004166666666666652,0.90625,0.9125,0.9895833333333334,0.013010412496663345,0.014583333333333393,0.975,1.0,0.9895833333333334,0.013010412496663345,0.014583333333333393,0.975,1.0,0.9895833333333334,0.013010412496663345,0.014583333333333393,0.975,1.0,0.9895833333333334,0.013010412496663345,0.014583333333333393,0.975,1.0,0.9625,0.028641098093474007,0.03125,0.93125,0.9875000000000002,0.8562500000000001,0.016535945694153696,0.018749999999999933,0.84375,0.875,0.14375000000000002,0.01653594569415369,0.018750000000000017,0.125,0.15625,15.826074432333067,0.13053401214657306,0.13769222066669862,15.704126837999866,15.963766652999766,98.91296520208168,0.8158375759160816,0.8605763791668579,98.15079273749916,99.77354158124854,3
scenario_stress_holdoutfit,myopic_greedy_no_sync,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,160.0,160.0,75.24730896620163,3.450975901793213,3.5465009599221986,71.70080800627943,78.59408506740652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21521761525274044,0.002315771532276651,0.002384292092284024,0.21297706031513153,0.21760190734502446,0.7847823847472596,0.002315771532276609,0.0023842920922840793,0.7823980926549755,0.7870229396848685,0.4702956810387602,0.021568599386207577,0.02216563099951374,0.44813005003924644,0.49121303167129077,1.4901542742999805,0.011380405197794775,0.012967800465524038,1.48182897900348,1.5031220747655045,1.4724843592577146,0.021568599386207723,0.022165630999514185,1.451567008625184,1.4946499902572288,-25.176797911924876,4.351167857633658e-15,0.0,-25.176797911924876,-25.176797911924876,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8770833333333332,0.03553900439423327,0.03958333333333319,0.8375,0.90625,0.8166666666666668,0.007216878364870297,0.008333333333333082,0.8125,0.8249999999999998,0.18333333333333335,0.007216878364870329,0.008333333333333387,0.17499999999999996,0.1875,15.693839370333686,0.05960077234955901,0.06648193166741656,15.645191696999973,15.760321302001103,98.08649606458555,0.37250482718474376,0.41551207292134507,97.78244810624983,98.50200813750689,3
scenario_stress_holdoutfit,no_twin,0.10520833333333333,0.0018042195912175822,0.0020833333333333537,0.10312499999999998,0.10625,160.0,0.0,0.0,160.0,160.0,153.54810744054078,3.546659900802396,3.637119829404952,150.09941993516583,157.18522726994573,0.10520833333333333,0.0018042195912175822,0.0020833333333333537,0.10312499999999998,0.10625,0.42083333333333334,0.007216878364870329,0.008333333333333415,0.4124999999999999,0.425,0.38958333333333334,0.0036084391824351483,0.004166666666666652,0.3875,0.39375,0.42083333333333334,0.007216878364870329,0.008333333333333415,0.4124999999999999,0.425,0.841704107344368,0.005543405701667986,0.006334544891538396,0.8353695624528296,0.8456679364648935,0.15829589265563213,0.005543405701668036,0.006334544891538424,0.15433206353510648,0.16463043754717055,0.95967567150338,0.022166624380014998,0.02273199893378086,0.9381213745947864,0.9824076704371608,0.6931511594451086,0.036318692617276736,0.041931405906572294,0.6715810291165937,0.7350825653516809,0.6913882028681705,0.03680229916087935,0.042483567990222904,0.6692694572764442,0.7338717708583934,-0.2857883086695709,0.021195916536655732,0.023705405059505025,-0.3094937137290759,-0.2686623523006341,0.30625,0.0062500000000000056,0.006250000000000033,0.3,0.3125,0.69375,0.006249999999999978,0.006249999999999978,0.6875,0.6999999999999998,0.6291666666666667,0.02009093908540202,0.014583333333333393,0.6164062499999999,0.64375,0.6291666666666667,0.02009093908540202,0.022916666666666696,0.60625,0.64375,0.6291666666666667,0.02009093908540202,0.022916666666666696,0.60625,0.64375,0.6291666666666667,0.02009093908540202,0.022916666666666696,0.60625,0.64375,0.9375,0.016535945694153696,0.018750000000000155,0.9187499999999998,0.9499999999999998,0.7020833333333334,0.019094065395649326,0.02083333333333337,0.68125,0.71875,0.29791666666666666,0.019094065395649323,0.020833333333333315,0.28125,0.31875,199.5901162696664,3.9002688259547647,4.058462028666327,195.53165424100007,203.31013449300008,1247.438226685415,24.37668016221728,25.36538767916454,1222.0728390062504,1270.6883405812505,3
scenario_stress_holdoutfit,oracle_sync,0.11041666666666666,0.0009021097956087871,0.001041666666666663,0.109375,0.11093749999999998,160.0,0.0,0.0,160.0,160.0,209.93626898250395,1.4892952560320847,1.6970345740417088,208.23923440846224,211.02573356774576,0.11041666666666666,0.0009021097956087871,0.001041666666666663,0.109375,0.11093749999999998,0.44166666666666665,0.0036084391824351483,0.004166666666666652,0.4375,0.4437499999999999,0.41041666666666665,0.0036084391824351483,0.004166666666666652,0.40625,0.4124999999999999,0.44166666666666665,0.0036084391824351483,0.004166666666666652,0.4375,0.4437499999999999,0.9522140006130778,0.0008478263632994082,0.0009193987185909247,0.9514630298348351,0.9531333993316687,0.04778599938692219,0.0008478263632995606,0.0009193987185910218,0.04686660066833117,0.048536970165165116,1.3121016811406496,0.009308095350200631,0.010606466087760724,1.301495215052889,1.318910834798411,0.008696648234379144,0.0009892097018920727,0.0010105622844418698,0.007686085949937274,0.00966302452541985,0.0010236311225577934,0.0008557868949939034,0.0009810959158118686,0.00043081238375008096,0.002004727038369662,-0.602595243849325,0.004527445985606588,0.0050197147737600645,-0.607614958623085,-0.5988206276533605,0.08749999999999998,0.006249999999999999,0.006250000000000019,0.08125,0.09375,0.9125,0.006249999999999978,0.006249999999999978,0.90625,0.9187499999999998,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.6479166666666667,0.05671107328673419,0.06458333333333333,0.60625,0.7125,0.029166666666666664,0.00721687836487032,0.008333333333333335,0.025000000000000005,0.0375,0.9708333333333333,0.007216878364870297,0.008333333333333304,0.9625,0.975,226.07107641600064,3.5763505799398274,3.88991237499917,222.18116404100147,229.21674895499928,1412.9442276000038,22.35219112462392,24.31195234374468,1388.6322752562592,1432.6046809687457,3
scenario_stress_holdoutfit,periodic,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,163.36187775341662,7.998061095768817,9.11417189300468,154.24770586041194,169.21042965774498,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.11458333333333333,0.0036084391824351566,0.004166666666666652,0.1125,0.11874999999999998,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.6978266413359714,0.026337879648839015,0.029466914747439565,0.6683597265885318,0.7190762022882943,0.3021733586640288,0.02633787964883892,0.029466914747439177,0.2809237977117059,0.33164027341146796,1.0210117359588538,0.04998788184855505,0.056963574331278966,0.9640481616275748,1.057565185360906,0.6664803518938011,0.20665926066795598,0.2370936364649734,0.5245240125067177,0.9035739883587744,0.659065041162961,0.20733031551903824,0.23777557917014713,0.5160330970896936,0.8968406203331082,-2.2757496810394984,0.17303882719724584,0.1997442237893048,-2.3799943796862277,-2.0760054572501936,0.06874999999999999,0.010825317547305485,0.012500000000000011,0.0625,0.08125,0.93125,0.010825317547305507,0.012500000000000178,0.9187499999999998,0.9375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8416666666666668,0.019094065395649375,0.02083333333333337,0.8249999999999998,0.8625000000000002,0.6416666666666667,0.032072508996543035,0.03541666666666676,0.60625,0.6687499999999998,0.35833333333333334,0.03207250899654303,0.03541666666666665,0.33125,0.39375,15.813676096333438,0.141504038287521,0.15162376233456598,15.662052333998872,15.942223818001366,98.83547560208399,0.8844002392970063,0.9476485145910374,97.88782708749295,99.63889886250854,3
scenario_stress_holdoutfit,random_budgeted,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,0.7365891965922673,0.2761798985538453,0.30794333208010705,0.510829547325472,1.0445325286723743,0.11874999999999998,1.6996749443881478e-17,0.0,0.11874999999999998,0.11874999999999998,0.18541666666666667,0.019094065395649323,0.020833333333333287,0.16875000000000004,0.20624999999999996,0.1729166666666667,0.023662118107501146,0.027083333333333348,0.15625,0.20000000000000004,0.18541666666666667,0.019094065395649323,0.020833333333333287,0.16875000000000004,0.20624999999999996,0.6697142373386745,0.04909601053273295,0.05564858332622313,0.6140656540124514,0.7069110756444292,0.3302857626613253,0.04909601053273291,0.05564858332622313,0.2930889243555707,0.38593434598754844,0.00460368247870167,0.0017261243659615329,0.0019246458255006696,0.0031926846707842,0.0065283283042023394,0.08363897267708459,0.022663668018992694,0.02412865359756964,0.05951031907951495,0.10447814447458474,0.08363882790776954,0.022663468347102218,0.02412850882825459,0.05951031907951495,0.10447771016663958,-4.644221940679496,1.2764174899743006,1.4731704614336403,-6.117392402113136,-3.8680361748420666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.2333333333333333,0.07403898184965357,0.08541666666666667,0.1875,0.31875,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0084125619996485,0.02509112034075487,0.02897272799964412,0.9939164949992119,1.0373852899992926,6.302578512497803,0.15681950212971793,0.18107954999777576,6.211978093745074,6.483658062495579,3
scenario_stress_holdoutfit,rollout_fixed_periodic,0.04218750000000001,8.498374721940739e-18,0.0,0.04218750000000001,0.04218750000000001,160.0,0.0,0.0,160.0,160.0,194.27347692036264,4.122148602332622,4.750992139911972,189.52248478045067,196.90029820708733,0.04218750000000001,8.498374721940739e-18,0.0,0.04218750000000001,0.04218750000000001,0.16875000000000004,3.3993498887762956e-17,0.0,0.16875000000000004,0.16875000000000004,0.16458333333333333,0.0036084391824351644,0.004166666666666707,0.1625,0.16875000000000004,0.16875000000000004,3.3993498887762956e-17,0.0,0.16875000000000004,0.16875000000000004,0.8871256196104732,0.007570717346669722,0.008670163440482659,0.8818225706492303,0.8957957830509559,0.11287438038952674,0.00757071734666984,0.008670163440482978,0.10420421694904376,0.11817742935076962,1.2142092307522665,0.025763428764578905,0.02969370087444978,1.1845155298778167,1.230626863794296,0.16864123271904055,0.02547756619113069,0.027565166769144,0.14595766260459392,0.19620639948818455,0.1607181872458179,0.026095737773146825,0.02749277975206127,0.13629013897544937,0.18821096699787918,-0.8471157402556173,0.019814275782213273,0.021495866195473945,-0.8646497861694895,-0.8256198740601434,0.06874999999999999,0.010825317547305485,0.012500000000000011,0.0625,0.08125,0.93125,0.010825317547305507,0.012500000000000178,0.9187499999999998,0.9375,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8666666666666667,0.007216878364870297,0.008333333333333304,0.8625000000000002,0.875,0.5395833333333334,0.06682922888477269,0.07291666666666663,0.48125,0.6125,0.4604166666666667,0.06682922888477268,0.07291666666666669,0.3875,0.51875,193.29898186633304,2.8715089277182084,3.2653756183329676,190.03360624800007,195.43022265699983,1208.1186366645813,17.946930798238803,20.408597614580913,1187.7100390500004,1221.438891606249,3
scenario_stress_holdoutfit,rollout_joint,0.10833333333333332,0.002386758174456164,0.0026041666666666574,0.10625,0.11093749999999998,160.0,0.0,0.0,160.0,160.0,200.80600695702023,1.691997935840986,1.9521380816296983,198.85386887539053,201.85081243343188,0.10833333333333332,0.002386758174456164,0.0026041666666666574,0.10625,0.11093749999999998,0.4333333333333333,0.009547032697824656,0.01041666666666663,0.425,0.4437499999999999,0.41250000000000003,0.0062500000000000056,0.006250000000000033,0.40625,0.41875,0.4333333333333333,0.009547032697824656,0.01041666666666663,0.425,0.4437499999999999,0.9340974929341797,0.0025267664121324702,0.002651090183962812,0.9314464027502168,0.9364781868918918,0.06590250706582025,0.0025267664121324833,0.002651090183962826,0.06352181310810812,0.06855359724978308,1.2550375434813765,0.010574987099006125,0.012200863010185525,1.242836680471191,1.2615675777089492,0.1112024825282587,0.00933762456381992,0.009972750471559363,0.10266654133044047,0.12117523299981807,0.10426088680662864,0.009291166266556542,0.010081456746407771,0.09604227501902292,0.11434234355303641,-0.5708341083936146,0.005236610653410612,0.00604269701647131,-0.5768768054100859,-0.567621839193049,0.08749999999999998,0.006249999999999999,0.006250000000000019,0.08125,0.09375,0.9125,0.006249999999999978,0.006249999999999978,0.90625,0.9187499999999998,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8958333333333334,0.015728821740147392,0.016666666666666607,0.88125,0.9125,0.4083333333333334,0.029536347664078814,0.03333333333333338,0.375,0.4312500000000001,0.5916666666666667,0.029536347664078803,0.033333333333333326,0.56875,0.625,208.86182740366712,3.3420893959584457,3.714210963666119,205.147616440001,211.62614797499918,1305.3864212729195,20.888058724740283,23.213818522913243,1282.1726027500063,1322.663424843745,3
