scenario,method,num_runs,episode_length_mean,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,outage_prob_mean,outage_prob_ci95,avg_sync_cost_mean,certificate_in_policy_cover_rate_mean,certificate_empirical_cover_rate_mean,certificate_margin_cover_rate_mean,runtime_per_slot_ms_mean,secrecy_gain_vs_periodic,secrecy_gain_vs_fixed_rollout,oracle_secrecy_gap
scenario_stress_holdoutfit,oracle_sync,3,160.0,1.3121016811406496,0.010606466087760724,1.301495215052889,1.318910834798411,0.029166666666666664,0.008333333333333335,0.11041666666666666,1.0,1.0,1.0,1412.9442276000038,0.2910899451817959,0.09789245038838312,0.0
scenario_stress_holdoutfit,rollout_joint,3,160.0,1.2550375434813765,0.012200863010185525,1.242836680471191,1.2615675777089492,0.4083333333333334,0.03333333333333338,0.10833333333333332,1.0,1.0,1.0,1305.3864212729195,0.23402580752252278,0.04082831272911003,0.057064137659273095
scenario_stress_holdoutfit,rollout_fixed_periodic,3,160.0,1.2142092307522665,0.02969370087444978,1.1845155298778167,1.230626863794296,0.5395833333333334,0.07291666666666663,0.04218750000000001,1.0,1.0,1.0,1208.1186366645813,0.19319749479341275,0.0,0.09789245038838312
scenario_stress_holdoutfit,sca_oracle,3,160.0,1.2118002232604648,0.011933797982647265,1.2050450933155694,1.223734021243112,0.8104166666666667,0.010416666666666519,0.0,1.0,1.0,1.0,244.55386172083612,0.19078848730161102,-0.002409007491801729,0.10030145788018485
scenario_stress_holdoutfit,decoupled,3,160.0,1.0210117359588538,0.056963574331278966,0.9640481616275748,1.057565185360906,0.6416666666666667,0.03541666666666676,0.11874999999999998,1.0,1.0,1.0,99.01358486249971,0.0,-0.19319749479341275,0.2910899451817959
scenario_stress_holdoutfit,periodic,3,160.0,1.0210117359588538,0.056963574331278966,0.9640481616275748,1.057565185360906,0.6416666666666667,0.03541666666666676,0.11874999999999998,1.0,1.0,1.0,98.83547560208399,0.0,-0.19319749479341275,0.2910899451817959
scenario_stress_holdoutfit,no_twin,3,160.0,0.95967567150338,0.02273199893378086,0.9381213745947864,0.9824076704371608,0.7020833333333334,0.02083333333333337,0.10520833333333333,0.6291666666666667,0.6291666666666667,0.6291666666666667,1247.438226685415,-0.06133606445547379,-0.25453355924888654,0.35242600963726967
scenario_stress_holdoutfit,security_risk,3,160.0,0.8831789374482989,0.034496456996067515,0.848737995336592,0.9176753944443664,0.7041666666666666,0.027083333333333237,0.03446916914028951,1.0,1.0,1.0,98.961831854164,-0.13783279851055485,-0.3310302933039676,0.4289227436923507
scenario_stress_holdoutfit,aoi_only,3,160.0,0.7710703036289545,0.20551676993871282,0.6608083925302208,0.9765870735676673,0.7145833333333332,0.05833333333333324,0.11874999999999998,1.0,1.0,1.0,99.54395343333242,-0.2499414323298993,-0.44313892712331204,0.5410313775116952
scenario_stress_holdoutfit,rollout_no_sync,3,160.0,0.6670443029660866,0.020150819666579278,0.6468934832995074,0.6865979764470934,0.8229166666666666,0.008333333333333526,0.0,1.0,1.0,1.0,775.9491525874978,-0.3539674329927671,-0.5471649277861799,0.645057378174563
scenario_stress_holdoutfit,security_margin,3,160.0,0.6472565771441282,0.027754221768712894,0.6195023553754153,0.6668411304200283,0.7895833333333333,0.004166666666666541,0.11874999999999998,0.99375,0.99375,0.99375,99.21337858958547,-0.37375515881472554,-0.5669526536081383,0.6648451039965214
scenario_stress_holdoutfit,sca_twin,3,160.0,0.47083688685522657,0.022151139325666036,0.44868574752956053,0.49225391094075494,0.8208333333333333,0.004166666666666541,0.0,1.0,1.0,1.0,247.0760572937479,-0.5501748491036271,-0.7433723438970399,0.841264794285423
scenario_stress_holdoutfit,myopic_greedy_no_sync,3,160.0,0.4702956810387602,0.02216563099951374,0.44813005003924644,0.49121303167129077,0.8166666666666668,0.008333333333333082,0.0,1.0,1.0,1.0,98.08649606458555,-0.5507160549200936,-0.7439135497135063,0.8418060001018894
scenario_stress_holdoutfit,full,3,160.0,0.30893542387387235,0.03625528035748593,0.2726801435163864,0.3316954554717814,0.8562500000000001,0.018749999999999933,0.11874999999999998,0.9895833333333334,0.9895833333333334,0.9895833333333334,98.91296520208168,-0.7120763120849813,-0.9052738068783941,1.0031662572667772
scenario_stress_holdoutfit,random_budgeted,3,160.0,0.00460368247870167,0.0019246458255006696,0.0031926846707842,0.0065283283042023394,1.0,0.0,0.11874999999999998,1.0,1.0,1.0,6.302578512497803,-1.016408053480152,-1.2096055482735648,1.307497998661948
