scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_cost_ci95_low,avg_sync_cost_ci95_high,episode_length_mean,episode_length_std,episode_length_ci95,episode_length_ci95_low,episode_length_ci95_high,total_secrecy_rate_mean,total_secrecy_rate_std,total_secrecy_rate_ci95,total_secrecy_rate_ci95_low,total_secrecy_rate_ci95_high,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,avg_sync_bandwidth_ci95_low,avg_sync_bandwidth_ci95_high,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,sync_request_rate_ci95_low,sync_request_rate_ci95_high,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_sync_applied_ci95_low,avg_sync_applied_ci95_high,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_pending_syncs_ci95_low,avg_pending_syncs_ci95_high,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_quality_ci95_low,avg_twin_quality_ci95_high,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_twin_badness_ci95_low,avg_twin_badness_ci95_high,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_realized_loss_ci95_low,avg_realized_loss_ci95_high,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_margin_gap_ci95_low,avg_margin_gap_ci95_high,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,avg_cert_slack_ci95_low,avg_cert_slack_ci95_high,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certified_safe_rate_ci95_low,certified_safe_rate_ci95_high,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_violation_prob_ci95_low,certificate_violation_prob_ci95_high,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,certificate_cover_rate_ci95_low,certificate_cover_rate_ci95_high,certificate_in_policy_cover_rate_mean,certificate_in_policy_cover_rate_std,certificate_in_policy_cover_rate_ci95,certificate_in_policy_cover_rate_ci95_low,certificate_in_policy_cover_rate_ci95_high,certificate_empirical_cover_rate_mean,certificate_empirical_cover_rate_std,certificate_empirical_cover_rate_ci95,certificate_empirical_cover_rate_ci95_low,certificate_empirical_cover_rate_ci95_high,certificate_margin_cover_rate_mean,certificate_margin_cover_rate_std,certificate_margin_cover_rate_ci95,certificate_margin_cover_rate_ci95_low,certificate_margin_cover_rate_ci95_high,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,prediction_violation_prob_ci95_low,prediction_violation_prob_ci95_high,outage_prob_mean,outage_prob_std,outage_prob_ci95,outage_prob_ci95_low,outage_prob_ci95_high,success_prob_mean,success_prob_std,success_prob_ci95,success_prob_ci95_low,success_prob_ci95_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,runtime_per_slot_ms_ci95_low,runtime_per_slot_ms_ci95_high,num_runs,periodic_avg_secrecy_rate_mean,periodic_outage_prob_mean,secrecy_gain_vs_periodic,outage_gain_vs_periodic
paper_base_holdoutfit,periodic,0.14999999999999997,2.8476619731297836e-17,0.0,0.14999999999999997,0.14999999999999997,120.0,0.0,0.0,120.0,120.0,193.38024289220522,3.1864569713574413,1.4221229826221986,192.04031025835107,194.80236587482742,0.14999999999999997,2.8476619731297836e-17,0.0,0.14999999999999997,0.14999999999999997,0.14999999999999997,2.8476619731297836e-17,0.0,0.14999999999999997,0.14999999999999997,0.13541666666666666,0.0070891359101950034,0.003333333333333327,0.13208333333333333,0.13833333333333334,0.14999999999999997,2.8476619731297836e-17,0.0,0.14999999999999997,0.14999999999999997,0.8779840276598584,0.01559075203952557,0.006667913657053326,0.8713161140028051,0.8840686407337698,0.12201597234014164,0.015590752039525544,0.007189446417579182,0.115702291382748,0.12920541875772082,1.6115020241017102,0.02655380809464534,0.011474629442822515,1.6003044972160072,1.6229766535445327,0.1266895215470359,0.03848729983543494,0.016374631380798255,0.11180993340942696,0.14306415292783414,0.11684629869842347,0.03855494805388888,0.016996855019895396,0.10218177406073185,0.13384315371831887,-2.0797001083830415,0.06439824116407461,0.028031690778238527,-2.10773179916128,-2.0542160192044623,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.73375,0.04600049262385596,0.019583333333333397,0.7149895833333334,0.7533333333333334,0.8912499999999998,0.0119315175527303,0.005416666666666736,0.8862500000000001,0.8966666666666665,0.10875000000000001,0.011931517552730296,0.0050000000000000044,0.10375000000000001,0.11374999999999999,11.957594264750332,0.45124468282202745,0.2048488759726137,11.781373027931496,12.162443140722946,99.64661887291943,3.7603723568502283,1.6612713958337082,98.18082805203294,101.30789026875314,20,1.6115020241017102,0.8912499999999998,0.0,0.0
paper_base_holdoutfit,rollout_joint,0.20177083333333337,0.014905204235571328,0.00645833333333326,0.19552083333333334,0.20822916666666663,120.0,0.0,0.0,120.0,120.0,197.14378835153266,1.7880138857670713,0.7438904793159224,196.39989787221674,197.8799466888914,0.20177083333333337,0.014905204235571328,0.0063541666666666885,0.19541666666666668,0.20802083333333332,0.39250000000000007,0.0059848737204967325,0.0025000000000000577,0.39,0.3950000000000001,0.37,0.00952067617629133,0.004166666666666652,0.36583333333333334,0.37374999999999997,0.39250000000000007,0.0059848737204967325,0.0025000000000000577,0.39,0.3950000000000001,0.9402977292608135,0.0026401953727927317,0.0011103836931087852,0.9391873455677047,0.9413829321986676,0.05970227073918664,0.002640195372792706,0.0011651212350452939,0.05860546697634974,0.06086739197423193,1.642864902929439,0.014900115714725588,0.006558853485106653,1.6363060494443324,1.648902131030528,0.06559222008126898,0.005514966019668854,0.0023207637744012966,0.06327145630686769,0.06790779086387656,0.055470497968796474,0.005660193233652645,0.002459788815532632,0.053051152926965425,0.057930286784329106,-1.7191180312679932,0.020193660435036682,0.008913533337517654,-1.7280315646055109,-1.710990680696667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.79,0.02629677675754687,0.011666666666666603,0.7783333333333334,0.8016666666666665,0.8912499999999998,0.009549425138082216,0.004166666666666985,0.8870833333333333,0.8954166666666667,0.10875000000000001,0.009549425138082202,0.00416666666666668,0.10458333333333333,0.11291666666666667,151.89024194685007,5.927820510184951,2.7108900161812244,149.47590811141623,154.6011319630313,1265.7520162237506,49.39850425154131,21.621281353873655,1246.3394696624096,1287.3732975776243,20,1.6115020241017102,0.8912499999999998,0.031362878827728924,0.0
paper_base_holdoutfit,security_margin,0.23289133681535076,0.0006892314174749116,0.0003157986153498882,0.23257553820000088,0.23316536950176017,120.0,0.0,0.0,120.0,120.0,82.96172129639561,3.3962543392030895,1.4226891539591549,81.53903214243645,84.37709062927719,0.23289133681535076,0.0006892314174749116,0.0002975221955149321,0.23259381461983583,0.2331697806131567,0.27916666666666673,0.015880585079150585,0.0066770833333333335,0.2725000000000001,0.28584375000000006,0.2641666666666667,0.01815704718761009,0.007916666666666627,0.25707291666666665,0.27208333333333334,0.27916666666666673,0.015880585079150585,0.007083333333333275,0.2725000000000001,0.28625,0.34920472832160615,0.0106179170929523,0.004751668643502405,0.34445305967810375,0.3533474554584821,0.6507952716783938,0.010617917092952327,0.004681849342456967,0.6463158668693557,0.6554771210208508,0.6913476774699633,0.028302119493359076,0.01300843731451884,0.6783392401554444,0.7031556265367844,1.7394170894684506,0.029943039698997517,0.013789081001350123,1.7256280084671005,1.751443805277658,1.7309328473026657,0.03190047134057439,0.013967501072566613,1.716965346230099,1.744540907288964,-14.597299976488818,2.597576803797334,1.2324067361630782,-15.829706712651896,-13.59473749142679,0.0125,0.007404360971988653,0.003333333333333334,0.009166666666666667,0.015,0.9875000000000002,0.007404360971988677,0.0033333333333332993,0.9850000000000001,0.9908333333333335,0.9591666666666667,0.03784200766158753,0.0183333333333332,0.9408333333333335,0.9741666666666667,0.9591666666666667,0.03784200766158753,0.018750000000000044,0.9404166666666667,0.9737500000000001,0.9591666666666667,0.03784200766158753,0.016666666666666607,0.9425000000000001,0.9741666666666667,0.9591666666666667,0.03784200766158753,0.01708333333333345,0.9420833333333333,0.9741666666666667,0.9529166666666669,0.024224069756247708,0.01041666666666663,0.9429166666666667,0.9633333333333335,0.8966666666666667,0.008289357652580662,0.003750000000000031,0.8929166666666667,0.9004166666666664,0.10333333333333335,0.008289357652580667,0.0037500000000000033,0.1,0.10708333333333335,12.145478221399935,0.5431898351961014,0.2498365691050637,11.930694785306255,12.395314790505,101.21231851166613,4.526581959967512,2.2052586429384036,99.4199380532719,103.41757715460453,20,1.6115020241017102,0.8912499999999998,-0.9201543466317469,-0.005416666666666958
paper_base_holdoutfit,security_risk,0.03992476346501598,0.0024356111633576554,0.00115045822113468,0.03893835650070679,0.04107522168615066,120.0,0.0,0.0,120.0,120.0,179.9579788103021,9.189405461038326,4.218802950597791,175.73917585970432,183.3071616243028,0.03992476346501598,0.0024356111633576554,0.0011689420134791198,0.038961335924829046,0.0410937054784951,0.1375,0.006340715918772349,0.0029166666666666508,0.135,0.14041666666666666,0.1275,0.006105792475542052,0.0025000000000000022,0.125,0.12999999999999998,0.1375,0.006340715918772349,0.0029166666666666508,0.135,0.14041666666666666,0.7574684382733986,0.013661701154056407,0.006227723870528945,0.7512407144028697,0.7630859666141746,0.24253156172660145,0.013661701154056391,0.006381902170919523,0.23732407632005978,0.24891346389752098,1.4996498234191842,0.07657837884198607,0.036737043026974,1.4629127803922102,1.52833982264688,0.34675096141578954,0.10179111283283929,0.04626807844483266,0.30999072701302954,0.3930190398606222,0.34084079845632254,0.10164927794252045,0.04598044604290291,0.30384576143830233,0.38682124449922545,-2.5775651651588136,0.023941957866190026,0.009893700344512535,-2.5873180589574347,-2.567671464814301,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8387499999999999,0.04723920403288794,0.019999999999999907,0.81875,0.8583333333333334,0.8895833333333332,0.010772433412995743,0.004583333333333162,0.885,0.89375,0.11041666666666668,0.010772433412995733,0.004583333333333342,0.10583333333333336,0.11500000000000002,12.000818962000357,0.7312451114618371,0.34169304579631365,11.745465925207771,12.342512007796671,100.00682468333632,6.093709262181977,2.733844080698944,97.88018410467951,102.74066876403526,20,1.6115020241017102,0.8912499999999998,-0.11185220068252599,0.0016666666666665941
paper_hard_holdoutfit,periodic,0.1571428571428571,2.8476619731297836e-17,0.0,0.1571428571428571,0.1571428571428571,140.0,0.0,0.0,140.0,140.0,179.2480808070222,3.2112949306781826,1.3490667467932838,177.93634263435044,180.5971475538155,0.1571428571428571,2.8476619731297836e-17,0.0,0.1571428571428571,0.1571428571428571,0.1571428571428571,2.8476619731297836e-17,0.0,0.1571428571428571,0.1571428571428571,0.14857142857142855,0.006796094158482208,0.0028571428571428636,0.14571428571428569,0.1514285714285714,0.1571428571428571,2.8476619731297836e-17,0.0,0.1571428571428571,0.1571428571428571,0.7761118057803602,0.0151056189365829,0.006760900043458529,0.7693509057369017,0.7824304915126185,0.22388819421963974,0.015105618936582904,0.0061560945215988205,0.21784300416679772,0.23004428874123856,1.2803434343358728,0.02293782093341558,0.010336303093571031,1.2703887517910764,1.2906797374294439,0.5043023375964168,0.08315782456020203,0.03588024313172916,0.4684220944646877,0.5400648713654113,0.4948482966125255,0.08259283692689416,0.0363447768877887,0.45948901542136295,0.5311930735003142,-2.7633045895709163,0.0646829662360256,0.027867837523402716,-2.791172427094319,-2.736271640513289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7675,0.04257267748079742,0.018571428571428572,0.7489285714285716,0.7860714285714285,0.949642857142857,0.008185221546927605,0.0035714285714284477,0.9464285714285714,0.9532142857142855,0.05035714285714286,0.008185221546927598,0.0035714285714285657,0.04678571428571429,0.05357142857142858,13.704586890450264,0.08810031265610074,0.040110705318637585,13.664476185131626,13.742463571455776,97.88990636035905,0.6292879475435773,0.2842380155832842,97.60566834477576,98.15084939250829,20,1.2803434343358728,0.949642857142857,0.0,0.0
paper_hard_holdoutfit,rollout_joint,0.10321428571428573,0.0020565318641515553,0.0008950892857142873,0.10231919642857144,0.10410714285714287,140.0,0.0,0.0,140.0,140.0,202.0112922389943,1.7829693897094516,0.7955984187065042,201.2851500806363,202.8068906577008,0.10321428571428573,0.0020565318641515553,0.0008928571428571397,0.10232142857142859,0.10401785714285713,0.4128571428571429,0.008226127456606221,0.0035714285714285587,0.40928571428571436,0.41607142857142865,0.38321428571428573,0.009906924527737225,0.004285714285714282,0.37892857142857145,0.3871428571428572,0.4128571428571429,0.008226127456606221,0.0035714285714285587,0.40964285714285714,0.4164285714285715,0.9396857710707375,0.001767146917981883,0.0007687954205815029,0.938916975650156,0.9404444707341327,0.06031422892926247,0.0017671469179818702,0.0007617052695372065,0.05956591757737367,0.061075934198799676,1.4429378017071022,0.012735495640781783,0.005388392410528464,1.4375494092965737,1.4482613742469836,0.08586387079120861,0.005675707917840134,0.002667912242477505,0.08359350947812559,0.08853178303368611,0.07816392165615507,0.006355424895799358,0.0028685405286085486,0.07554207812846725,0.08103246218476362,-2.024051514243056,0.014468852221976369,0.0062030224373645915,-2.0300568754248376,-2.0178484918056916,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8414285714285714,0.022540094363611585,0.010000000000000231,0.8321428571428571,0.8514285714285716,0.9482142857142856,0.008315412165637087,0.0035714285714286698,0.9446428571428569,0.9514285714285714,0.05178571428571429,0.00831541216563709,0.003928571428571427,0.04857142857142857,0.055714285714285716,176.68520105265026,2.148362243534142,0.9228943775662231,175.82098698056288,177.60809543021648,1262.037150376073,15.345444596672479,6.696310747554435,1255.919993779081,1268.7334611236274,20,1.2803434343358728,0.949642857142857,0.16259436737122934,0.0014285714285714457
paper_hard_holdoutfit,security_margin,0.1568591666685852,0.0005425747993178358,0.00023928942049858404,0.15661987724808663,0.1570615320801378,140.0,0.0,0.0,140.0,140.0,68.29577506665746,5.642902990608355,2.4941355764267286,65.90706006134242,70.78991064308418,0.1568591666685852,0.0005425747993178358,0.0002540397765194158,0.1566051268920658,0.15707103304606734,0.17749999999999996,0.008755848130073214,0.00392857142857142,0.17357142857142854,0.18107142857142858,0.16178571428571425,0.01559334871564033,0.006785714285714312,0.15499999999999997,0.16857142857142857,0.17749999999999996,0.008755848130073214,0.00392857142857142,0.17357142857142854,0.18107142857142858,0.3012279071250252,0.008379905655389016,0.0035759520527271493,0.297651955072298,0.3046572086779905,0.6987720928749748,0.008379905655389009,0.003576604989637633,0.6951954878853371,0.7023191366754131,0.4878269647618391,0.040306449932916835,0.018804217418824043,0.470874897472465,0.5066311821806632,1.5165959669906681,0.07993450928556402,0.03616140971326587,1.4804345572774023,1.5492154829945162,1.4978947975471724,0.0758462948725158,0.0336347312887364,1.464260066258436,1.5284583930649347,-25.53601169250651,4.978727544006975,2.217014721279032,-27.75302641378554,-23.620895948672803,0.0035714285714285713,0.005908358513346509,0.002500000000000001,0.0010714285714285715,0.006071428571428572,0.9964285714285716,0.005908358513346486,0.0028571428571428914,0.9935714285714287,0.9989285714285714,0.9907142857142857,0.011376762265964934,0.004999999999999671,0.985714285714286,0.9950000000000001,0.9907142857142857,0.011376762265964934,0.004999999999999893,0.9857142857142858,0.9953571428571429,0.9907142857142857,0.011376762265964934,0.004999999999999893,0.9857142857142858,0.9953571428571429,0.9907142857142857,0.011376762265964934,0.004999999999999893,0.9857142857142858,0.9950000000000001,0.9571428571428571,0.02246850044734427,0.010366071428571488,0.9467767857142856,0.9660714285714285,0.9657142857142856,0.016321159159356575,0.0071428571428573395,0.9589285714285716,0.972857142857143,0.034285714285714294,0.016321159159356554,0.006794642857142867,0.027491071428571427,0.04107142857142858,13.726505383899712,0.07494941110758788,0.034133355961166956,13.692372027938545,13.756494739651203,98.04646702785509,0.5353529364827723,0.24216560084808236,97.804301427007,98.26270245706903,20,1.2803434343358728,0.949642857142857,-0.7925164695740337,-0.016071428571428625
paper_hard_holdoutfit,security_risk,0.038937036188211684,0.0019827607402625055,0.0009215911292502627,0.0381642877905952,0.039858627317461946,140.0,0.0,0.0,140.0,140.0,175.11740460878477,9.13703463471369,4.443785970542223,170.67361863824254,178.56766858392982,0.038937036188211684,0.0019827607402625055,0.0008797198449506591,0.038146793488383325,0.03981675603316234,0.1339285714285714,0.006076402208738578,0.0025089285714285647,0.1314285714285714,0.13643749999999996,0.12178571428571427,0.00490237672252328,0.0021428571428571547,0.11964285714285713,0.12392857142857143,0.1339285714285714,0.006076402208738578,0.0028571428571428636,0.1314285714285714,0.13678571428571426,0.7405609105320995,0.011134015362118891,0.004714447212267769,0.7358464633198317,0.7451447077386181,0.2594390894679006,0.011134015362118905,0.004872040140607492,0.2550966653170262,0.2643111296085081,1.2508386043484625,0.06526453310509778,0.03243861412685978,1.2183999902216027,1.2750259812224058,0.44516646201084875,0.10933627785257881,0.05266940367671086,0.40397338321065335,0.4978358656875596,0.4400438933234039,0.10938984834644765,0.048961600791347704,0.40035689078415515,0.4890054941147516,-2.934866731229302,0.05005138186253734,0.024487093571444074,-2.953753218337934,-2.910379637657858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8703571428571429,0.03872810007950289,0.01749999999999985,0.8557142857142856,0.8878571428571428,0.9432142857142857,0.008506963092233985,0.0035714285714286698,0.939642857142857,0.9467857142857141,0.05678571428571429,0.008506963092234003,0.00392857142857142,0.053214285714285714,0.06071428571428571,13.688230085050145,0.09172972576978737,0.0407680978488596,13.647461987201286,13.727783639479318,97.77307203607246,0.6552123269270533,0.2900481180845418,97.48989678298949,98.063120154157,20,1.2803434343358728,0.949642857142857,-0.02950482998741033,0.006428571428571339
scenario_stress_holdoutfit,periodic,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,160.0,0.0,0.0,160.0,160.0,157.7200325391463,8.854454453099398,4.059350967858791,153.6606815712875,161.53173013085495,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.10874999999999999,0.0065393545472574605,0.0028124999999999956,0.10593750000000002,0.11156249999999998,0.11874999999999998,1.4238309865648918e-17,0.0,0.11874999999999998,0.11874999999999998,0.680385166876763,0.024599995185025134,0.010939246312403395,0.6695660623949796,0.6913244131891664,0.3196148331232371,0.024599995185025144,0.010827937205321048,0.3089907540342611,0.3304427703285581,0.9857502033696642,0.05534034033187122,0.023692504591293573,0.9621169702756369,1.0094427079609578,0.7566669831621384,0.15298420972433174,0.06518090608091431,0.6914860770812241,0.8187683848911438,0.7483013057973137,0.15286510410822202,0.06507166991395885,0.6832296358833548,0.8130839858205624,-2.247185217831052,0.12922040649224326,0.05898349917912382,-2.3061687170101757,-2.194535243021213,0.06218749999999999,0.013215539845993907,0.005937499999999991,0.05625,0.0678125,0.9378125,0.013215539845993904,0.006249999999999867,0.9321875000000001,0.9440624999999999,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8143750000000001,0.031025509453385388,0.013750000000000151,0.8006249999999999,0.8275,0.6434375,0.04351322205285485,0.01875781249999997,0.6249921874999999,0.6621953125,0.3565625,0.04351322205285484,0.018750000000000044,0.33812500000000006,0.37531250000000005,15.767023333349607,0.3318145322080479,0.1744892684160142,15.653962702992981,15.941512601765622,98.54389583343504,2.0738408263002994,1.0100648535089647,97.84979179486376,99.55396068694401,20,0.9857502033696642,0.6434375,0.0,0.0
scenario_stress_holdoutfit,rollout_joint,0.109765625,0.001746928107421708,0.0007812500000000111,0.108984375,0.110546875,160.0,0.0,0.0,160.0,160.0,200.64228806854538,1.6220514387872929,0.6930380878912388,199.95936659154452,201.33532615643662,0.109765625,0.001746928107421708,0.0007031250000000128,0.10906249999999999,0.11046875,0.4390625,0.006987712429686832,0.002812500000000051,0.43624999999999997,0.4418749999999999,0.40218750000000003,0.009353044466347498,0.004062500000000024,0.398125,0.40625,0.4390625,0.006987712429686832,0.0031250000000000444,0.4359375,0.441875,0.9335416645987518,0.001694251925266653,0.0007867329496699105,0.9327549316490819,0.9342414279805856,0.0664583354012484,0.0016942519252666375,0.00074880917814589,0.06574502509617987,0.06720714457939429,1.2540143004284086,0.010137821492420592,0.004327603599972196,1.2496866968284364,1.25825763855862,0.10773043913472988,0.006749845518788534,0.003112059892859162,0.10486249353327523,0.11084249902758904,0.099951062193899,0.007164997659660918,0.0031010618143410412,0.09694069311216899,0.10305212400824004,-0.5830392144069628,0.012937524305686595,0.005736316998934954,-0.5887755314058978,-0.5774897974965936,0.085625,0.010556084551225968,0.004687499999999997,0.08093750000000001,0.09,0.914375,0.010556084551225966,0.004687499999999956,0.9096875000000001,0.9184374999999999,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8881249999999999,0.015953777807020793,0.0068749999999999645,0.8815624999999999,0.8949999999999999,0.429375,0.038318909376304985,0.017187500000000022,0.4131250000000001,0.44656250000000003,0.570625,0.03831890937630499,0.01750781250000011,0.5531171874999999,0.5862499999999999,207.3010025177502,2.2482513255114687,0.9469744590823552,206.37091607150927,208.24797697683255,1295.6312657359388,14.05157078444668,6.116328695591619,1289.5149370403471,1301.429043437094,20,0.9857502033696642,0.6434375,0.2682640970587443,0.2140625
