episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,config_path
120.0,193.4848853091832,0.15,0.15,0.15,0.13333333333333333,0.15,0.8774454862349707,0.12255451376502924,1.6123740442431933,0.10579390746884591,0.09380126599000087,-2.1291798458867532,0.0,1.0,1.0,1.0,1.0,1.0,0.725,0.9,0.1,periodic,62,11.950394724999569,99.58662270832974,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,181.0610312902482,0.03807417603816213,0.03807417603816213,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.769256077008949,0.23074392299105095,1.508841927418735,0.2951483722051801,0.294730566663393,-2.5838300513881576,0.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9083333333333333,0.09166666666666666,security_risk,62,11.93340082800023,99.44500690000193,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,78.08821373810648,0.23333333333333334,0.23333333333333334,0.26666666666666666,0.25833333333333336,0.26666666666666666,0.34352846380747526,0.6564715361925247,0.6507351144842206,1.77164278406513,1.7662903586852527,-15.716036396766855,0.016666666666666666,0.9833333333333333,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.975,0.9083333333333333,0.09166666666666666,security_margin,62,12.25605164999979,102.13376374999825,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,194.99920835037986,0.19583333333333333,0.19583333333333333,0.38333333333333336,0.375,0.38333333333333336,0.9404450876988351,0.059554912301164956,1.624993402919832,0.0656018874712403,0.05535630055256404,-1.732394160216752,0.0,1.0,1.0,1.0,1.0,1.0,0.8083333333333333,0.9,0.1,rollout_joint,62,157.03149585499887,1308.5957987916574,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,189.78900739044977,0.15,0.15,0.15,0.125,0.15,0.850212170425906,0.1497878295740938,1.5815750615870814,0.2145867337465661,0.2043126157347407,-2.1323152708881397,0.0,1.0,1.0,1.0,1.0,1.0,0.6916666666666667,0.875,0.125,periodic,63,12.63600308400055,105.30002570000458,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,183.63481200939674,0.04585638637701682,0.04585638637701682,0.15,0.125,0.15,0.738809482974512,0.2611905170254881,1.5302901000783062,0.3810552211750855,0.3732994761117274,-2.5721849254651654,0.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.125,security_risk,63,12.096676695000497,100.80563912500413,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,83.36647833816119,0.23186501064931755,0.23186501064931755,0.3,0.25833333333333336,0.3,0.35672231127628024,0.6432776887237197,0.6947206528180099,1.7303800634617157,1.7194781339077105,-12.2249427867869,0.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083333333333333,0.9,0.1,security_margin,63,12.20954225800051,101.74618548333758,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,199.07225042403206,0.19791666666666666,0.19791666666666666,0.4,0.36666666666666664,0.4,0.9397590323916408,0.060240967608359126,1.6589354202002673,0.06751897203700469,0.05863791403375768,-1.701942361352351,0.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666667,0.875,0.125,rollout_joint,63,156.30119451099927,1302.509954258327,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,191.58394136436297,0.15,0.15,0.15,0.13333333333333333,0.15,0.8692273754859438,0.13077262451405622,1.5965328447030247,0.1556277932091258,0.14717237232847688,-2.0940257541431904,0.0,1.0,1.0,1.0,1.0,1.0,0.7166666666666667,0.9,0.1,periodic,64,12.252516623000702,102.10430519167251,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
120.0,182.27117375074008,0.03695078974708508,0.03695078974708508,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.7715904398595513,0.2284095601404487,1.518926447922834,0.29460089984996074,0.2930119874002264,-2.53739559935718,0.0,1.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.8916666666666667,0.10833333333333334,security_risk,64,11.995356366000124,99.96130305000104,paper_base_holdoutfit,results/final_2026-05-12/scheme_c_holdout/configs/paper_base_holdoutfit.yaml
