scenario,method,num_runs,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,outage_prob_mean,outage_prob_ci95,avg_sync_cost_mean,certificate_cover_rate_mean,runtime_per_slot_ms_mean,runtime_per_slot_ms_ci95,secrecy_gain_vs_periodic,outage_gain_vs_periodic
paper_base_holdoutfit,rollout_joint,20,1.6521658606483172,0.004986592745754775,0.8854166666666666,0.0033252423734376597,0.19874999999999993,0.9991666666666668,419.0425058483328,2.7023106106112795,0.020845143670803257,0.0016666666666665941
paper_base_holdoutfit,periodic,20,1.631320716977514,0.010954971588209284,0.8870833333333332,0.004185220095940234,0.14999999999999997,1.0,165.156963299166,1.4587687370774671,0.0,0.0
paper_base_holdoutfit,risk_adaptive_hybrid_rollout,20,1.54053987804284,0.020389635908870666,0.8983333333333332,0.0034749395215402587,0.17822916666666666,0.6070833333333334,418.62360308416646,2.6482147446120154,-0.09078083893467381,-0.011249999999999982
paper_base_holdoutfit,security_risk,20,1.514732023543055,0.013864317545253616,0.8904166666666665,0.004317330437349354,0.03694636594429952,1.0,165.00222880000007,1.9150941306848348,-0.11658869343445888,-0.0033333333333332993
paper_base_holdoutfit,security_margin,20,0.7672368875459542,0.03476669958024919,0.8962499999999999,0.0036474356128254667,0.23330587122440422,0.8354166666666666,168.04027751166626,1.3523083463614054,-0.8640838294315597,-0.009166666666666656
paper_hard_holdoutfit,rollout_joint,20,1.4627126704434699,0.006697855471887746,0.9460714285714286,0.004245802881112506,0.10312499999999991,1.0,1763.4035830603575,141.99667378912827,0.16756562851646528,0.0014285714285712237
paper_hard_holdoutfit,risk_adaptive_hybrid_rollout,20,1.395215817978687,0.014853501832725964,0.9557142857142857,0.004720392490371756,0.1345535714285714,0.6953571428571429,1692.493821666071,143.19899667349682,0.10006877605168252,-0.008214285714285952
paper_hard_holdoutfit,periodic,20,1.2951470419270046,0.01170023341927804,0.9474999999999998,0.004573320801987851,0.15714285714285708,1.0,130.24912560249987,12.135697660132427,0.0,0.0
paper_hard_holdoutfit,security_risk,20,1.2769792404901732,0.015065699197986332,0.9432142857142857,0.003440547692018336,0.03770247647376185,0.9996428571428572,129.08811960964354,12.09825852766167,-0.018167801436831388,0.004285714285714115
paper_hard_holdoutfit,security_margin,20,0.5260791610060993,0.018853696609037747,0.9553571428571429,0.004412601571814418,0.15703511247939766,0.9060714285714286,129.6610297657149,12.44251949357329,-0.7690678809209053,-0.007857142857143118
scenario_stress_holdoutfit,rollout_joint,20,1.2670458699950597,0.004242579387786934,1.0,0.0,0.08625000000000002,1.0,399.0398159215624,14.256022399164287,0.2695297783910251,0.0
scenario_stress_holdoutfit,periodic,20,0.9975160916040346,0.019424096074423115,1.0,0.0,0.11874999999999998,1.0,163.22907786281206,1.341519838869015,0.0,0.0
scenario_stress_holdoutfit,security_risk,20,0.9800575871893058,0.03129456614998635,1.0,0.0,0.039080634713079355,0.999375,158.9245397731251,3.938373171565948,-0.017458504414728848,0.0
scenario_stress_holdoutfit,risk_adaptive_hybrid_rollout,20,0.8082889401124735,0.05022830166586026,1.0,0.0,0.11874999999999998,0.7375,284.9508450784373,11.958330006659834,-0.1892271514915611,0.0
scenario_stress_holdoutfit,security_margin,20,0.32281626946359515,0.007546700042953842,1.0,0.0,0.11862350589467112,0.9268750000000001,157.72869492500007,5.847351776587475,-0.6746998221404394,0.0
