method,scan_value,avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob
aoi_only,2.0,0.2333333333333333,0.8587590785477692,0.14124092145223074,2.7026381822012944,0.2111111111111111,0.7888888888888889
aoi_only,4.0,0.20000000000000004,0.9368822601025815,0.06311773989741858,2.7014493095347434,0.20833333333333334,0.7916666666666666
aoi_only,6.0,0.14166666666666666,0.9137448044047449,0.08625519559525509,2.7014934111151354,0.21388888888888888,0.7861111111111111
aoi_only,8.0,0.10833333333333334,0.8910132075236223,0.10898679247637767,2.7011394103502213,0.21388888888888888,0.7861111111111111
aoi_only,10.0,0.08333333333333333,0.8656337915663244,0.13436620843367567,2.702295648608628,0.20555555555555557,0.7944444444444444
security_margin,0.02,0.2333333333333333,0.6454293004093242,0.35457069959067583,2.6969467025842637,0.2111111111111111,0.7888888888888889
security_margin,0.05,0.2333333333333333,0.6430520136894188,0.3569479863105813,2.697697581679565,0.2111111111111111,0.7888888888888889
security_margin,0.1,0.2333333333333333,0.6368250750772404,0.36317492492275955,2.6981083309983536,0.2111111111111111,0.7888888888888889
security_margin,0.2,0.2333333333333333,0.6255819150864327,0.37441808491356743,2.6965161681931575,0.21666666666666667,0.7833333333333333
security_risk,0.35,0.06666666666666667,0.8321171364896589,0.16788286351034112,2.7008150879051507,0.21388888888888888,0.7861111111111111
security_risk,0.45,0.05000000000000001,0.7916031389067495,0.2083968610932505,2.7015954693519064,0.2138888888888889,0.7861111111111111
security_risk,0.55,0.041666666666666664,0.757170460658625,0.242829539341375,2.7011778695343245,0.2027777777777778,0.7972222222222222
security_risk,0.65,0.03333333333333333,0.7155152381700903,0.2844847618299096,2.699425463311595,0.21666666666666667,0.7833333333333333
