avg_sync_cost,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,scenario,perturb_id
0.15,0.14166666666666666,0.15,0.9137132323776098,0.08628676762239025,2.679840938447626,0.00528990961012447,0.0015432684932709254,0.1202853150725084,0.775,0.225,0.8583333333333333,0.5416666666666666,0.225,0.775,periodic,90,0.9133527009998943,7.611272508332452,paper_base,0
0.21666666666666667,0.21666666666666667,0.21666666666666667,0.6452313432346816,0.3547686567653186,2.690211270149919,0.005913625480863531,0.0036126728754722077,-0.2967144336957223,0.31666666666666665,0.6833333333333333,1.0,0.5583333333333333,0.15,0.85,security_margin,90,0.9314367330007371,7.761972775006143,paper_base,0
0.008333333333333333,0.008333333333333333,0.008333333333333333,0.515165726423393,0.484834273576607,2.7123745319935124,0.010587756420405468,-6.640124209030077e-05,-0.8260341088358584,0.06666666666666667,0.9333333333333333,1.0,0.5666666666666667,0.2,0.8,rollout_joint,90,23.957096688000092,199.64247240000077,paper_base,0
0.15,0.14166666666666666,0.15,0.9140335478701876,0.08596645212981233,2.7122366169680134,0.00385610013926565,0.00010658810117486854,0.15693751677325524,0.8666666666666667,0.13333333333333333,0.875,0.5,0.13333333333333333,0.8666666666666667,periodic,90,0.9230968070005474,7.6924733916712285,paper_base,1
0.25833333333333336,0.25,0.25833333333333336,0.694143149339948,0.305856850660052,2.7237566539836635,0.010161579187667332,0.008520529644354088,-0.09927512408013016,0.5,0.5,0.9166666666666666,0.5583333333333333,0.13333333333333333,0.8666666666666667,security_margin,90,0.8974135710013798,7.478446425011498,paper_base,1
0.016666666666666666,0.016666666666666666,0.016666666666666666,0.5529893119725225,0.44701068802747757,2.7503475854398713,0.012861317713759606,0.009471812098668509,-0.5268688933519239,0.35,0.65,0.9916666666666667,0.5916666666666667,0.13333333333333333,0.8666666666666667,rollout_joint,90,24.055931191998752,200.46609326665626,paper_base,1
0.14285714285714285,0.12857142857142856,0.14285714285714285,0.830125545195911,0.16987445480408922,2.562395974881779,0.0037797259837021296,0.0010314961444212543,-0.2039479949646126,0.30714285714285716,0.6928571428571428,0.8785714285714286,0.36428571428571427,0.5285714285714286,0.4714285714285714,periodic,90,1.0600279600002978,7.571628285716413,paper_hard,0
0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5759641698752742,0.4240358301247258,2.56023405332883,0.004960358744592495,0.002165297136722948,-1.1607050047903005,0.014285714285714285,0.9857142857142858,0.9642857142857143,0.32857142857142857,0.5428571428571428,0.45714285714285713,security_margin,90,1.037437212000441,7.41026580000315,paper_hard,0
0.014285714285714285,0.014285714285714285,0.014285714285714285,0.5163741957967681,0.48362580420323187,2.560003062093886,0.024126892886499707,0.009610014450052036,-1.51447529188075,0.0,1.0,0.8714285714285714,0.35714285714285715,0.5142857142857142,0.4857142857142857,rollout_joint,90,28.201492840000355,201.43923457143111,paper_hard,0
0.17142857142857143,0.15714285714285714,0.17142857142857143,0.8965165919364144,0.10348340806358558,2.573243628135239,0.0031024732284725544,1.0255591757516289e-05,-0.14261216047462058,0.5142857142857142,0.4857142857142857,0.8928571428571429,0.32142857142857145,0.44285714285714284,0.5571428571428572,periodic,90,1.0401425669988384,7.429589764277417,paper_hard,1
0.17142857142857143,0.17142857142857143,0.17142857142857143,0.6133175525406447,0.38668244745935537,2.576870556117129,0.007511982948884821,0.0064179566461944546,-0.8758837673070285,0.22142857142857142,0.7785714285714286,0.9857142857142858,0.5,0.42142857142857143,0.5785714285714286,security_margin,90,1.0510398149999673,7.5074272499997665,paper_hard,1
0.007142857142857143,0.007142857142857143,0.007142857142857143,0.5101122896028047,0.4898877103971952,2.58666959731987,0.006420379371438155,-0.0016139659788508398,-1.536016725449996,0.05,0.95,1.0,0.44285714285714284,0.4,0.6,rollout_joint,90,28.044579236999198,200.31842312142285,paper_hard,1
0.10625,0.1,0.10625,0.7810054918492655,0.21899450815073446,2.4600128094291747,0.0045095223511859,-0.0007880103274576416,-0.5059930629676902,0.0,1.0,0.85625,0.20625,0.41875,0.58125,periodic,90,1.179863657000169,7.3741478562510565,scenario_stress,0
0.10625,0.1,0.10625,0.5487985786309411,0.45120142136905894,2.4708013831328204,0.0035811377405108257,-0.007567715087022242,-2.024936507413494,0.0,1.0,0.99375,0.16875,0.44375,0.55625,security_margin,90,1.1834144910008035,7.396340568755022,scenario_stress,0
0.03125,0.025,0.03125,0.6001866901279534,0.39981330987204655,2.4599547696929633,0.010636557842140317,0.004126365587949978,-1.0982691111696221,0.0,1.0,0.89375,0.175,0.4125,0.5875,rollout_joint,90,31.964783772999,199.77989858124374,scenario_stress,0
0.13125,0.11875,0.13125,0.8481255515575785,0.15187444844242154,2.4419250513441892,0.0036256923425097344,-0.0012205009110327638,-0.41189873449176434,0.0,1.0,0.86875,0.2625,0.5625,0.4375,periodic,90,1.1894469580001896,7.434043487501185,scenario_stress,1
