scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,outage_prob_mean,outage_prob_std,outage_prob_ci95,success_prob_mean,success_prob_std,success_prob_ci95,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,num_runs
paper_base,periodic,0.15,0.0,0.0,0.14166666666666666,0.0,0.0,0.15,0.0,0.0,0.9138733901238987,0.00022649725692089093,0.00031390918272627077,0.0861266098761013,0.00022649725692095961,0.0003139091827263659,2.6960387777078196,0.022907203962905458,0.03174776494997985,0.00457300487469506,0.0010138563997737669,0.001405133281441643,0.000824928297222897,0.00101588644764887,0.0014079467842541358,0.13861141592288181,0.025917020368015194,0.035919157666731885,0.8208333333333333,0.06481812160876686,0.08983333333333333,0.17916666666666667,0.06481812160876686,0.08983333333333333,0.8666666666666667,0.011785113019775828,0.016333333333333384,0.5208333333333333,0.029462782549439452,0.04083333333333329,0.17916666666666667,0.06481812160876686,0.08983333333333333,0.8208333333333333,0.06481812160876686,0.08983333333333333,0.9182247540002209,0.00689012342966235,0.009549223880640056,7.65187295000184,0.05741769524718646,0.07957686567200076,2
paper_base,rollout_joint,0.0125,0.005892556509887896,0.008166666666666666,0.0125,0.005892556509887896,0.008166666666666666,0.0125,0.005892556509887896,0.008166666666666666,0.5340775191979578,0.026745313830579022,0.037067113838146974,0.4659224808020423,0.026745313830578946,0.03706711383814687,2.7313610587166917,0.026851003594279596,0.03721359237743174,0.011724537067082538,0.0016076506079739687,0.0022280900674870553,0.004702705428289104,0.006744535333654548,0.009347449073943631,-0.6764515010938912,0.2115417525638248,0.29318191117425574,0.20833333333333331,0.20034692133618845,0.2776666666666666,0.7916666666666667,0.20034692133618848,0.2776666666666667,0.9958333333333333,0.005892556509887875,0.008166666666666638,0.5791666666666666,0.017677669529663705,0.024500000000000022,0.16666666666666669,0.047140452079103175,0.06533333333333333,0.8333333333333334,0.04714045207910316,0.06533333333333331,24.006513939999422,0.06988654799266128,0.09685781391868657,200.0542828333285,0.5823878999388372,0.8071484493223787,2
paper_base,security_margin,0.23750000000000002,0.029462782549439494,0.04083333333333335,0.23333333333333334,0.02357022603955158,0.032666666666666656,0.23750000000000002,0.029462782549439494,0.04083333333333335,0.6696872462873148,0.034585869777115495,0.04793356998316113,0.3303127537126853,0.03458586977711557,0.04793356998316124,2.7069839620667913,0.023720168386346323,0.032874476157069614,0.008037602334265431,0.0030037568722474984,0.004162994632667724,0.006066601259913148,0.003470378802368676,0.004809699633504243,-0.19799477888792624,0.13961067470197552,0.1934905234232803,0.4083333333333333,0.12963624321753373,0.17966666666666667,0.5916666666666667,0.12963624321753373,0.17966666666666667,0.9583333333333333,0.05892556509887899,0.0816666666666667,0.5583333333333333,0.0,0.0,0.14166666666666666,0.01178511301977579,0.016333333333333328,0.8583333333333334,0.011785113019775828,0.016333333333333384,0.9144251520010584,0.02405800856715407,0.033342698759370244,7.62020960000882,0.20048340472628393,0.2778558229947521,2
paper_hard,periodic,0.15714285714285714,0.02020305089104422,0.028000000000000004,0.14285714285714285,0.02020305089104422,0.028000000000000004,0.15714285714285714,0.02020305089104422,0.028000000000000004,0.8633210685661628,0.046945559360283017,0.06506322580569336,0.13667893143383741,0.046945559360283155,0.06506322580569357,2.567819801508509,0.007670449175482068,0.01063070018839106,0.003441099606087342,0.0004788900158001057,0.0006637077001249837,0.0005208758680893853,0.0007221261200112267,0.0010008157416104633,-0.1732800777196166,0.04337098449760909,0.06010911780019218,0.4107142857142857,0.1464721189600705,0.2029999999999999,0.5892857142857143,0.14647211896007054,0.20299999999999996,0.8857142857142857,0.01010152544552215,0.01400000000000006,0.34285714285714286,0.030304576336566292,0.041999999999999954,0.4857142857142857,0.06060915267313267,0.08400000000000003,0.5142857142857142,0.06060915267313267,0.08400000000000003,1.050085263499568,0.01406109623789139,0.01948768514143012,7.5006090249969155,0.10043640169922448,0.1391977510102155,2
paper_hard,rollout_joint,0.010714285714285714,0.005050762722761054,0.006999999999999998,0.010714285714285714,0.005050762722761054,0.006999999999999998,0.010714285714285714,0.005050762722761054,0.006999999999999998,0.5132432426997864,0.004427836332905554,0.006136668070084117,0.4867567573002135,0.004427836332905514,0.0061366680700840615,2.573336329706878,0.01885608788904327,0.026133204521464375,0.015273636128968931,0.012520395777671276,0.017352383244760322,0.003998024235600598,0.007936552673182318,0.010999500820324819,-1.525246008665373,0.01523209375329329,0.02111060489786095,0.025,0.03535533905932738,0.049,0.975,0.03535533905932741,0.049000000000000044,0.9357142857142857,0.09091372900969896,0.12599999999999997,0.4,0.060609152673132625,0.08399999999999998,0.45714285714285713,0.0808122035641768,0.11199999999999992,0.5428571428571428,0.08081220356417686,0.11199999999999997,28.123036038499777,0.11095467274253244,0.1537753309411346,200.87882884642698,0.7925333767323688,1.098395221008096,2
paper_hard,security_margin,0.15714285714285714,0.02020305089104422,0.028000000000000004,0.15714285714285714,0.02020305089104422,0.028000000000000004,0.15714285714285714,0.02020305089104422,0.028000000000000004,0.5946408612079594,0.026412830182939495,0.03660631501206306,0.40535913879204055,0.026412830182939454,0.036606315012063,2.5685523047229797,0.011763783936834877,0.01630377273253267,0.006236170846738658,0.001804270777894832,0.0025005917202064794,0.004291626891458702,0.003007084377224759,0.004167606319282076,-1.0182943860486646,0.20139902845036567,0.2791248127336065,0.11785714285714285,0.14647211896007054,0.20299999999999996,0.8821428571428571,0.1464721189600706,0.20300000000000004,0.9750000000000001,0.015152288168283186,0.021000000000000033,0.41428571428571426,0.12121830534626529,0.168,0.4821428571428571,0.08586296628693789,0.11899999999999995,0.5178571428571429,0.08586296628693796,0.11900000000000005,1.0442385135002041,0.009618492822753606,0.013330550939535895,7.458846525001459,0.06870352016252532,0.09521822099668435,2
scenario_stress,periodic,0.11875,0.01767766952966369,0.0245,0.109375,0.013258252147247759,0.01837499999999999,0.11875,0.01767766952966369,0.0245,0.814565521703422,0.047461049373394106,0.06577765851414677,0.185434478296578,0.04746104937339403,0.06577765851414666,2.450968930386682,0.01278997639835499,0.01772600292328571,0.004067607346847817,0.0006249621925510818,0.0008661534085026422,-0.0010042556192452028,0.00030581702444529616,0.00042384077190361967,-0.45894589872972724,0.06653473773652163,0.09221244190640733,0.0,0.0,0.0,1.0,0.0,0.0,0.8625,0.00883883476483189,0.012250000000000063,0.234375,0.03977475644174331,0.055125000000000014,0.490625,0.1016465997955662,0.140875,0.509375,0.10164659979556624,0.14087500000000003,1.1846553075001793,0.006776417123266376,0.00939163498002017,7.404095671876121,0.04235260702041485,0.058697718625126065,2
scenario_stress,rollout_joint,0.03125,0.0,0.0,0.025,0.0,0.0,0.03125,0.0,0.0,0.5919389457092186,0.011664072015961868,0.016165579060720362,0.4080610542907814,0.01166407201596179,0.016165579060720258,2.4516763007199605,0.011707523097305545,0.016225799187085648,0.009424391886104635,0.0017142615348726097,0.002375845273829936,0.0028264865496707304,0.0018383065653790073,0.0025477629150273246,-1.1982304344008083,0.14136665902630446,0.1959241935331252,0.0,0.0,0.0,1.0,0.0,0.0,0.90625,0.017677669529663625,0.024499999999999914,0.16875,0.008838834764831832,0.012249999999999981,0.48125,0.09722718241315033,0.13475000000000006,0.51875,0.09722718241315029,0.13474999999999998,31.95581775699884,0.012679861427878407,0.01757339136031078,199.72386098124275,0.07924913392424004,0.10983369600194236,2
scenario_stress,security_margin,0.11875,0.01767766952966369,0.0245,0.1125,0.017677669529663684,0.024499999999999994,0.11875,0.01767766952966369,0.0245,0.5554195104648953,0.009363411595125848,0.0129770263945503,0.44458048953510465,0.009363411595125928,0.01297702639455041,2.460510314676617,0.01455376858207283,0.02017049417415871,0.004457424348854579,0.0012392564060456556,0.001717521752353755,-0.0063318556787200515,0.0017477691364073467,0.002422284440272294,-1.9384348706913235,0.12233178781996437,0.16954320797545458,0.0,0.0,0.0,1.0,0.0,0.0,0.99375,0.0,0.0,0.19687500000000002,0.039774756441743296,0.05512499999999999,0.515625,0.10164659979556624,0.14087500000000003,0.484375,0.10164659979556624,0.14087500000000003,1.1822685320003075,0.001620630760425069,0.0022460796409723115,7.389178325001922,0.01012894225265668,0.014037997756076946,2
