scenario,method,num_runs,episode_length_mean,avg_secrecy_rate_mean,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,outage_prob_mean,avg_sync_cost_mean,certificate_cover_rate_mean,certificate_empirical_cover_rate_mean,certificate_margin_cover_rate_mean,runtime_per_slot_ms_mean,secrecy_gain_vs_periodic,secrecy_gap_vs_rollout
paper_base,sca_oracle,5,120.0,1.6708000024932137,0.010620958120665325,1.6601790443725484,1.6785357177936433,0.8866666666666667,0.14875,0.6666666666666666,0.6666666666666666,0.6666666666666666,295.2422304450025,0.06524983296840481,-0.025277467000937026
paper_base,rollout_joint,5,120.0,1.6455225354922767,0.01208624807367209,1.6334362874186046,1.65576407889499,0.8899999999999999,0.19541666666666668,0.24500000000000002,0.24500000000000002,0.24500000000000002,1407.897205885003,0.03997236596746778,0.0
paper_base,sca_twin,5,120.0,1.6224071785213627,0.017018671944653452,1.6058855459204522,1.6394258504660162,0.8866666666666667,0.14291666666666666,0.30333333333333334,0.30333333333333334,0.30333333333333334,290.40844860333436,0.016857008996553846,0.023115356970913936
paper_base,periodic,5,120.0,1.605550169524809,0.012187025378246341,1.5933631441465625,1.6177024458130067,0.89,0.15,0.33666666666666667,0.33666666666666667,0.33666666666666667,111.77877138333466,0.0,0.03997236596746778
paper_hard,sca_oracle,5,140.0,1.4878805319237352,0.00983010674237983,1.4780504251813553,1.4967614535659106,0.9514285714285714,0.07464285714285715,0.5771428571428572,0.5771428571428572,0.5771428571428572,288.59662168428775,0.1928198781460011,-0.03892856017662094
paper_hard,rollout_joint,5,140.0,1.4489519717471142,0.0120277194528835,1.4369242522942307,1.4589682324921287,0.9457142857142857,0.10142857142857145,0.18,0.18,0.18,1424.0702874628576,0.15389131796938016,0.0
paper_hard,sca_twin,5,140.0,1.4442391976885929,0.00788501734811442,1.4365050355098212,1.4521242150367073,0.9485714285714286,0.08035714285714286,0.19285714285714287,0.19285714285714287,0.19285714285714287,278.397150552854,0.14917854391085883,0.00471277405852133
paper_hard,periodic,5,140.0,1.295060653777734,0.021462274522955793,1.2735983792547783,1.313817869497506,0.9457142857142857,0.15714285714285714,0.24,0.24,0.24,110.21128508714226,0.0,0.15389131796938016
scenario_stress,rollout_joint,5,160.0,1.2541768654169518,0.010529237808340142,1.2436476276086117,1.2641771313807322,1.0,0.1109375,0.11374999999999999,0.11374999999999999,0.11374999999999999,1469.2322157137482,0.2571860457666939,0.0
scenario_stress,sca_oracle,5,160.0,1.2149959744768979,0.007620224407072662,1.2078458072118607,1.2226161988839706,1.0,0.0,0.9650000000000001,0.9650000000000001,0.9650000000000001,268.3034577437502,0.21800515482663996,0.03918089094005395
scenario_stress,periodic,5,160.0,0.9969908196502579,0.03267533155290847,0.9643154880973495,1.0286035313722075,1.0,0.11875,0.20249999999999999,0.20249999999999999,0.20249999999999999,110.39954496000064,0.0,0.2571860457666939
scenario_stress,sca_twin,5,160.0,0.4652279776610631,0.013006759403057178,0.454176102399854,0.4782347370641203,1.0,0.0,0.62,0.62,0.62,277.9607557475015,-0.5317628419891949,0.7889488877558888
