scenario,method,avg_sync_cost_mean,avg_sync_cost_std,avg_sync_cost_ci95,avg_sync_cost_ci95_low,avg_sync_cost_ci95_high,episode_length_mean,episode_length_std,episode_length_ci95,episode_length_ci95_low,episode_length_ci95_high,total_secrecy_rate_mean,total_secrecy_rate_std,total_secrecy_rate_ci95,total_secrecy_rate_ci95_low,total_secrecy_rate_ci95_high,avg_sync_bandwidth_mean,avg_sync_bandwidth_std,avg_sync_bandwidth_ci95,avg_sync_bandwidth_ci95_low,avg_sync_bandwidth_ci95_high,sync_request_rate_mean,sync_request_rate_std,sync_request_rate_ci95,sync_request_rate_ci95_low,sync_request_rate_ci95_high,avg_sync_applied_mean,avg_sync_applied_std,avg_sync_applied_ci95,avg_sync_applied_ci95_low,avg_sync_applied_ci95_high,avg_pending_syncs_mean,avg_pending_syncs_std,avg_pending_syncs_ci95,avg_pending_syncs_ci95_low,avg_pending_syncs_ci95_high,avg_twin_quality_mean,avg_twin_quality_std,avg_twin_quality_ci95,avg_twin_quality_ci95_low,avg_twin_quality_ci95_high,avg_twin_badness_mean,avg_twin_badness_std,avg_twin_badness_ci95,avg_twin_badness_ci95_low,avg_twin_badness_ci95_high,avg_secrecy_rate_mean,avg_secrecy_rate_std,avg_secrecy_rate_ci95,avg_secrecy_rate_ci95_low,avg_secrecy_rate_ci95_high,avg_realized_loss_mean,avg_realized_loss_std,avg_realized_loss_ci95,avg_realized_loss_ci95_low,avg_realized_loss_ci95_high,avg_margin_gap_mean,avg_margin_gap_std,avg_margin_gap_ci95,avg_margin_gap_ci95_low,avg_margin_gap_ci95_high,avg_cert_slack_mean,avg_cert_slack_std,avg_cert_slack_ci95,avg_cert_slack_ci95_low,avg_cert_slack_ci95_high,certified_safe_rate_mean,certified_safe_rate_std,certified_safe_rate_ci95,certified_safe_rate_ci95_low,certified_safe_rate_ci95_high,certificate_violation_prob_mean,certificate_violation_prob_std,certificate_violation_prob_ci95,certificate_violation_prob_ci95_low,certificate_violation_prob_ci95_high,certificate_cover_rate_mean,certificate_cover_rate_std,certificate_cover_rate_ci95,certificate_cover_rate_ci95_low,certificate_cover_rate_ci95_high,certificate_empirical_cover_rate_mean,certificate_empirical_cover_rate_std,certificate_empirical_cover_rate_ci95,certificate_empirical_cover_rate_ci95_low,certificate_empirical_cover_rate_ci95_high,certificate_margin_cover_rate_mean,certificate_margin_cover_rate_std,certificate_margin_cover_rate_ci95,certificate_margin_cover_rate_ci95_low,certificate_margin_cover_rate_ci95_high,prediction_violation_prob_mean,prediction_violation_prob_std,prediction_violation_prob_ci95,prediction_violation_prob_ci95_low,prediction_violation_prob_ci95_high,outage_prob_mean,outage_prob_std,outage_prob_ci95,outage_prob_ci95_low,outage_prob_ci95_high,success_prob_mean,success_prob_std,success_prob_ci95,success_prob_ci95_low,success_prob_ci95_high,runtime_sec_mean,runtime_sec_std,runtime_sec_ci95,runtime_sec_ci95_low,runtime_sec_ci95_high,runtime_per_slot_ms_mean,runtime_per_slot_ms_std,runtime_per_slot_ms_ci95,runtime_per_slot_ms_ci95_low,runtime_per_slot_ms_ci95_high,num_runs
paper_base,periodic,0.15,0.0,0.0,0.15,0.15,120.0,0.0,0.0,120.0,120.0,192.66602034297702,1.8972599159883259,1.4624430453895059,191.20357729758751,194.1242934975608,0.15,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.15,0.15,0.13166666666666665,0.003726779962499649,0.003333333333333327,0.12833333333333333,0.13333333333333333,0.15,0.0,0.0,0.15,0.15,0.8680134550778572,0.01129560757848567,0.009767779119114195,0.858245675958743,0.8753021872747215,0.13198654492214276,0.01129560757848572,0.009767779119114112,0.12469781272527827,0.14175432404125687,1.605550169524809,0.01581049929990271,0.012187025378246341,1.5933631441465625,1.6177024458130067,0.15167729654016965,0.03470142850338493,0.028286808041080108,0.12339048849908954,0.1779070902132709,0.14129299941152576,0.034790748200717994,0.03017603859961067,0.11111696081191509,0.167069220445225,-0.8864784596833392,0.027711592201205983,0.019967615802183092,-0.9064460754855223,-0.8666783943803917,0.095,0.01728036779443977,0.01333333333333335,0.08166666666666667,0.10833333333333335,0.905,0.017280367794439772,0.01333333333333342,0.8916666666666666,0.9183333333333333,0.33666666666666667,0.03935239651039199,0.030000000000000027,0.3066666666666667,0.3666666666666667,0.33666666666666667,0.03935239651039199,0.02999999999999997,0.3066666666666667,0.36666666666666664,0.33666666666666667,0.03935239651039199,0.02999999999999997,0.3066666666666667,0.36666666666666664,0.6983333333333334,0.04503085362035431,0.036666666666666625,0.6616666666666667,0.7316666666666667,0.89,0.010865337342004433,0.008333333333333415,0.8816666666666666,0.8983333333333334,0.11000000000000001,0.010865337342004412,0.00833333333333336,0.10166666666666666,0.11833333333333333,13.41345256600016,0.32509005275832614,0.25490416040011077,13.15854840560005,13.66835672640027,111.77877138333466,2.7090837729860495,2.1249788249997295,109.65379255833493,113.90297272000225,5
paper_base,rollout_joint,0.19541666666666668,0.0117297402168827,0.009583333333333305,0.18666666666666668,0.205,120.0,0.0,0.0,120.0,120.0,197.4627042590733,1.7912662748817265,1.4961520119368856,195.9665522471364,198.69275092287467,0.19541666666666668,0.0117297402168827,0.009583333333333305,0.18666666666666668,0.205,0.38666666666666666,0.0045643546458763685,0.003333333333333355,0.38333333333333336,0.39,0.3666666666666667,0.008333333333333331,0.00666666666666671,0.36,0.37333333333333335,0.38666666666666666,0.0045643546458763685,0.003333333333333355,0.38333333333333336,0.39,0.9397633631205897,0.0019177428796265964,0.0016981746148028165,0.9380651885057869,0.941114695882977,0.06023663687941031,0.0019177428796265637,0.001782032160150139,0.05892459602859508,0.06201866903956045,1.6455225354922767,0.014927218957347721,0.01208624807367209,1.6334362874186046,1.65576407889499,0.06565395424445922,0.005890918120719519,0.004862303209051844,0.061419604157826414,0.07051625745351106,0.05713405819948432,0.004492813873510979,0.0039931129396704595,0.05399293211503096,0.06112717113915478,-0.9166606761461807,0.014747246096335051,0.011979535946999964,-0.9286402120931807,-0.9059668335874141,0.09333333333333334,0.012360330811826107,0.009999999999999995,0.08333333333333334,0.10166666666666666,0.9066666666666666,0.012360330811826102,0.010000000000000009,0.8983333333333334,0.9166666666666666,0.24500000000000002,0.04915960401250877,0.03666666666666668,0.20833333333333334,0.2816666666666667,0.24500000000000002,0.04915960401250877,0.04000000000000001,0.20500000000000002,0.2816666666666667,0.24500000000000002,0.04915960401250877,0.03666666666666668,0.20833333333333334,0.2816666666666667,0.79,0.036514837167011066,0.029999999999999916,0.7616666666666666,0.82,0.8899999999999999,0.014907119849998603,0.011666666666666825,0.8783333333333333,0.9016666666666667,0.11000000000000001,0.014907119849998597,0.011666666666666672,0.09833333333333334,0.12166666666666667,168.94766470620033,3.0435526013357856,2.630590775800016,167.04867919860044,171.57825548200034,1407.897205885003,25.36293834446486,21.921589798333343,1388.8527128300032,1429.8187956833362,5
paper_base,sca_oracle,0.14875,0.011655500608916134,0.010000000000000009,0.1404166666666667,0.15875,120.0,0.0,0.0,120.0,120.0,200.49600029918562,1.4553243270548613,1.2745149744797857,199.22148532470584,201.4242861352372,0.14875,0.011655500608916134,0.010000000000000009,0.1404166666666667,0.15875,0.215,0.006972166887783962,0.005000000000000032,0.21000000000000002,0.22000000000000003,0.20166666666666666,0.006972166887783962,0.005000000000000032,0.19666666666666666,0.2066666666666667,0.215,0.006972166887783962,0.005000000000000032,0.21000000000000002,0.22000000000000003,0.8863225675132576,0.0019243813893207755,0.0014751925080729311,0.8848473750051846,0.8877678211056222,0.11367743248674236,0.00192438138932075,0.0014983476267564355,0.11225533401306124,0.1151757801134988,1.6708000024932137,0.012127702725457205,0.010620958120665325,1.6601790443725484,1.6785357177936433,0.010360802865808705,0.004093147721174501,0.0033395615555675048,0.0076436025421057156,0.01370036442137621,-0.00436552764585481,0.006082170574191118,0.004835584970213664,-0.008913507683792869,0.00047005732435885457,-0.9630169181058686,0.014537552569487648,0.01153500263017615,-0.9745519207360448,-0.9526156413400702,0.07333333333333333,0.016029486718059448,0.013333333333333336,0.06,0.08499999999999999,0.9266666666666665,0.016029486718059448,0.01333333333333353,0.915,0.9400000000000001,0.6666666666666666,0.04124789556921525,0.030000000000000027,0.6366666666666666,0.6966666666666667,0.6666666666666666,0.04124789556921525,0.033333333333333326,0.635,0.7,0.6666666666666666,0.04124789556921525,0.033333333333333326,0.6366666666666666,0.7,0.6,0.02429563289518876,0.021666666666666723,0.5850000000000001,0.6216666666666667,0.8866666666666667,0.00950146187582617,0.008333333333333193,0.8800000000000001,0.8949999999999999,0.11333333333333333,0.009501461875826147,0.008333333333333318,0.10500000000000001,0.12,35.42906765340031,1.3081507421244438,0.9937553555999372,34.43531229780037,36.42282300900024,295.2422304450025,10.901256184370357,8.956665234998866,286.28556521000365,303.52352507500194,5
paper_base,sca_twin,0.14291666666666666,0.004564354645876383,0.003333333333333355,0.13958333333333334,0.14625000000000002,120.0,0.0,0.0,120.0,120.0,194.68886142256355,2.633335399369967,2.171053654035404,192.7062655104543,196.85991507659895,0.14291666666666666,0.004564354645876383,0.003333333333333355,0.13958333333333334,0.14625000000000002,0.23666666666666666,0.004564354645876383,0.003333333333333327,0.23333333333333334,0.24,0.22333333333333333,0.006972166887783962,0.005000000000000032,0.21833333333333335,0.22833333333333336,0.23666666666666666,0.004564354645876383,0.003333333333333327,0.23333333333333334,0.24,0.8792075009820749,0.0054925448880948895,0.004922190057054743,0.8742853109250202,0.882966968132037,0.12079249901792503,0.005492544888094902,0.004230742399667378,0.11687576824068888,0.1250232414175924,1.6224071785213627,0.02194446166141637,0.017018671944653452,1.6058855459204522,1.6394258504660162,0.12753990864372314,0.026462902526610488,0.022315404858828047,0.11062554557724502,0.14985531350255119,0.11562404174180548,0.024215742166947322,0.020501706932676958,0.09915599712187151,0.13612574867448243,-0.9013994461188425,0.017007855255261467,0.01377583989779596,-0.9142789745125354,-0.8876236062210465,0.09666666666666665,0.009501461875826154,0.008333333333333318,0.08833333333333333,0.10333333333333335,0.9033333333333333,0.009501461875826116,0.008333333333333415,0.8966666666666667,0.9116666666666667,0.30333333333333334,0.045491146879853936,0.034999999999999976,0.26833333333333337,0.3383333333333333,0.30333333333333334,0.045491146879853936,0.03500000000000003,0.26833333333333337,0.3383333333333334,0.30333333333333334,0.045491146879853936,0.03500000000000003,0.26833333333333337,0.3383333333333334,0.7383333333333333,0.04510789534241453,0.03499999999999992,0.7033333333333334,0.7733333333333332,0.8866666666666667,0.00950146187582617,0.008333333333333193,0.8800000000000001,0.8949999999999999,0.11333333333333336,0.009501461875826149,0.006666666666666696,0.10666666666666666,0.12000000000000002,34.849013832400125,1.5462926605630622,1.1938548603999166,33.65515897200021,36.04286869280004,290.40844860333436,12.885772171358832,9.948790503332589,280.4596581000018,299.74215007833357,5
paper_hard,periodic,0.15714285714285714,0.0,0.0,0.15714285714285714,0.15714285714285714,140.0,0.0,0.0,140.0,140.0,181.3084915288828,3.642457405786213,3.0634281734550086,178.2450633554278,183.9345017296508,0.15714285714285714,0.0,0.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.0,0.0,0.15714285714285714,0.15714285714285714,0.15285714285714286,0.003912303982179759,0.0028571428571428636,0.15,0.15571428571428572,0.15714285714285714,0.0,0.0,0.15714285714285714,0.15714285714285714,0.7844763473206365,0.0113741548693686,0.009321010228284465,0.7751553370923521,0.7922684775762526,0.21552365267936344,0.011374154869368687,0.009375688640243685,0.20778620083570648,0.22489934131960712,1.295060653777734,0.02601755289847299,0.021462274522955793,1.2735983792547783,1.313817869497506,0.46880424190305164,0.06667344428220028,0.05545588935579887,0.42548849238039327,0.5242601312588505,0.4600405090187973,0.06501762205682028,0.05468865426737096,0.41624678467623644,0.5147291632861682,-1.0591863517666287,0.031940254647424865,0.026112421112101547,-1.083334945161275,-1.0330739306545271,0.05714285714285715,0.037457458863219696,0.03285714285714285,0.03428571428571429,0.09,0.9428571428571428,0.03745745886321971,0.03428571428571425,0.9085714285714286,0.9657142857142856,0.24,0.04121868013215288,0.032857142857142835,0.20714285714285716,0.27142857142857146,0.24,0.04121868013215288,0.0357142857142857,0.20857142857142857,0.2757142857142857,0.24,0.04121868013215288,0.03285714285714286,0.21142857142857144,0.27285714285714285,0.7885714285714285,0.0447783657675928,0.03571428571428592,0.7542857142857142,0.8242857142857144,0.9457142857142857,0.006388765649999377,0.005714285714285672,0.9400000000000001,0.95,0.054285714285714284,0.006388765649999396,0.005714285714285713,0.05,0.06,15.429579912199916,0.8710579589137732,0.7260897327996645,14.782749394400161,16.15566964499958,110.21128508714226,6.221842563669806,4.573884607569866,105.81389827857234,114.78516969471212,5
paper_hard,rollout_joint,0.10142857142857145,0.0014940357616679918,0.0010714285714285982,0.10035714285714285,0.10250000000000001,140.0,0.0,0.0,140.0,140.0,202.853276044596,1.9692088339282467,1.412778306265011,201.45099954029396,204.266054350861,0.10142857142857145,0.0014940357616679918,0.0010714285714285982,0.10035714285714285,0.10250000000000001,0.4057142857142858,0.005976143046671967,0.004285714285714393,0.4014285714285714,0.41000000000000003,0.38571428571428573,0.008748177652797057,0.007142857142857173,0.37857142857142856,0.3914285714285714,0.4057142857142858,0.005976143046671967,0.004285714285714393,0.4014285714285714,0.41000000000000003,0.9402464623327838,0.0006853748379052604,0.0005422064660745018,0.9397042558667092,0.940759466454421,0.05975353766721632,0.0006853748379052433,0.0005422064660745365,0.05921133120114178,0.060284953229612345,1.4489519717471142,0.014065777385201737,0.0120277194528835,1.4369242522942307,1.4589682324921287,0.08532759036530752,0.004546884920090406,0.0034702330437679785,0.08185735732153955,0.0887978234090755,0.07745002674401336,0.0051630008013964935,0.004472820784898662,0.07371905147612069,0.08192284752891202,-1.2379160622080145,0.015289596612111855,0.013070192775907374,-1.2507053164290771,-1.2248458694321072,0.037142857142857144,0.013739560044050959,0.011428571428571427,0.027142857142857142,0.04857142857142857,0.9628571428571429,0.013739560044050953,0.011428571428571455,0.9514285714285714,0.9728571428571428,0.18,0.025455042401722087,0.02146428571428574,0.15853571428571425,0.2,0.18,0.025455042401722087,0.021428571428571463,0.15857142857142853,0.2,0.18,0.025455042401722087,0.021428571428571463,0.15857142857142853,0.2,0.8428571428571429,0.031943828249996954,0.02571428571428569,0.8171428571428573,0.8685714285714285,0.9457142857142857,0.009583148474999064,0.008571428571428563,0.9371428571428572,0.95,0.054285714285714284,0.009583148474999097,0.008571428571428577,0.05,0.06285714285714286,199.36984024480006,3.191675283022311,2.655434392000103,196.98609692320025,202.02527463680016,1424.0702874628576,22.79768059301653,18.967388514286313,1407.0435494514302,1443.0376759771439,5
paper_hard,sca_oracle,0.07464285714285715,0.0007985957062499221,0.0007142857142857229,0.07392857142857143,0.075,140.0,0.0,0.0,140.0,140.0,208.30327446932293,1.6543762024831965,1.3762149439332063,206.92705952538972,209.54660349922747,0.07464285714285715,0.0007985957062499221,0.0007142857142857229,0.07392857142857143,0.075,0.2985714285714286,0.0031943828249996883,0.0028571428571428914,0.2957142857142857,0.3,0.27714285714285714,0.009313146293146656,0.008571428571428563,0.2714285714285714,0.2857142857142857,0.2985714285714286,0.0031943828249996883,0.0028571428571428914,0.2957142857142857,0.3,0.9316386796143871,0.0025872155931783427,0.002380897381425773,0.9299856300716971,0.9340195769958128,0.0683613203856128,0.002587215593178434,0.0020192893377465326,0.06634203104786626,0.07001436992830286,1.4878805319237352,0.01181697287487991,0.00983010674237983,1.4780504251813553,1.4967614535659106,0.012851684161257001,0.003852471505126576,0.0030353150748186775,0.009816369086438324,0.01565750701526729,-0.011319836247444759,0.011642312932594632,0.00973418490259123,-0.01882689216250803,-0.001585651344853528,-1.2927777087488053,0.018424837737114758,0.01489017309811147,-1.3075152541183164,-1.2778875356506938,0.03714285714285714,0.02224630214628205,0.019999999999999993,0.017142857142857144,0.05142857142857142,0.9628571428571429,0.022246302146282062,0.020000000000000018,0.9485714285714286,0.9828571428571429,0.5771428571428572,0.01277753129999881,0.01000000000000012,0.5671428571428571,0.5871428571428572,0.5771428571428572,0.01277753129999881,0.01000000000000012,0.5671428571428571,0.5871428571428572,0.5771428571428572,0.01277753129999881,0.010000000000000009,0.5671428571428572,0.5871428571428572,0.6842857142857143,0.02390457218668788,0.018571428571428572,0.6657142857142857,0.7014285714285714,0.9514285714285714,0.005976143046672,0.004285714285714337,0.9471428571428572,0.9557142857142857,0.04857142857142858,0.005976143046671968,0.0042857142857142955,0.04428571428571428,0.05285714285714286,40.40352703580029,1.711622920914605,1.3181096796000915,39.16924991479973,41.72163671540038,288.59662168428775,12.225878006532888,9.415069140000696,279.7803565342838,298.01169082428845,5
paper_hard,sca_twin,0.08035714285714286,0.0012626906806902638,0.0010714285714285843,0.07928571428571428,0.08142857142857143,140.0,0.0,0.0,140.0,140.0,202.19348767640298,1.4328998057405535,1.0827827050280234,201.11070497137501,203.276270381431,0.08035714285714286,0.0012626906806902638,0.0010714285714285843,0.07928571428571428,0.08142857142857143,0.32142857142857145,0.005050762722761055,0.004285714285714337,0.3171428571428571,0.32571428571428573,0.2942857142857143,0.007824607964359525,0.007142857142857173,0.2885714285714286,0.3014285714285715,0.32142857142857145,0.005050762722761055,0.004285714285714337,0.3171428571428571,0.32571428571428573,0.928290493520689,0.003227007511561177,0.002423068675785789,0.9258674248449033,0.9305668695833533,0.07170950647931103,0.0032270075115612643,0.0027515990379837763,0.06943313041664655,0.0744611055172948,1.4442391976885929,0.010234998612432572,0.00788501734811442,1.4365050355098212,1.4521242150367073,0.08514267399273688,0.005213069127794258,0.0038513497238286676,0.08129132426890821,0.08893166680185215,0.07609194058138055,0.003062964574390765,0.002452407187910524,0.07363953339347003,0.07841229241586724,-1.2514771446452342,0.011175505686003813,0.009035127102396512,-1.2599374810088264,-1.2424420175428377,0.027142857142857142,0.018488827293635407,0.01428571428571429,0.012857142857142855,0.04142857142857143,0.972857142857143,0.018488827293635424,0.014285714285714457,0.9585714285714285,0.9871428571428572,0.19285714285714287,0.029880715233359837,0.021428571428571436,0.17142857142857143,0.21428571428571427,0.19285714285714287,0.029880715233359837,0.021428571428571436,0.17142857142857143,0.21428571428571427,0.19285714285714287,0.029880715233359837,0.021428571428571436,0.17142857142857143,0.21428571428571427,0.8300000000000001,0.028302303937369946,0.0257142857142858,0.8042857142857143,0.8514285714285716,0.9485714285714286,0.005976143046671986,0.004285714285714337,0.9442857142857143,0.9528571428571428,0.05142857142857142,0.005976143046671966,0.0042857142857142955,0.04714285714285714,0.055714285714285716,38.97560107739955,1.1375947794344627,0.8889181672002451,38.10029993359967,39.8645192445998,278.397150552854,8.12567699596045,6.34941548000171,272.14499952571197,284.7465660328557,5
scenario_stress,periodic,0.11875,0.0,0.0,0.11875,0.11875,160.0,0.0,0.0,160.0,160.0,159.51853114404125,6.512848606513832,5.313928585131492,154.20460255890976,164.5765650195532,0.11875,0.0,0.0,0.11875,0.11875,0.11875,0.0,0.0,0.11875,0.11875,0.11125,0.006846531968814572,0.006249999999999992,0.10500000000000001,0.11625,0.11875,0.0,0.0,0.11875,0.11875,0.6803929344977556,0.02345552482600258,0.020274295734882708,0.6601186387628729,0.6971815648818918,0.3196070655022444,0.0234555248260026,0.020274295734882875,0.3028184351181082,0.33988136123712726,0.9969908196502579,0.04070530379071146,0.03267533155290847,0.9643154880973495,1.0286035313722075,0.7799980304274435,0.14546424846460185,0.11416301556825603,0.6698081090146236,0.8941610459956996,0.771980805700276,0.14604944049055352,0.11496573488156725,0.6653267090526016,0.8869465405818433,-1.2327842578216104,0.0839827086959074,0.06622989751066677,-1.299014155332277,-1.1665543603109436,0.013750000000000002,0.01996089927833914,0.017499999999999998,0.0,0.03125,0.9862500000000001,0.019960899278339127,0.0150625000000002,0.9711874999999999,1.0,0.20249999999999999,0.01688657010763287,0.012500000000000011,0.19,0.215,0.20249999999999999,0.01688657010763287,0.012531249999999855,0.19,0.21503124999999984,0.20249999999999999,0.01688657010763287,0.013750000000000012,0.19,0.21625,0.83125,0.009882117688026203,0.007500000000000173,0.8237499999999999,0.8387499999999999,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17.663927193600102,1.5213303982956685,1.226877875600259,16.437049317999843,18.810453681400396,110.39954496000064,9.508314989347928,7.66798672250161,102.73155823749903,117.91275840374965,5
scenario_stress,rollout_joint,0.1109375,0.0019136638615493567,0.0018749999999999878,0.10968750000000001,0.11281249999999998,160.0,0.0,0.0,160.0,160.0,200.66829846671232,2.1516441690341512,1.684678049334451,198.98362041737786,202.26617088001638,0.1109375,0.0019136638615493567,0.0015625000000000083,0.10968750000000001,0.1125,0.44375,0.007654655446197427,0.006250000000000033,0.43875000000000003,0.45,0.40125,0.008149003006503308,0.006250000000000033,0.395,0.40750000000000003,0.44375,0.007654655446197427,0.006250000000000033,0.43875000000000003,0.45,0.9341364473842481,0.00163890567390631,0.0012784291820201465,0.9328580182022279,0.9354148765662682,0.06586355261575193,0.0016389056739062905,0.0012784291820201604,0.06458512343373177,0.06714198179777209,1.2541768654169518,0.013447776056463401,0.010529237808340142,1.2436476276086117,1.2641771313807322,0.1111891686646906,0.006498139123022643,0.005236518727363415,0.10646601542550185,0.11642568739205401,0.10549397898782005,0.006881830139574473,0.005429598652968257,0.10065640261848822,0.1109235776407883,-1.5152542968313367,0.011992715522933108,0.010013979329733802,-1.5252682761610705,-1.5065640374107017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.11374999999999999,0.022273162101506833,0.017500000000000016,0.09624999999999999,0.13125,0.11374999999999999,0.022273162101506833,0.017499999999999974,0.09625000000000002,0.13,0.11374999999999999,0.022273162101506833,0.017500000000000016,0.09624999999999999,0.13125,0.89875,0.020916500663351902,0.016250000000000098,0.8825,0.915,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,235.07715451419972,4.655898343502383,3.980605375199218,231.0965491390005,238.36202364799937,1469.2322157137482,29.099364646889892,24.84363394874663,1444.3885817650016,1489.762647799996,5
