periodic_k,avg_twin_badness,avg_secrecy_rate,tfscc,budget,eve_speed
8,0.09687358851408852,3.6805325658596115,,20,0.0
12,0.14288060026727437,3.6805325658596115,-0.0,20,0.0
4,0.17757374889771793,3.6805325658596115,-0.0,20,0.0
16,0.18284061142289995,3.6805325658596115,-0.0,20,0.0
20,0.2354330688983858,3.6805325658596115,-0.0,20,0.0
2,0.33351080775171443,3.6805325658596115,-0.0,20,0.0
1,0.4155190990953774,3.6805325658596115,-0.0,20,0.0
8,0.09676755905756922,3.3345970830121936,,20,2.0
12,0.14284015959039698,3.332784522171569,0.03934140507943034,20,2.0
4,0.17755424365003392,3.3330336069353876,-0.007175322943589185,20,2.0
16,0.18273458196638062,3.333222490872334,-0.03646169910377354,20,2.0
20,0.23537840999905227,3.335201774561861,-0.03759763990374251,20,2.0
2,0.33341219767359104,3.3304449311126003,0.04852248966502068,20,2.0
1,0.4154122410948545,3.3327834382539905,-0.028518364671789535,20,2.0
8,0.09629300293153285,3.3999643263126167,,20,4.0
12,0.1422560557547986,3.40016317490724,-0.00432627039347795,20,4.0
4,0.17708353935374502,3.4003139382058785,-0.004328859942185799,20,4.0
16,0.1817157652381843,3.399897992113948,0.08979400018631789,20,4.0
20,0.2345536229516044,3.3989147193618514,0.018609247131662274,20,4.0
2,0.33270785430396804,3.4002333773588362,-0.013434550694518524,20,4.0
1,0.4126325675128381,3.3995404266056575,0.008670043661812767,20,4.0
8,0.09616404001806665,3.4147189181776714,,20,6.0
12,0.1420614958784716,3.4134345218346276,0.02798404222992696,20,6.0
4,0.17698144916948813,3.414848763197399,-0.04049952045999443,20,6.0
16,0.18148391065623926,3.4147440845700316,0.023249199948859472,20,6.0
20,0.2341888247111522,3.4144108676159868,0.006322312824525078,20,6.0
2,0.3324860937477818,3.4154399943168268,-0.010469535022956675,20,6.0
1,0.4118828892494008,3.41556061447014,-0.0015192068212700736,20,6.0
8,0.09610175295863377,3.391278016587657,,20,8.0
12,0.14194791236591506,3.391278016587657,-0.0,20,8.0
4,0.17692000029842778,3.391278016587657,-0.0,20,8.0
16,0.18137737717001556,3.391278016587657,-0.0,20,8.0
20,0.2339483230361463,3.391278016587657,-0.0,20,8.0
2,0.3324481039060954,3.391278016587657,-0.0,20,8.0
1,0.4116643924569871,3.391278016587657,-0.0,20,8.0
4,0.050437757235199776,3.6805325658596115,,40,0.0
8,0.09687358851408852,3.6805325658596115,-0.0,40,0.0
12,0.14288060026727437,3.6805325658596115,-0.0,40,0.0
2,0.15311900931565262,3.6805325658596115,-0.0,40,0.0
16,0.18284061142289995,3.6805325658596115,-0.0,40,0.0
20,0.2354330688983858,3.6805325658596115,-0.0,40,0.0
1,0.32506293395730995,3.6805325658596115,-0.0,40,0.0
4,0.050375607727163284,3.3330785403825085,,40,2.0
8,0.09676755905756922,3.3345970830121936,-0.0327328897823235,40,2.0
12,0.14284015959039698,3.332784522171569,0.03934140507943034,40,2.0
2,0.15308728351863612,3.333499193965445,-0.06974364698629865,40,2.0
16,0.18273458196638062,3.333222490872334,0.009333163815869945,40,2.0
20,0.23537840999905227,3.335201774561861,-0.03759763990374251,40,2.0
1,0.32499289960692423,3.3306478555255175,0.050816771442544414,40,2.0
4,0.05007127188896201,3.4003139382058785,,40,4.0
8,0.09629300293153285,3.3999643263126167,0.007563799221188243,40,4.0
12,0.1422560557547986,3.40016317490724,-0.00432627039347795,40,4.0
2,0.15254159310587515,3.4006008598565267,-0.04255343540617784,40,4.0
16,0.1817157652381843,3.399897992113948,0.02409212297065543,40,4.0
20,0.2345536229516044,3.3989147193618514,0.018609247131662274,40,4.0
1,0.3243170073841009,3.4002565496816692,-0.014948526376330037,40,4.0
4,0.04996918170470512,3.414848763197399,,40,6.0
8,0.09616404001806665,3.4147189181776714,0.0028108110830645312,40,6.0
12,0.1420614958784716,3.4134345218346276,0.02798404222992696,40,6.0
2,0.15248588532981144,3.4154399943168268,-0.1923827281742066,40,6.0
16,0.18148391065623926,3.4147440845700316,0.023998521932488,40,6.0
20,0.2341888247111522,3.4144108676159868,0.006322312824525078,40,6.0
1,0.3239781238965973,3.4154399943168268,-0.011461574042520321,40,6.0
4,0.0499077328336447,3.3915066700947842,,40,8.0
8,0.09610175295863377,3.391278016587657,0.004949850792564524,40,8.0
12,0.14194791236591506,3.391278016587657,-0.0,40,8.0
2,0.15245146529666154,3.391278016587657,-0.0,40,8.0
16,0.18137737717001556,3.391278016587657,-0.0,40,8.0
