periodic_k,budget,eve_speed,avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob
1,20,0.0,0.16666666666666666,0.5844809009046227,0.4155190990953774,3.6805325658596115,0.10833333333333334,0.8916666666666667
1,20,2.0,0.16666666666666666,0.5845877589051455,0.4154122410948545,3.3327834382539905,0.12222222222222223,0.8777777777777778
1,20,4.0,0.16666666666666666,0.5873674324871621,0.4126325675128381,3.3995404266056575,0.13333333333333333,0.8666666666666667
1,20,6.0,0.16666666666666666,0.5881171107505992,0.4118828892494008,3.41556061447014,0.14722222222222223,0.8527777777777777
1,20,8.0,0.16666666666666666,0.588335607543013,0.4116643924569871,3.391278016587657,0.15,0.85
1,40,0.0,0.3333333333333333,0.67493706604269,0.32506293395730995,3.6805325658596115,0.10833333333333334,0.8916666666666667
1,40,2.0,0.3333333333333333,0.6750071003930757,0.32499289960692423,3.3306478555255175,0.12222222222222223,0.8777777777777778
1,40,4.0,0.3333333333333333,0.675682992615899,0.3243170073841009,3.4002565496816692,0.13333333333333333,0.8666666666666667
1,40,6.0,0.3333333333333333,0.6760218761034027,0.3239781238965973,3.4154399943168268,0.14722222222222223,0.8527777777777777
1,40,8.0,0.3333333333333333,0.6760237709769047,0.32397622902309525,3.391278016587657,0.15,0.85
1,60,0.0,0.5,0.7687660076165885,0.23123399238341139,3.6805325658596115,0.10833333333333334,0.8916666666666667
1,60,2.0,0.5,0.7688120870760716,0.23118791292392837,3.33583975104718,0.12222222222222223,0.8777777777777778
1,60,4.0,0.5,0.770140118774633,0.22985988122536696,3.4006008598565267,0.13333333333333333,0.8666666666666667
1,60,6.0,0.5,0.770140118774633,0.22985988122536696,3.4154399943168268,0.14722222222222223,0.8527777777777777
1,60,8.0,0.5,0.770140118774633,0.22985988122536696,3.391278016587657,0.15,0.85
1,80,0.0,0.6666666666666666,0.8598000154215427,0.1401999845784573,3.6805325658596115,0.10833333333333334,0.8916666666666667
1,80,2.0,0.6666666666666666,0.859817442596162,0.14018255740383787,3.333332503157381,0.12222222222222223,0.8777777777777778
1,80,4.0,0.6666666666666666,0.8602395767443248,0.13976042325567514,3.4006008598565267,0.13333333333333333,0.8666666666666667
1,80,6.0,0.6666666666666666,0.8602395767443248,0.13976042325567514,3.4154399943168268,0.14722222222222223,0.8527777777777777
1,80,8.0,0.6666666666666666,0.8602395767443248,0.13976042325567514,3.391278016587657,0.15,0.85
2,20,0.0,0.16666666666666666,0.6664891922482855,0.33351080775171443,3.6805325658596115,0.10833333333333334,0.8916666666666667
2,20,2.0,0.16666666666666666,0.6665878023264089,0.33341219767359104,3.3304449311126003,0.12222222222222223,0.8777777777777778
2,20,4.0,0.16666666666666666,0.6672921456960319,0.33270785430396804,3.4002333773588362,0.13333333333333333,0.8666666666666667
2,20,6.0,0.16666666666666666,0.6675139062522182,0.3324860937477818,3.4154399943168268,0.14722222222222223,0.8527777777777777
2,20,8.0,0.16666666666666666,0.6675518960939045,0.3324481039060954,3.391278016587657,0.15,0.85
2,40,0.0,0.3333333333333333,0.8468809906843472,0.15311900931565262,3.6805325658596115,0.10833333333333334,0.8916666666666667
2,40,2.0,0.3333333333333333,0.8469127164813638,0.15308728351863612,3.333499193965445,0.12222222222222223,0.8777777777777778
2,40,4.0,0.3333333333333333,0.8474584068941248,0.15254159310587515,3.4006008598565267,0.13333333333333333,0.8666666666666667
2,40,6.0,0.3333333333333333,0.8475141146701884,0.15248588532981144,3.4154399943168268,0.14722222222222223,0.8527777777777777
2,40,8.0,0.3333333333333333,0.8475485347033386,0.15245146529666154,3.391278016587657,0.15,0.85
2,60,0.0,0.5,0.9732524511340754,0.02674754886592461,3.6805325658596115,0.10833333333333334,0.8916666666666667
2,60,2.0,0.5,0.9732701198563597,0.02672988014364036,3.333485024519934,0.12222222222222223,0.8777777777777778
2,60,4.0,0.5,0.9734635126297112,0.026536487370288863,3.4006008598565267,0.13333333333333333,0.8666666666666667
2,60,6.0,0.5,0.9735192204057749,0.02648077959422514,3.4154399943168268,0.14722222222222223,0.8527777777777777
2,60,8.0,0.5,0.9735536404389249,0.026446359561075217,3.39162016276641,0.15,0.85
2,80,0.0,0.5,0.9732524511340754,0.02674754886592461,3.6805325658596115,0.10833333333333334,0.8916666666666667
2,80,2.0,0.5,0.9732701198563597,0.02672988014364036,3.333485024519934,0.12222222222222223,0.8777777777777778
2,80,4.0,0.5,0.9734635126297112,0.026536487370288863,3.4006008598565267,0.13333333333333333,0.8666666666666667
2,80,6.0,0.5,0.9735192204057749,0.02648077959422514,3.4154399943168268,0.14722222222222223,0.8527777777777777
2,80,8.0,0.5,0.9735536404389249,0.026446359561075217,3.39162016276641,0.15,0.85
4,20,0.0,0.16666666666666666,0.8224262511022822,0.17757374889771793,3.6805325658596115,0.10833333333333334,0.8916666666666667
4,20,2.0,0.16666666666666666,0.8224457563499662,0.17755424365003392,3.3330336069353876,0.12222222222222223,0.8777777777777778
4,20,4.0,0.16666666666666666,0.822916460646255,0.17708353935374502,3.4003139382058785,0.13333333333333333,0.8666666666666667
4,20,6.0,0.16666666666666666,0.8230185508305118,0.17698144916948813,3.414848763197399,0.14722222222222223,0.8527777777777777
4,20,8.0,0.16666666666666666,0.8230799997015722,0.17692000029842778,3.391278016587657,0.15,0.85
4,40,0.0,0.25,0.9495622427648002,0.050437757235199776,3.6805325658596115,0.10833333333333334,0.8916666666666667
4,40,2.0,0.25,0.9496243922728368,0.050375607727163284,3.3330785403825085,0.12222222222222223,0.8777777777777778
4,40,4.0,0.25,0.949928728111038,0.05007127188896201,3.4003139382058785,0.13333333333333333,0.8666666666666667
4,40,6.0,0.25,0.9500308182952949,0.04996918170470512,3.414848763197399,0.14722222222222223,0.8527777777777777
4,40,8.0,0.25,0.9500922671663553,0.0499077328336447,3.3915066700947842,0.15,0.85
4,60,0.0,0.25,0.9495622427648002,0.050437757235199776,3.6805325658596115,0.10833333333333334,0.8916666666666667
4,60,2.0,0.25,0.9496243922728368,0.050375607727163284,3.3330785403825085,0.12222222222222223,0.8777777777777778
4,60,4.0,0.25,0.949928728111038,0.05007127188896201,3.4003139382058785,0.13333333333333333,0.8666666666666667
4,60,6.0,0.25,0.9500308182952949,0.04996918170470512,3.414848763197399,0.14722222222222223,0.8527777777777777
4,60,8.0,0.25,0.9500922671663553,0.0499077328336447,3.3915066700947842,0.15,0.85
4,80,0.0,0.25,0.9495622427648002,0.050437757235199776,3.6805325658596115,0.10833333333333334,0.8916666666666667
