avg_sync_cost,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,outage_prob,success_prob,method,seed,budget,periodic_k,aoi_threshold,eve_speed
0.23333333333333334,0.6239380372034081,0.3760619627965918,2.7042194274869926,0.21666666666666667,0.7833333333333333,full,42,28,7,5,5.385164807134504
0.23333333333333334,0.6190257402341298,0.3809742597658703,2.7004893959132317,0.175,0.825,full,43,28,7,5,5.385164807134504
0.23333333333333334,0.6213929198017808,0.3786070801982192,2.6818402727892865,0.25833333333333336,0.7416666666666667,full,44,28,7,5,5.385164807134504
0.15,0.9146456076825544,0.08535439231744554,2.709082477098528,0.21666666666666667,0.7833333333333333,periodic,42,28,7,5,5.385164807134504
0.15,0.9138329401366502,0.08616705986334988,2.715758901493406,0.16666666666666666,0.8333333333333334,periodic,43,28,7,5,5.385164807134504
0.15,0.9138517854323958,0.08614821456760419,2.682090320844951,0.25,0.75,periodic,44,28,7,5,5.385164807134504
0.16666666666666666,0.9257709142470201,0.0742290857529799,2.7085707116718183,0.21666666666666667,0.7833333333333333,aoi_only,42,28,7,5,5.385164807134504
0.16666666666666666,0.9251123105826593,0.07488768941734063,2.714915193674062,0.16666666666666666,0.8333333333333334,aoi_only,43,28,7,5,5.385164807134504
0.16666666666666666,0.9248945664868695,0.07510543351313057,2.6788216771222486,0.25,0.75,aoi_only,44,28,7,5,5.385164807134504
0.15,0.9146456076825544,0.08535439231744554,2.709082477098528,0.21666666666666667,0.7833333333333333,decoupled,42,28,7,5,5.385164807134504
0.15,0.9138329401366502,0.08616705986334988,2.715758901493406,0.16666666666666666,0.8333333333333334,decoupled,43,28,7,5,5.385164807134504
0.15,0.9138517854323958,0.08614821456760419,2.682090320844951,0.25,0.75,decoupled,44,28,7,5,5.385164807134504
0.23333333333333334,0.6353781875817067,0.36462181241829317,2.7007444950653907,0.21666666666666667,0.7833333333333333,security_margin,42,28,7,5,5.385164807134504
0.23333333333333334,0.6343270044458429,0.36567299555415717,2.70572952444539,0.16666666666666666,0.8333333333333334,security_margin,43,28,7,5,5.385164807134504
0.23333333333333334,0.6363823182956684,0.36361768170433156,2.687943254666907,0.25,0.75,security_margin,44,28,7,5,5.385164807134504
0.058333333333333334,0.8151267168889161,0.18487328311108384,2.7078474522031355,0.21666666666666667,0.7833333333333333,security_risk,42,28,7,5,5.385164807134504
0.058333333333333334,0.8119087098862628,0.18809129011373713,2.7132208691402107,0.18333333333333332,0.8166666666666667,security_risk,43,28,7,5,5.385164807134504
0.058333333333333334,0.8136079331552878,0.18639206684471218,2.680561029239458,0.25833333333333336,0.7416666666666667,security_risk,44,28,7,5,5.385164807134504
